Time frequency,Transport coverage,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,International transport,Million tonne-kilometre (TKM),Austria,19611 i,20735 i,23443 i,26024 i,21891 i,23618 i,24060 i,23184 i,23950 i,24187 i,25183 i,25678 i,28044 i,28300 i,28789 i,28750 i,30697 i,31157 i
Annual,International transport,Million tonne-kilometre (TKM),Belgium,26875 i,27631 i,28729 i,28193 i,25821 i,26662 i,26676 i,26567 i,27248 i,27540 i,27741 i,29167 i,29637 i,28724 i,29020 i,28775 i,29714 i,28095 i
Annual,International transport,Million tonne-kilometre (TKM),Bulgaria,5200 i,5152 i,4532 i,2642 i,2436 i,2772 i,3199 i,2976 i,3744 i,3508 i,3984 i,3838 i,3700 i,3400 i,2973 i,3579 i,4226 i,4982 i
Annual,International transport,Million tonne-kilometre (TKM),Switzerland,13134 i,13343 i,12166 i,12392 i,11121 i,11931 i,11197 i,10747 i,10594 i,11002 i,10366 i,10501 i,11533 i,11305 i,11613 i,12217 i,12759 i,12986 i
Annual,International transport,Million tonne-kilometre (TKM),Czechia,16856 i,17703 i,18459 i,16717 i,15606 i,17046 i,18093 i,17974 i,19953 i,20097 i,21180 i,20816 i,20994 i,19707 i,20351 i,23163 i,25165 i,26489 i
Annual,International transport,Million tonne-kilometre (TKM),Germany,129581 i,139762 i,148346 i,151330 i,135151 i,146411 i,145825 i,145407 i,149883 i,151719 i,150999 i,159330 i,170976 i,163273 i,172312 i,170840 i,180885 i,182955 i
Annual,International transport,Million tonne-kilometre (TKM),Denmark,5442 i,5946 i,6235 i,7820 i,6608 i,6258 i,6090 i,5930 i,6723 i,6243 i,6242 i,7237 i,7348 i,6815 i,6955 i,7335 i,7571 i,7731 i
Annual,International transport,Million tonne-kilometre (TKM),Estonia,818 i,883 i,985 i,940 i,744 i,779 i,918 i,920 i,1062 i,1098 i,1299 i,1299 i,1266 i,1285 i,1236 i,1417 i,1338 i,1557 i
Annual,International transport,Million tonne-kilometre (TKM),Greece,2239 i,2692 i,2272 i,1938 i,1692 i,2178 i,1730 i,2071 i,2337 i,2190 i,2571 i,2528 i,4084 i,3889 i,3592 i,3731 i,3047 i,3236 i
Annual,International transport,Million tonne-kilometre (TKM),Spain,43176 i,44172 i,45248 i,40959 i,37520 i,37543 i,36842 i,35761 i,38143 i,37805 i,39490 i,40406 i,41556 i,43553 i,44685 i,41987 i,46615 i,48462 i
Annual,International transport,Million tonne-kilometre (TKM),European Union - 27 countries (from 2020),494931 i,527849 i,545978 i,537091 i,472122 i,503953 i,497138 i,492753 i,517071 i,521256 i,529723 i,555016 i,593387 i,578809 i,600022 i,587746 i,631846 i,640634 i
Annual,International transport,Million tonne-kilometre (TKM),European Union - 28 countries (2013-2020),509144 i,542825 i,561863 i,551911 i,484290 i,516434 i,508949 i,505062 i,529317 i,533863 i,542607 i,568449 i,606177 i,591063 i,612194 i,:,:,:
