Time frequency,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Percentage,From 12 to 17 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.0,8.0,7.2,5.9,:
Annual,Total,Percentage,From 12 to 17 years,Austria,0.6,1.6,0.2,0.4,0.4,0.0 n,0.6,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.5,0.6
Annual,Total,Percentage,From 12 to 17 years,Belgium,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.1,0.3,0.0,0.0 n,0.1,0.5,0.5,0.4,0.4,0.2 b,0.1,0.2
Annual,Total,Percentage,From 12 to 17 years,Bulgaria,:,:,24.4,24.4,25.5,20.7,19.5,18.8,19.2,17.2,19.2,15.6 b,14.9,14.3 b,13.1,13.3,11.0,9.3,6.7
Annual,Total,Percentage,From 12 to 17 years,Switzerland,:,:,:,:,1.7,0.0,0.1,0.0,0.0,0.0,0.0,0.2 b,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Cyprus,:,:,0.7,0.7,0.1,0.2,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Czechia,:,:,1.8,0.6,0.6,0.4,0.1,0.3,0.4,0.7,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,:
Annual,Total,Percentage,From 12 to 17 years,Germany,:,:,0.1,0.1,0.4,0.3,0.0,0.3,0.0 n,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0 b,:
Annual,Total,Percentage,From 12 to 17 years,Denmark,0.9,0.1,0.3,0.9,0.3,0.4,0.3,0.6,1.6,1.1,0.5,1.3,0.9,1.3,1.7,0.4,0.8,2.4,:
Annual,Total,Percentage,From 12 to 17 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,0.4 e,0.3 e,0.2 e,0.4 e,0.4 e,0.6 e,0.4 e,0.3 e,0.4,0.3,:
Annual,Total,Percentage,From 12 to 17 years,Euro area - 18 countries (2014),:,:,0.7 e,0.5 e,0.7,0.5,0.4,0.4,0.5,0.4,0.3,0.4,0.3,0.5,0.3,0.3,0.3,0.3,:
Annual,Total,Percentage,From 12 to 17 years,Euro area - 19 countries  (2015-2022),:,:,1.0 e,0.9 e,0.9,0.7,0.5,0.5,0.7,0.6,0.5,0.5,0.4,0.6,0.4,0.3,0.4,0.3,:
Annual,Total,Percentage,From 12 to 17 years,Estonia,:,18.2,16.8,15.8,17.2,11.9,11.1,12.2,10.4,7.3,7.2,6.8 b,4.5,5.5,3.9,3.6,2.9,3.3,:
Annual,Total,Percentage,From 12 to 17 years,Greece,0.7,0.6,0.4,0.4,0.8,1.5,1.2,0.5,1.1,0.4,1.0,0.3,0.3,0.2,0.2,0.7,1.1,0.4,0.3
Annual,Total,Percentage,From 12 to 17 years,Spain,:,0.2,0.1,0.0 n,0.4,0.1,0.0,0.0,0.0,0.0,0.0 n,0.2,0.0 n,0.4,0.1,0.1,0.3,0.3,:
Annual,Total,Percentage,From 12 to 17 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,3.1,3.2,2.9,2.8,2.7,2.8,2.6 e,2.2 e,2.0 e,:,:
Annual,Total,Percentage,From 12 to 17 years,European Union - 27 countries (2007-2013),:,:,:,:,3.9,3.7,3.3,3.1,3.1,3.2,2.9,2.8,2.7,2.8,2.7 e,2.2 e,2.0 e,:,:
Annual,Total,Percentage,From 12 to 17 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,3.5 e,3.6 e,3.6 e,3.2 e,3.1 e,3.1 e,3.1 e,2.8 e,2.4 e,2.2 e,2.0,:
Annual,Total,Percentage,From 12 to 17 years,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.0,3.1,3.2,2.9,2.8,2.7,2.8,2.6 e,2.2 e,2.0 e,:,:
Annual,Total,Percentage,From 12 to 17 years,Finland,:,0.9,1.2,0.4,0.6,0.7,0.8,0.5,0.4,0.4,0.2,0.1,0.2,0.5,0.1,0.1,0.0,0.0 n,:
Annual,Total,Percentage,From 12 to 17 years,France,:,0.5,0.3,0.3,0.5,0.2,0.0 n,0.1,0.1,0.1,0.2,0.4,0.3,0.4,0.2,0.3,0.3,0.4 b,0.5
Annual,Total,Percentage,From 12 to 17 years,Croatia,:,:,:,:,:,:,:,0.6,1.2,1.6 b,0.7,1.4,1.3,1.6,1.1,0.8,0.5,0.2,:
Annual,Total,Percentage,From 12 to 17 years,Hungary,:,:,7.6,3.8,4.3,4.5,4.6,5.3,5.8,6.9,5.7,4.6,5.2,5.9,5.7,4.8,3.8,2.1,:
Annual,Total,Percentage,From 12 to 17 years,Ireland,0.3,0.9,0.0 n,0.1,0.1,0.7,0.2,0.1,6.7,1.9,1.5,0.1,0.1,0.3,0.3,0.0,0.0 n,0.1 bu,:
Annual,Total,Percentage,From 12 to 17 years,Iceland,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,:,:
