Time frequency,itm_newa,unit,geo\TIME_PERIOD,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
Annual,19000.0,MIO_EUR,IL,2041.7,2417.9,1878.6,1810.3,2179.9,2232.9,2326.5,2591.1,3079.3,2672.6,3165.2,3593.3,3887.0,4117.5
Annual,19000.0,MIO_EUR,MA,2488.4,2568.6,2341.2,2283.9,2418.2,2479.7,2735.1,2399.0,2856.9 p,2481.2 p,2681.8 p,2835.6 p,2802.0,2850.3
Annual,19000.0,MIO_EUR,PS,345.2 e,364.9 e,377.2 e,367.1 e,259.5 e,375.7 e,358.8 e,330.0 e,289.2 e,281.3 e,332.4 e,355.5 e,386.1 e,:
Annual,19000.0,MIO_EUR,SY,2647.8,2707.6,2888.5,2383.2,1866.3,1978.1,:,:,:,:,:,:,:,:
Annual,19000.0,MIO_EUR,TN,814.8,837.5,733.6,823.0,889.9,850.5,916.3,886.8 p,869.5,933.6,886.1,964.2,1091.7,1061.7
Annual,19010.0,MEUR_KP00,IL,233.1,209.3,216.0,167.3,146.3,154.2,159.4,164.0,168.4,168.2,195.1,183.0,164.7,186.7
Annual,19010.0,MEUR_KP00,MA,317.1,378.9,359.0,376.8,355.7,342.2,326.8 p,:,:,:,:,:,:,:
Annual,19010.0,MEUR_KP00,TN,48.3,32.1,29.3,31.6,32.8,30.2,33.0,28.4 p,27.8,28.2,26.0,27.0,27.6,24.5
Annual,19010.0,MIO_EUR,IL,200.0,209.1,198.7,168.0,184.3,199.1,211.0,228.4,264.1,244.1,285.0,300.9,292.6,331.2
Annual,19010.0,MIO_EUR,MA,371.9,382.8,341.8,353.5,355.5,319.3,309.2 p,:,:,:,:,:,:,:
Annual,19010.0,MIO_EUR,TN,48.3,39.5,38.5,52.7,50.2,43.7,42.2,32.1 p,35.0,39.6,38.2,41.5 e,46.9 e,45.6 e
Annual,19020.0,MEUR_KP00,IL,185.9,164.2,173.0,152.3,143.0,169.6,172.1,175.4,203.1,207.4,225.8,291.1,296.8,312.2
Annual,19020.0,MEUR_KP00,MA,224.5,292.1,243.8,242.8,257.2,265.9,290.4 p,:,:,:,:,:,:,:
Annual,19020.0,MEUR_KP00,TN,92.2,40.1,25.4,41.7,66.1,37.1,50.0,35.5 p,26.6,15.8,14.6,15.2,15.5,13.8
Annual,19020.0,MIO_EUR,IL,159.5,164.0,159.1,153.0,180.1,219.0,227.9,244.3,318.5,301.0,329.9,478.7,527.3,553.9
Annual,19020.0,MIO_EUR,MA,275.7,278.4,238.7,248.5,267.5,293.2,322.2 p,:,:,:,:,:,:,:
Annual,19020.0,MIO_EUR,TN,92.2,46.7,31.0,51.2,85.3,78.3,121.3,91.8 p,99.0,70.8,67.2,73.1,82.7,80.5
Annual,19030.0,MEUR_KP00,IL,103.2,81.4,73.5,68.2,57.2,54.0,54.3,65.3,83.8,74.2,70.7,77.4,83.3,110.7
Annual,19030.0,MEUR_KP00,MA,178.7,211.9,209.0,201.3,235.3,234.8,252.5 p,:,:,:,:,:,:,:
Annual,19030.0,MEUR_KP00,TN,29.1,20.2,23.5,26.7,27.8,20.3,24.5,54.9 p,55.9,45.6,42.1,43.7,44.6,39.7
Annual,19030.0,MIO_EUR,IL,88.6,81.4,67.6,68.6,72.0,69.7,71.8,91.0,131.4,107.7,103.3,127.3,148.0,196.3
Annual,19030.0,MIO_EUR,MA,199.9,183.6,209.5,201.9,236.2,254.1,265.9 p,:,:,:,:,:,:,:
Annual,19030.0,MIO_EUR,TN,29.1,28.9,32.6,44.5,48.0,31.8,40.9,40.0 p,37.7,36.3,34.9,38.0,43.0,41.8
Annual,19040.0,MEUR_KP00,IL,119.7,101.9,113.6,94.6,72.1,75.4,81.8,82.3,74.0,76.2,96.6,90.0,84.5,89.1
