Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,From 30 to 34 years,Armenia,:,:,:,:,:,:,:,:,:,44.1 d,37.6 d,33.8 d,35.4 d,49.3 bd,51.0,52.8,54.0,55.0
Annual,Percentage,From 30 to 34 years,Belarus,:,:,:,:,59.6 d,:,:,:,:,:,:,:,:,:,70.3 d,:,:,:
Annual,Percentage,From 30 to 34 years,Georgia,35.9,37.9,42.6,39.7,42.9,47.1,46.2,42.4,42.1,42.9,44.9,44.4,44.6,44.1,41.2,38.2,35.5,35.2
Annual,Percentage,From 30 to 34 years,Moldova,31.0 d,36.0 d,33.5 d,33.3 d,31.4 d,30.5 d,31.3 d,33.2 d,33.8 d,25.8 bd,27.0,27.5,30.0,30.6,31.4 bd,31.5,31.8,31.8
Annual,Percentage,From 30 to 34 years,Ukraine,45.2,45.9,45.7,45.9,46.3,47.2,48.8,50.8,53.0,53.9 d,54.3 d,56.1 d,56.6 d,58.5 d,56.8 d,57.1 d,58.0 d,:
