Time frequency,Unit of measure,Train category,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand train-kilometres,Total,Austria,147930.0,143917.0,152408.0,155784.0,159198.0,154088.0,151831.0,150655.0,145668.0,146835.0,151048.0,153395.0,153711.0,156408.0,154953.0,163044.0,153280.0,164668.0,170637.0,173650.0
Annual,Thousand train-kilometres,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,3857.0,4036.0,3786.0,3633.0,4153.0,3353.0,2938.0,3301.0,3690.0,3332.0
Annual,Thousand train-kilometres,Total,Belgium,: @C,: @C,: @C,94691.0,94531.0,92446.0,95132.0,94514.0,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Total,Bulgaria,:,:,33500.0,33715.0,32863.0,30163.0,29307.0,29529.0,25704.0,26586.0,27332.0,28564.0,29509.0,29012.0,30610.0,28026.0,28134.0,27858.0,29857.0,28649.0
Annual,Thousand train-kilometres,Total,Switzerland,:,:,:,:,200810.0,207564.0,210546.0,209953.0,211481.0,215505.0,220327.0,222652.0,227355.0,226118.0,226071.0,228939.0,221421.0,232726.0,236276.0,240058.0
Annual,Thousand train-kilometres,Total,Czechia,146117.0,147743.0,150966.0,154924.0,157465.0,156674.0,155058.0,154164.0,162652.0,156872.0,155390.0,157295.0,159423.0,163618.0,169105.0,170359.0,167040.0,165187.0,168534.0,171375.0
Annual,Thousand train-kilometres,Total,Germany,889468.0,986686.0,990019.0,1014033.0,1005820.0,986342.0,1049236.0,:,:,1025094.0,1025855.0,1032627.0,1037434.0,1085466.0,1095781.0,1069572.0,1049799.0,1125880.0,1116519.0,1120674.0
Annual,Thousand train-kilometres,Total,Denmark,72082.0,75027.0,76141.0,74218.0,76796.0,77087.0,78319.0,80089.0,78761.0,79923.0,79722.0,78847.0,78235.0,76831.0,76568.0,77973.0,76150.0,77776.0,79835.0,78886.0
Annual,Thousand train-kilometres,Total,Estonia,9231.0,8901.0,8320.0,7553.0,7131.0,6459.0,7426.0,7371.0,6989.0,6618.0,7991.0,7952.0,8752.0,8076.0,7228.0,7209.0,6576.0,7242.0,6864.0,7439.0
Annual,Thousand train-kilometres,Total,Greece,17625.0,17729.0,19071.0,21091.0,21164.0,19613.0,16963.0,12534.0,11695.0,11190.0,11495.0,10837.0,10040.0,10410.0,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Total,Spain,200029.0,199384.0,200808.0,202894.0,211677.0,207009.0,206023.0,202002.0,208663.0,207852.0,212970.0,209078.0,205009.0,212454.0,211043.0,211205.0,158170.0,172283.0,195637.0,211753.0
Annual,Thousand train-kilometres,Total,European Union - 27 countries (2007-2013),:,:,: @C,4039265.0,: @C,: @C,: @C,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:
Annual,Thousand train-kilometres,Total,European Union - 27 countries (from 2020),:,:,: @C,3570833.0,: @C,: @C,: @C,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,: @C,: @C,: @C
Annual,Thousand train-kilometres,Total,European Union - 28 countries (2013-2020),:,:,: @C,4066553.0,: @C,: @C,: @C,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:
Annual,Thousand train-kilometres,Total,Finland,48689.0,48227.0,50880.0,52577.0,53259.0,50019.0,51000.0,51070.0,50890.0,50461.0,49670.0,48554.0,46824.0,47300.0,50514.0,51470.0,47725.0,47437.0,48482.0,47398.0
Annual,Thousand train-kilometres,Total,France,526769.0,505800.0,484648.0,481634.0,514719.0,480386.0,: @C,: @C,473905.0,: @C,: @C,: @C,: @C,455468.0,423392.0,423437.0,337371.0,405672.0,436659.0,418536.0
Annual,Thousand train-kilometres,Total,Croatia,23980.0,26064.0,27613.0,27288.0,27248.0,26085.0,25774.0,24776.0,23710.0,21859.0,20108.0,19716.0,22296.0,21014.0,20103.0,20543.0,18567.0,19194.0,19417.0,18756.0
Annual,Thousand train-kilometres,Total,Hungary,97948.0,93669.0,99042.0,104575.0,106741.0,102009.0,100432.0,102182.0,97309.0,97700.0,100627.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Total,Ireland,15127.0,15960.0,15631.0,16832.0,14471.0,17605.0,18328.0,17219.0,16714.0,18463.0,18475.0,18203.0,17419.0,17608.0,17538.0,18389.0,15010.0,17242.0,18161.0,18624.0
Annual,Thousand train-kilometres,Total,Italy,361770.0,373334.0,369889.0,377718.0,372259.0,356804.0,356056.0,: @C,345137.0,358628.0,358689.0,366434.0,375175.0,377637.0,388127.0,395793.0,319507.0,367732.0,394627.0,399696.0
Annual,Thousand train-kilometres,Total,Liechtenstein,157.0,139.0,145.0,153.0,148.0,144.0,134.0,126.0,125.0,122.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,138.0,142.0
Annual,Thousand train-kilometres,Total,Lithuania,16978.0,14326.0,13818.0,14862.0,15611.0,13857.0,14368.0,15322.0,14665.0,13926.0,14075.0,13995.0,14298.0,15231.0,16131.0,14368.0,15602.0,14969.0,11522.0,11004.0
Annual,Thousand train-kilometres,Total,Luxembourg,7629.0,7639.0,7043.0,6904.0,7109.0,7257.0,7979.0,8588.0,8500.0,8243.0,8719.0,8929.0,8211.0,8197.0,8015.0,8026.0,:,7797.0,7531.0,7741.0
Annual,Thousand train-kilometres,Total,Latvia,18378.0,18890.0,17991.0,18578.0,19525.0,18294.0,16626.0,18471.0,18851.0,17576.0,17654.0,17165.0,15294.0,14523.0,15651.0,14376.0,10716.0,10419.0,10381.0,9363.0
Annual,Thousand train-kilometres,Total,Montenegro,:,:,:,:,:,:,:,:,:,1252.0,1317.0,1401.0,1506.0,1569.0,1677.0,1747.0,1094.0,:,1050.0,:
Annual,Thousand train-kilometres,Total,North Macedonia,:,:,:,:,:,2772.0,2790.0,2517.0,2292.0,2207.0,2222.0,2172.0,1962.0,1142.0,1877.0,1708.0,1446.0,1516.0,1346.0,869.0
Annual,Thousand train-kilometres,Total,Netherlands,132659.0,133773.0,134492.0,149550.0,: @C,: @C,139102.0,138654.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Total,Norway,39981.0,41141.0,41816.0,42364.0,43764.0,43740.0,43788.0,43294.0,43689.0,45924.0,46165.0,48562.0,47448.0,49100.0,49194.0,48831.0,44746.0,46822.0,49796.0,49605.0
Annual,Thousand train-kilometres,Total,Poland,220038.0,207173.0,222052.0,219578.0,217546.0,199489.0,211717.0,212551.0,209854.0,202623.0,197147.0,204585.0,221299.0,227630.0,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Total,Portugal,35042.0,37675.0,41982.0,40596.0,43216.0,40204.0,40001.0,37209.0,37495.0,35118.0,35336.0,37142.0,36675.0,37072.0,36290.0,36955.0,33348.0,35539.0,35672.0,33490.0
Annual,Thousand train-kilometres,Total,Romania,101296.0,94541.0,94241.0,95135.0,92865.0,88995.0,86272.0,92556.0,90125.0,82431.0,77802.0,79941.0,80828.0,81100.0,77292.0,84312.0,77646.0,80935.0,83364.0,82909.0
Annual,Thousand train-kilometres,Total,Sweden,127702.0,127683.0,131453.0,135904.0,142468.0,135812.0,140582.0,147190.0,145730.0,151185.0,152984.0,152738.0,157723.0,160383.0,165095.0,168055.0,151353.0,159181.0,: @C,164427.0
Annual,Thousand train-kilometres,Total,Slovenia,19942.0,18635.0,18477.0,18775.0,19015.0,17482.0,18588.0,19142.0,18524.0,18466.0,18924.0,17733.0,18820.0,19924.0,19277.0,19009.0,15951.0,18760.0,19590.0,19237.0
Annual,Thousand train-kilometres,Total,Slovakia,46994.0,47295.0,48749.0,51424.0,46957.0,42145.0,44029.0,42711.0,43868.0,43250.0,43128.0,45989.0,46806.0,45253.0,47300.0,48715.0,46174.0,46525.0,48958.0,51632.0
Annual,Thousand train-kilometres,Total,Türkiye,45556.0,44935.0,43821.0,42863.0,42472.0,41579.0,38761.0,40036.0,35089.0,28795.0,42378.0,41051.0,41698.0,42254.0,44724.0,50497.0,38590.0,45533.0,62505.0,:
Annual,Thousand train-kilometres,Total,United Kingdom,480117.0,491411.0,497541.0,495720.0,509655.0,538468.0,544020.0,552795.0,560418.0,560737.0,564018.0,569764.0,565568.0,566505.0,567890.0,594460.0,:,:,:,:
Annual,Thousand train-kilometres,Goods trains,Austria,54027.0,49160.0,51781.0,53903.0,54205.0,45631.0,45318.0,43797.0,40554.0,41799.0,40927.0,41878.0,41558.0,41624.0,41751.0,42784.0,39892.0,42044.0,42805.0,41584.0
Annual,Thousand train-kilometres,Goods trains,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,2052.0,2361.0,2279.0,2105.0,2145.0,2141.0,1915.0,2035.0,2346.0,2100.0
Annual,Thousand train-kilometres,Goods trains,Belgium,: @C,: @C,: @C,15074.0,14859.0,11677.0,12919.0,12301.0,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Goods trains,Bulgaria,:,:,10600.0,10205.0,9453.0,6644.0,6238.0,6774.0,5693.0,6543.0,6879.0,7659.0,8155.0,8923.0,10726.0,7913.0,8432.0,8782.0,9764.0,8648.0
Annual,Thousand train-kilometres,Goods trains,Switzerland,:,:,:,:,29051.0,26675.0,27123.0,27165.0,26297.0,27719.0,28483.0,28522.0,28071.0,28551.0,28285.0,28034.0,26652.0,27286.0,27710.0,27365.0
Annual,Thousand train-kilometres,Goods trains,Czechia,35560.0,33247.0,34014.0,35667.0,34736.0,29811.0,31383.0,30826.0,36591.0,29763.0,29600.0,31559.0,30558.0,30747.0,32984.0,33678.0,29525.0,30069.0,32068.0,29898.0
Annual,Thousand train-kilometres,Goods trains,Germany,187368.0,190205.0,216619.0,229587.0,225523.0,202294.0,260036.0,204185.0,243756.0,249029.0,249855.0,244712.0,208139.0,276166.0,287781.0,259572.0,259799.0,277387.0,268886.0,247471.0
Annual,Thousand train-kilometres,Goods trains,Denmark,4729.0,4185.0,3782.0,3076.0,3135.0,3263.0,3688.0,4410.0,3712.0,3615.0,3429.0,3594.0,3694.0,3789.0,3639.0,3458.0,3382.0,3065.0,3150.0,2730.0
Annual,Thousand train-kilometres,Goods trains,Estonia,6010.0,5864.0,5284.0,4129.0,3609.0,3226.0,4073.0,4162.0,3828.0,3337.0,3066.0,2738.0,3360.0,2601.0,1716.0,1568.0,1247.0,1469.0,1086.0,1413.0
Annual,Thousand train-kilometres,Goods trains,Greece,1072.0,1836.0,2166.0,2506.0,2846.0,1608.0,982.0,872.0,770.0,620.0,912.0,838.0,800.0,863.0,: @C,: @C,: @C,: @C,: @C,: @C
