Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Cities,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,64.4,65.8,64.0,66.4,64.2,:,:
Annual,Percentage,Cities,Austria,14.3,26.7,25.0,26.3,24.7,25.1 b,22.1,22.8,22.3,27.7,26.5,26.4,28.2,27.7,26.6,25.3,26.4,26.9,28.4,29.9,27.3
Annual,Percentage,Cities,Belgium,11.4,6.3,6.0,5.8,5.6,6.2,5.2,6.0,3.0,3.4 b,4.5,4.3,3.3,8.5 b,10.2,13.3,12.7 b,13.2,14.6,14.5,14.3
Annual,Percentage,Cities,Bulgaria,:,:,:,59.2,60.5,57.8,55.6,55.8,54.7,52.4 b,51.9,50.5,48.0,49.8 b,49.8,50.6,49.7,48.8,46.6,44.3,42.8
Annual,Percentage,Cities,Switzerland,:,:,:,:,9.1,9.0,8.2,7.1,8.0,10.5 b,12.1,9.7 b,10.8,11.9,10.1,10.1,8.2,9.3,7.2,7.2,10.9
Annual,Percentage,Cities,Cyprus,:,:,1.9,1.6,1.5,2.9 b,3.0,3.6,3.0,2.6 b,2.2,2.2,1.2,1.9,2.7,2.4,1.6,2.5,2.4,1.9,2.5
Annual,Percentage,Cities,Czechia,:,:,41.9,39.7,37.0,34.0,29.7,26.5,25.7,25.4 b,25.5,23.9,23.5,22.7,20.1,20.5,19.2,19.6,19.2,20.6,21.3
Annual,Percentage,Cities,Germany,:,:,8.8,10.4,8.8,9.0,9.4,9.6,9.5,10.8 b,10.4,9.9,10.5,11.0,11.4,11.5,12.7,15.0 b,15.7,16.5,16.6
Annual,Percentage,Cities,Denmark,10.7,11.2,11.0,11.9,10.8,11.1,11.2,10.7,11.2,11.3 b,11.7,13.6,13.8,14.9,14.8,14.9,14.2,15.1,15.2,15.8,14.5
Annual,Percentage,Cities,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,13.3 e,13.4 e,13.7 e,13.4 e,15.0 e,14.7 e,14.9 e,14.6 e,14.6 e,14.2 e,14.5 e,15.2,16.3,16.0,:,:
Annual,Percentage,Cities,Euro area - 18 countries (2014),:,:,15.1,14.8,14.7,14.1,13.9,14.1,13.5,15.1,14.8,14.9,14.5,14.5,14.1,14.4,15.1,16.3,:,:,:
Annual,Percentage,Cities,Euro area - 19 countries  (2015-2022),:,:,15.5,15.2,15.1,14.5,14.2,14.4,13.6,15.2,15.0,15.0,14.6,14.6,14.2,14.5,15.2,16.3,16.0,:,:
Annual,Percentage,Cities,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,15.1,14.8,14.8,14.5,14.7,15.5,16.5,16.4,16.4,17.2
Annual,Percentage,Cities,Estonia,:,53.0,52.9,52.2,49.4,49.0,49.1,46.3,16.1,16.4 b,24.0,16.1 b,15.6,15.5,16.7,14.7,16.2,15.0,19.1,19.6,21.1
Annual,Percentage,Cities,Greece,36.2,35.3,35.5,33.8,32.8,30.8,29.0,28.1,27.6,28.6 b,27.9,29.8,29.2,29.6,30.1,31.0,27.6,28.5,30.9,30.4,28.0
Annual,Percentage,Cities,Spain,:,13.0,8.5 b,7.4 b,5.9,5.2,6.2,6.0,7.2 b,6.4 b,5.4,6.3,6.5,5.5,5.3,5.3,6.4,9.1,7.1,7.5,8.7
Annual,Percentage,Cities,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,18.7 e,18.2 e,18.4 e,17.9 e,18.5 e,18.6 e,18.1 e,18.0 e,17.6 e,16.2 e,16.5 e,16.8 e,:,:,:,:
Annual,Percentage,Cities,European Union - 27 countries (2007-2013),:,:,20.0 e,19.3 e,18.9,18.7,18.2,18.2,17.7,18.4,18.5,18.0,17.9,17.5,16.0,16.3,16.7 e,:,:,:,:
Annual,Percentage,Cities,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,20.3 e,19.5 e,20.5 e,20.1 e,19.8 e,19.7 e,19.3 e,18.8 e,18.7 e,19.2 e,19.9,19.5,19.5,19.9
Annual,Percentage,Cities,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,18.4,17.9,18.5,18.6,18.1,18.0,17.6,16.2,16.5,16.8 e,:,:,:,:
Annual,Percentage,Cities,Finland,:,10.2,9.7,9.1,8.0,8.4,8.9,8.4,9.3,8.0 b,9.2,9.5,9.1,9.2,8.8,9.9,10.0,10.7,10.1,12.0,11.9
Annual,Percentage,Cities,France,:,15.7,14.4,12.7,16.2,15.2,14.3,14.0,12.5,12.4 b,11.2,10.5,10.9,11.8,11.7,12.6,14.7,17.8 b,17.0,17.0 b,18.1
Annual,Percentage,Cities,Croatia,:,:,:,:,:,:,:,49.9,49.5,46.8 b,46.2,41.6,42.1,45.8,43.6,43.8,43.6,42.3,40.7,39.0,38.0
Annual,Percentage,Cities,Hungary,:,:,46.8,50.2,47.4,48.1,46.3,45.8,41.1,42.6 b,41.4,37.7,39.1,38.4,38.8,19.0 b,17.7,14.7,14.5,15.0,12.5
Annual,Percentage,Cities,Ireland,9.7,8.7,7.4,9.2,7.4,7.3,5.7,5.4,4.3,4.5 b,3.7,5.9,4.7,6.2,5.6,5.5,6.4 b,4.9 b,4.7,6.0,4.0
Annual,Percentage,Cities,Iceland,:,9.2,8.4,9.2,11.0,6.9,8.1,8.3,9.0,9.2 b,10.7,8.6,9.4,8.6,9.6,12.0,15.3,:,:,:,:
Annual,Percentage,Cities,Italy,:,30.7,29.3,28.7,29.1,27.9,27.1,28.7,29.2,31.5,31.8,32.9,35.0 b,33.0,31.4,30.7,29.4,26.9,28.0,27.1,29.1
Annual,Percentage,Cities,Lithuania,:,:,57.2,58.8,58.6,56.7,55.9,51.2,20.2 b,21.1 b,32.4 b,32.5,25.5,23.9,22.7,26.5,25.7,24.0,26.3,27.1,30.6
Annual,Percentage,Cities,Luxembourg,11.4,12.6,14.4,12.0,11.4,11.8,10.5,12.6,11.0,17.6 b,13.6,12.7,13.1,14.1 b,14.4,16.4,13.0,14.0 b,12.6 b,7.5 b,11.1
Annual,Percentage,Cities,Latvia,:,:,64.1,65.0,63.8,60.8,59.5,58.6,43.2,32.8 b,35.6,39.6,42.9,45.6,46.8,50.0,47.0,47.6,47.7,47.2,47.8
Annual,Percentage,Cities,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,60.2,51.1,54.4,50.2,49.2,:,:,:
Annual,Percentage,Cities,Malta,:,:,4.0,3.6,4.2,4.0,3.9,4.1,4.4,4.0 b,4.5,4.1,3.8,3.2,3.3,3.7,4.0,4.5,2.9,2.7,3.4
Annual,Percentage,Cities,Netherlands,:,:,2.1,2.3,2.6,2.5,2.3,2.6,2.0,3.7 b,3.8,4.8,4.2,5.3 b,5.3,5.3,5.7,6.2,4.8,3.7,4.9
Annual,Percentage,Cities,Norway,:,8.1,8.0,7.1,7.4,7.2,6.9,7.0,6.9,7.6 b,7.9,:,10.7,8.7,10.2,10.7,10.9,11.2,11.8 b,9.9,8.3
Annual,Percentage,Cities,Poland,:,:,55.0,54.1,52.6,51.2,49.3,47.5,47.4,45.8 b,45.2,43.7,43.6,41.7,41.2,39.8,39.0,37.4 b,36.5,36.9,36.5 b
Annual,Percentage,Cities,Portugal,:,16.4,18.4,18.0,16.7,17.5,15.8,17.1,13.9,12.2 b,13.9,13.4,12.8,13.2,11.5,11.6,11.4,10.7,13.2,10.8,14.9
Annual,Percentage,Cities,Romania,:,:,:,:,60.3,60.0,58.8,56.6,55.7,52.7 b,52.0,50.7,51.8,49.5,47.3,48.2,47.2,48.1,43.8,45.3,43.3
Annual,Percentage,Cities,Serbia,:,:,:,:,:,:,:,:,:,:,58.7,55.6,57.8,59.8,61.2,61.0,59.7,59.3,56.0,56.2,:
Annual,Percentage,Cities,Sweden,:,18.0,15.7,16.1,16.7,17.4 b,17.1,19.2,20.2,20.0 b,19.2,17.9,22.0,20.4,18.8,19.9,19.8,19.7,20.8,21.1,21.3
Annual,Percentage,Cities,Slovenia,:,:,46.0,43.4,42.9,43.8,42.8,39.2,22.4 b,19.5 b,18.6,17.5,16.7,15.1,15.5,16.2,14.6,15.8,14.8,16.1,14.5
Annual,Percentage,Cities,Slovakia,:,:,52.0,52.9,50.8,51.0,48.3,48.5,47.1,44.6 b,47.5,39.5,36.0,35.9,34.3,35.5,36.1,33.7,34.1,34.3,31.9
Annual,Percentage,Cities,United Kingdom,:,:,6.5,7.3,7.2,8.3,8.8,9.0,8.9,9.0 b,11.1,10.0,10.0,10.1,4.3 b,6.3,:,:,:,:,:
Annual,Percentage,Towns and suburbs,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,63.9,61.6,60.8,55.5,55.8,:,:
Annual,Percentage,Towns and suburbs,Austria,8.7,9.0,8.4,10.0,11.0,10.2 b,9.4,6.6,7.6,9.6,12.4,12.8,12.6,13.2,13.8,11.9,13.6,13.6,11.2,13.8,11.3
Annual,Percentage,Towns and suburbs,Belgium,5.1,2.4,1.7,1.1,1.8,1.8,2.5,2.3,1.3,0.6 b,0.6,0.5,1.0,1.8 b,3.0,2.9,2.9 b,2.6,2.3,2.8,1.9
Annual,Percentage,Towns and suburbs,Bulgaria,:,:,:,46.7,44.9,50.7,52.2,50.7,53.6,45.1 b,45.0,43.6,40.0,39.6 b,39.2,37.7,37.5,37.7,37.4,35.2,33.3
Annual,Percentage,Towns and suburbs,Switzerland,:,:,:,:,5.7,6.3,6.6,4.7,3.7,5.3 b,5.4,6.7 b,5.6,5.5,5.3,5.1,6.0,5.6,5.3,5.8,6.2
Annual,Percentage,Towns and suburbs,Cyprus,:,:,1.5,1.6,0.2,1.1 b,1.7,3.8,4.1,3.3 b,1.7,1.5,0.8,2.9,3.8,2.9,3.2,2.4,1.2,1.4,1.9
Annual,Percentage,Towns and suburbs,Czechia,:,:,29.7,32.9,31.1,29.9,25.4,20.5,19.5,21.2 b,22.5,21.6,21.5,21.2,17.6,16.7,16.9,16.7,18.7,17.8,17.1
Annual,Percentage,Towns and suburbs,Germany,:,:,4.0,4.9,4.6,5.1,5.0,4.7,4.1,4.8 b,5.2,5.2,5.6,5.9,5.3,5.5,5.5,8.0 b,8.7,9.0,9.3
Annual,Percentage,Towns and suburbs,Denmark,6.2,6.1,6.2,6.1,6.5,5.7,6.5,6.0,5.5,6.3 b,7.0,5.1,5.8,5.7,6.5,8.7,9.8,7.6,6.1,7.0,6.5
Annual,Percentage,Towns and suburbs,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,9.4 e,9.5 e,9.4 e,9.3 e,9.9 e,10.4 e,10.5 e,11.6 e,11.6 e,11.6 e,11.8 e,12.2,12.7,12.7,:,:
Annual,Percentage,Towns and suburbs,Euro area - 18 countries (2014),:,:,9.3,9.7,10.2,10.0,9.5,9.4,9.3,10.0,10.5,10.5,11.6,11.6,11.5,11.8,12.2,12.7,:,:,:
Annual,Percentage,Towns and suburbs,Euro area - 19 countries  (2015-2022),:,:,9.3,9.7,9.8,10.0,9.5,9.4,9.3,10.0,10.5,10.5,11.6,11.6,11.6,11.8,12.2,12.7,12.7,:,:
Annual,Percentage,Towns and suburbs,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,10.9,11.9,12.0,11.9,12.1,12.5,12.9,13.2,12.3,12.6
Annual,Percentage,Towns and suburbs,Estonia,:,63.3,46.6,63.2,55.9,46.5,49.1,43.6,14.2,9.4 b,18.9,10.8 b,11.0,12.2,9.4,7.6,9.3,7.7,13.7,14.2,15.6
Annual,Percentage,Towns and suburbs,Greece,32.8,17.3,31.3,27.7,28.4,24.8,23.3,26.0,22.0,23.5 b,23.7,24.9,26.8,27.9,28.3,28.9,28.5,29.0,26.2,26.8,27.7
Annual,Percentage,Towns and suburbs,Spain,:,15.6,8.1 b,6.4 b,6.8,7.4,5.0,4.7,7.4 b,5.2 b,5.4,4.1,5.0,5.7,5.6,4.3,6.1,8.0,6.6,6.5,7.5
