Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Miscellaneous goods and services,"Index, 2015=100",Albania,112.81 d,113.22 d,113.35 d,113.44 d,113.61 d,113.67 d,113.79 d,113.97 d,114.10 d,114.08 d,114.30 d,114.58 d
Monthly,Miscellaneous goods and services,"Index, 2015=100",Austria,126.19,126.69,127.1,127.5,127.97,128.13,128.26,128.13,128.51,129.71,129.76,129.48
Monthly,Miscellaneous goods and services,"Index, 2015=100",Belgium,124.63,124.71,124.96,124.55,125.31,125.55,126.05,126.31,126.26,126.8,127.25,127.74
Monthly,Miscellaneous goods and services,"Index, 2015=100",Bulgaria,139.7,140.23,141.11,141.32,141.89,142.37,142.74,142.97,143.08,143.86,143.8,144.3
Monthly,Miscellaneous goods and services,"Index, 2015=100",Switzerland,108.28,107.98,107.88,108.23,108.18,108.03,107.84,108.0,108.15,107.99,108.09,107.96
Monthly,Miscellaneous goods and services,"Index, 2015=100",Cyprus,110.06,110.24,110.97,111.65,111.86,111.97,111.87,111.41,111.89,113.21,112.23,111.78
Monthly,Miscellaneous goods and services,"Index, 2015=100",Czechia,143.6,144.9,145.2,146.1,146.1,146.1,147.0,146.8,146.9,147.3,147.2,146.6
Monthly,Miscellaneous goods and services,"Index, 2015=100",Germany,125.3,125.7,126.6,127.4,127.8,128.5,129.7,129.7,130.2,130.9,131.1,131.4
Monthly,Miscellaneous goods and services,"Index, 2015=100",Denmark,118.8,118.8,118.8,118.6,118.8,118.8,119.1,118.8,118.8,118.8,118.6,118.6
Monthly,Miscellaneous goods and services,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",120.04,120.51,120.85,121.68,121.89,122.33,122.5,122.73,123.01,123.43,123.69,123.96
Monthly,Miscellaneous goods and services,"Index, 2015=100",Euro area - 19 countries  (2015-2022),120.04,120.51,120.85,121.67,121.89,122.33,122.49,122.72,122.99,123.41,123.67,123.95
Monthly,Miscellaneous goods and services,"Index, 2015=100",Euro area – 20 countries (from 2023),120.07,120.54,120.88,121.7,121.92,122.36,122.53,122.76,123.04,123.46,123.72,123.99
Monthly,Miscellaneous goods and services,"Index, 2015=100",Estonia,146.57,148.69,148.26,151.38,151.62,151.64,152.87,153.71,153.92,154.43,154.09,153.25
