Time frequency,Type of issuer,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),0.41 p,0.79 p,0.99 p,1.98 p,1.66 p,4.07 p,4.66 p,8.31 p,11.04 p
Annual,Government,Percentage of total,European Union - 27 countries (from 2020),0.09 p,0.12 p,0.23 p,3.98 p,2.96 p,1.94 p,1.9 p,5.32 p,4.42 p
Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),1.65 p,2.29 p,2.98 p,4.14 p,3.43 p,10.39 p,8.67 p,10.76 p,8.25 p
Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2.83 p,1.86 p,3.07 p,1.73 p,4.09 p,3.17 p,2.89 p,9.16 p,8.62 p
Annual,Total,Percentage of total,European Union - 27 countries (from 2020),0.6 p,0.81 p,1.14 p,2.7 p,2.31 p,4.04 p,4.01 p,7.8 p,8.85 p
