Time frequency,Unit of measure,Sex,Age class,Income situation in relation to the risk of poverty threshold,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Albania,:,:,:,:,:,60.6,59.7,57.9,55.9,55.7,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Austria,10.5,11.9,12.1,11.9,11.5,11.5,10.4,12.3,11.0,10.5,11.7,10.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Belgium,0.7,0.8,0.8,0.7,1.9 b,2.7,3.2,4.0 b,4.1,4.3,4.0,3.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Bulgaria,42.5,41.9,40.1,39.4,39.9 b,39.8,39.6,39.5,37.7,36.2,34.1,32.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Switzerland,4.6,6.2,5.8 b,4.9,5.3,4.9,4.8,4.9,5.1,4.6,4.1,5.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Cyprus,2.0,1.9,1.8,1.0,1.7,2.3,2.0,1.6,2.2,1.9,1.6,1.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Czechia,18.7,19.0,17.3,16.3,15.5,14.1,14.3,13.7,13.9,13.7,13.5,13.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Germany,4.5,4.8,4.6,4.9,4.9,5.1,5.1,5.5,7.9 b,8.4,8.9,8.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Denmark,5.0,5.4,5.9,5.4,6.1,6.2,6.2,7.1,7.0,6.8,7.6,6.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area - 19 countries  (2015-2022),9.3,9.6,9.4,9.6,9.8,9.7,9.9,10.3,10.8,10.8,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area – 20 countries (from 2023),:,:,9.7,10.0,10.1,10.1,10.3,10.6,11.1,11.3,10.9,11.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Estonia,12.2,20.2,13.3 b,12.9,12.5,12.9,12.5,12.9,11.6,13.8,14.0,15.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Greece,22.7,22.9,22.9,24.3,25.0,25.3,25.7,25.0,25.8,25.0,24.7,24.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Spain,4.0,3.7,3.7,3.8,3.3,3.4,2.9,3.6,5.2,4.3,5.1,5.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (2007-2013),14.2,14.2,13.7,13.8,13.7,13.3,13.1,13.2 e,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (from 2020),15.7 e,15.6 e,15.1 e,15.2 e,15.0 e,15.1 e,14.7 e,14.8 e,15.1,14.9,14.5,14.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 28 countries (2013-2020),14.4,14.4,13.9,14.0,13.9,13.5,13.3,13.4 e,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Finland,3.8,4.8,5.0,4.7,4.8,4.6,5.5,6.0,5.8,5.7,6.4,6.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,France,5.6,5.2,4.9,5.3,5.3,5.3,5.7,5.4,7.0 b,6.9,6.6 b,7.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Croatia,43.3,41.8,40.9,40.9,39.9,38.8,38.1,37.7,35.8,34.4,33.0,31.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Hungary,41.4,40.0,38.1,37.5,38.0,40.2,19.2 b,19.4,18.5,17.1,16.1,13.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Ireland,2.6,2.5,3.3,3.3,2.8,1.9,2.4,2.2 b,2.3 b,2.9,3.5,3.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Iceland,7.0,7.7,7.1,7.1,6.3,6.5,8.7,11.9,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Italy,22.8,23.6,23.4,23.9,24.8,24.6,25.1,26.3,23.6,25.2,23.0,22.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Lithuania,17.8,26.0 b,26.5,24.0,21.6,21.9,22.5,21.8,20.2,23.0,24.1,25.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Luxembourg,4.4,3.4,3.8,4.4,4.9 b,6.2,5.9,4.5,6.0 b,6.4 b,3.8 b,5.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Latvia,33.7,35.3,37.5,39.1,42.4,40.5,43.2,42.7,42.5,40.1,40.5,39.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Montenegro,:,42.0,50.2,54.0,55.5,54.0,58.9,59.0,60.9,56.7,59.9,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,North Macedonia,47.2,46.4,42.4 b,46.4,46.3,41.4,42.5,39.7,38.2,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Malta,3.5,4.1,3.2,3.0,2.2,2.5,2.6,3.0,3.4,2.7,2.6,2.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Netherlands,1.8,1.3,1.9,2.0,2.5 b,2.5,3.0,3.4,3.2,2.1,1.9,2.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Norway,3.7,3.6,2.6,3.0,2.7,3.1,3.3,3.6,3.6,4.0 b,4.2,4.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Poland,43.3,41.2,40.4,39.9,36.8,38.8,37.7,36.3,36.0 b,34.5,34.3,32.9 b
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Portugal,8.5,9.5,7.7,7.7,8.0,7.4,7.7,7.7,8.0,8.7,7.2,9.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Romania,48.1,46.5,44.4,45.6,44.3,43.5,43.2,43.1,42.4,38.8,37.5,37.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Serbia,:,51.6,48.3,50.1,52.7,53.2,50.9,51.2,50.4,48.9,48.3,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Sweden,8.9,8.2,7.5,8.9,9.3,9.1,10.0,10.4,10.9,10.7,11.9,11.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Slovenia,15.0,14.0,13.1,12.1,11.3,11.8,11.4,10.7,9.9,9.7,9.9,9.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Slovakia,36.2,37.4,35.7,35.0,35.6,33.7,32.7,31.1,27.8,28.4,27.7,27.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Türkiye,37.3,37.8,39.1,38.6,36.6,36.0,34.7,33.3,32.9,31.6,30.5,32.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,United Kingdom,5.7 b,6.7,5.9,6.0,6.8,2.8 b,3.7,:,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Albania,:,:,:,:,:,74.1,73.3,70.0,66.1,66.4,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Austria,34.3,31.3,34.2,34.1,37.5,36.0,32.3,33.0,33.8,36.5,38.5,38.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Belgium,6.2,8.4,8.9,6.5,12.4 b,15.8,18.7,15.5 b,15.5,16.9,20.5,18.1
