Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Less than 18 years,Total,Albania,:,:,:,:,:,:,:,:,54.8,52.4,49.4,48.4
Annual,Percentage,Less than 18 years,Total,Austria,20.8,22.4,22.1,20.9,22.9,23.3,22.3,20.0,23.0,21.6,19.5,22.2
Annual,Percentage,Less than 18 years,Total,Belgium,20.5,23.2,23.3,22.8,21.9,23.2,23.3,21.6,22.1,23.0,22.3 b,20.3
Annual,Percentage,Less than 18 years,Total,Bulgaria,47.3,49.8,51.8,52.3,51.5,45.2 b,43.7,45.6 b,41.6,33.7,34.1,33.3
Annual,Percentage,Less than 18 years,Total,Switzerland,20.4,19.8,18.9,18.9,17.2,17.3 b,20.7,20.5,21.4,21.0,21.4,22.4
Annual,Percentage,Less than 18 years,Total,Cyprus,20.2,21.8,23.4,27.5,27.7,24.7,28.9,29.6,25.5,25.5,23.0,23.4
Annual,Percentage,Less than 18 years,Total,Czechia,17.2,18.9,20.0,18.8,16.4,19.5,18.5,17.4,14.2,13.2,13.0,13.0
Annual,Percentage,Less than 18 years,Total,Germany,20.4,21.7,19.9,18.4,19.4,19.6,18.5,19.3,18.0,17.3,15.0,22.7 b
Annual,Percentage,Less than 18 years,Total,Denmark,14.0,15.1,15.7 b,14.9,15.4,14.5,15.7,13.9,14.5,15.1,13.2,12.4 b
Annual,Percentage,Less than 18 years,Total,Euro area - 19 countries  (2015-2022),24.3,25.4,25.5,25.6,25.2,25.7,25.4,25.3,24.3,23.5,22.2,24.2 b
Annual,Percentage,Less than 18 years,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,25.7,25.4,25.3,24.3,23.5,22.2,24.1
Annual,Percentage,Less than 18 years,Total,Estonia,24.5,24.0,24.8,22.4,22.3,23.8 b,22.5,21.2,18.8,17.9,20.3,17.7
Annual,Percentage,Less than 18 years,Total,Greece,30.0,28.7,30.4,35.4,38.1,36.7,37.8,37.5,36.2,33.3,30.5,30.4
