Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Lithuania,6.7,12.1,4.8,9.4,-1.6,-5.9,0.4,1.7,2.7,2.9,4.3,5.8,3.9,4.3,6.2,4.9,6.5,14.2,13.1,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Luxembourg,4.4,2.0,0.6,7.8,5.9,0.0,5.8,2.1,1.7,1.9,1.9,-1.2,5.3,5.6,2.4,3.9,0.9,7.9,10.9,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Latvia,14.1,14.9,26.6,20.8,-9.1,-9.5,1.0,1.6,5.9,4.6,5.2,3.9,3.9,5.2,6.6,5.7,-0.7,11.3,13.8,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.2 e,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Malta,0.0,4.1,0.2,2.4,3.6,-1.1,5.4,1.3,0.6,-0.4,0.0,5.3,-3.3,6.9,5.7,8.2,-4.8,4.4,1.6,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Netherlands,-0.3,0.1,1.9,3.5,5.4,-1.3,1.0,2.7,0.6,-0.1,-1.5,1.0,0.4,2.7,3.0,7.8,-1.6,2.5 p,7.9 p,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Norway,3.4,6.5,7.4,9.1,5.0,2.1,5.1,3.9,4.5,2.0,1.2,0.4,0.6,4.0,4.4,1.5,2.2,4.9,7.4,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Poland,1.1,-0.5,3.2,7.7,1.1,3.2 b,0.9,1.9,0.8,0.1,-0.5,2.5,1.7,1.9,3.4 b,7.3,0.8,7.9,13.0,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Portugal,3.4,0.6,0.9,2.7,2.8,-0.7,-1.9,-3.0,1.5,-1.1,0.2,0.9,2.1,3.8,3.3,8.7,1.7,2.4,6.5 e,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Romania,20.8 d,6.3 d,1.5 d,23.1,-1.7,6.5,-5.1,2.7,3.6,2.9,-2.5,11.0,8.7,6.6,6.9,5.8,1.6,10.2,13.6 p,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Serbia,16.3,17.0,12.2,12.1,9.6,3.3,9.4,9.6,2.9,2.2,-1.0,1.5,2.8,2.7,4.6,8.6,2.4,10.1 p,10.3 p,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Sweden,0.5,0.4,4.5,5.6,4.6,-2.3,2.3,4.4,1.8,1.4,-0.2,2.0,2.8,3.7,1.0,3.2,0.2,4.2,6.8,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Slovenia,1.7,1.1,2.3,6.3,8.5,0.6,-0.9,1.1,0.2,-1.0,0.4,2.0,0.8,2.8,4.2,7.5,0.9,5.2,9.0,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Slovakia,3.5,1.4,0.4,4.5,6.4,-2.7,1.3,1.0,1.1,0.6,0.4,2.7,4.5,3.8,5.4,4.6,0.6,7.4,8.7,:
Annual,Percentage change on previous period,Nominal unit labour cost based on persons,Kosovo*,:,:,:,:,:,:,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:,:
