Time frequency,Entity,Balance of payments indicator,Foreign direct investment item,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Austria,79.1,80.6,79.2,67.3,: @C,: @C,56.9,: @C,: @C,: @C,: @C
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Belgium,90.3,117.4,133.4,136.3,136.1,115.7,130.3,128.2,126.9,118.7,112.2
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Bulgaria,4.2,3.6,3.6,4.2,4.2,4.1,4.1,4.7,4.4,4.2,4.3
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Switzerland,:,:,:,:,:,:,210.7,216.1,204.8,169.4,169.2
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Cyprus,1662.7,1972.3,2206.0,2091.4,1976.6,2260.0,2599.6,2231.8,1996.1,1749.2,1604.9
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Czechia,9.3,9.1 p,9.9 p,10.3,13.7,16.8,17.5,19.0,19.9,19.9,19.7 p
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Germany,38.1,38.6,40.8,40.6,41.3,43.5,45.9,47.8,51.3,49.3,49.5
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Denmark,56.4,59.6,62.5,68.3,67.7,71.7,67.5,68.5,70.6,63.7,66.1
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Estonia,25.8,25.1,26.1,26.6,26.6,26.2,31.7,32.5,35.2,33.1,34.7
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Greece,14.8,13.8,12.8,9.8,9.5,9.4,9.2,6.7,7.1,7.6,8.5
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Spain,41.1,41.9,44.0,46.2,45.3,44.5,46.5,46.0,45.7,43.6,42.6
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,European Union - 27 countries (from 2020),99.2,109.2 p,120.6 p,123.8,120.5,115.0,116.8,117.5,115.9 p,107.1 p,99.0
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Finland,51.8,46.5,41.3,47.8,46.3,49.2,49.9,50.3,50.9,50.6,50.9
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,France,45.3,48.4,52.9,54.3,52.1,54.3,54.4,56.2,55.1,54.6,52.5
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Croatia,7.0,10.0,8.2,7.9,7.4,7.6,8.0,11.2,10.4,9.2,9.2
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Hungary,137.7,130.0,120.4,159.8,130.0,77.4,108.6,162.2,163.9,154.7,126.8
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Ireland,208.8,252.7,307.1,300.5,269.9,251.0,275.0,270.6,292.7,232.5,244.8
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Iceland,:,:,:,:,:,:,:,:,28.9,17.7,18.1
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Italy,23.9,24.0,25.2,25.4,26.2,27.3,27.6,28.7,27.1,27.0,26.2
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Lithuania,8.4,8.3,9.0,9.1,8.5,9.2,12.8,17.2,18.0,15.6,15.9
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Luxembourg,5211.0,6396.9,8008.9,8034.4,7519.1,6727.5,6339.8,5888.9,5449.2 p,4959.2 p,4429.3 p
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Latvia,5.3,6.5,7.1,7.5,7.2,7.3,6.5,7.1,16.5,14.9,15.8
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,North Macedonia,:,:,:,:,:,:,:,:,:,1.3,2.0
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Malta,714.3,678.6,602.3,571.8,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Netherlands,582.8,604.5,600.7,638.2,618.7,570.5,567.3,538.0,505.7,452.6,397.6
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Norway,:,:,:,:,:,:,:,:,:,39.2,50.9
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Poland,5.8,6.0,6.0,6.3,5.3,4.3,4.2,4.2,4.3,4.7,4.9
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Portugal,34.1,30.6,33.4,32.5,29.7,24.7,25.3,26.4,26.5,25.8,25.2
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Romania,0.4,0.2,0.5,0.4,0.3,0.6,1.0,1.1,1.7,1.9,2.0
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Sweden,72.7,76.0,72.1,72.6,67.8,74.0,76.9,80.0,79.2,86.2,93.3
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Slovenia,14.4,14.3,14.3,14.3,14.0,13.4,14.2,15.0,15.1,15.1,14.7
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Slovakia,4.7,3.0,2.8,3.1,4.5,4.4,: @C,4.8,4.6,4.8,4.1
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Türkiye,:,:,:,:,:,:,:,:,6.6,5.8,5.5
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,United Kingdom,59.3,57.0,56.5,58.9,58.1,63.7,:,:,:,:,:
Annual,Total,GDP (stocks in % of GDP),Direct investment abroad (DIA),Rest of the world,Kosovo*,:,:,:,:,:,:,:,:,:,8.5,9.8
