Time frequency,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,65 years or over,Ratio,Males,Belgium,3.43,3.32,3.17,3.66,3.61,2.99,3.15,3.52 b,3.83,2.98,3.77,3.46
Annual,65 years or over,Ratio,Males,Bulgaria,3.79,4.25,4.03,4.32,4.32 b,5.32,5.05,5.15,5.02,5.27,4.93,4.54
Annual,65 years or over,Ratio,Males,Switzerland,4.81,4.67,4.95 b,5.0,4.84,5.1,5.1,5.11,5.87,5.46,5.44,5.22
Annual,65 years or over,Ratio,Males,Cyprus,4.93,5.58,5.14,5.12,5.2,5.04,4.88,4.79,4.53,4.85,4.91,4.93
Annual,65 years or over,Ratio,Males,Czechia,2.32,2.35,2.38,2.36,2.29,2.23,2.37,2.54,2.51,2.45,2.65,2.61
Annual,65 years or over,Ratio,Males,Germany,4.06,3.9,4.23,4.12,4.15,4.03,4.41,4.68,4.23 b,4.43,3.91,3.99
Annual,65 years or over,Ratio,Males,Denmark,3.03,3.15,3.83,3.32,3.65,3.05,3.6,4.09,3.06 b,2.99,3.21,5.28
Annual,65 years or over,Ratio,Males,Euro area - 19 countries  (2015-2022),4.31,4.16,4.24,4.23,4.24,4.22,4.31,4.4,4.30 b,4.34,:,:
Annual,65 years or over,Ratio,Males,Euro area – 20 countries (from 2023),:,:,4.25,4.24,4.24,4.23,4.31,4.4,4.3,4.36,4.25,4.29
Annual,65 years or over,Ratio,Males,Estonia,3.0,3.32,3.80 b,3.82,3.88,4.13,4.01,4.02,4.12,3.76,4.33,4.17
Annual,65 years or over,Ratio,Males,Greece,4.76,4.04,4.15,4.2,3.99,4.25,3.97,3.85,3.97,4.28,4.26,4.31
Annual,65 years or over,Ratio,Males,Spain,4.71,4.62,4.25,4.35,4.34,4.53,4.63,4.55,5.08,5.14,4.83,4.91
Annual,65 years or over,Ratio,Males,European Union - 27 countries (2007-2013),4.14,3.99,4.15,4.23,4.16,4.13,4.23,4.32 e,:,:,:,:
