Time frequency,Item of milk,Dairy and other animal products (except meat),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Albania,:,:,0.0,0.00 p,0.00 p,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Austria,0.33,0.5,1.39,1.32,4.41,1.96,: @C,: @C,: @C,: @C,2.11,2.02
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Belgium,: @C,: @C,51.19,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Bulgaria,0.00 n,0.00 n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Switzerland,21.68,21.95,22.13,19.9,18.48,19.41,20.09,21.21,17.28,20.01,23.43 b,20.72 p
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Cyprus,0.0,0.0,0.00 n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Czechia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Germany,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Denmark,105.4,92.3,89.0,89.3,89.0,87.0,72.0,77.1,69.2,74.4,63.7,54.8
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Estonia,: @C,: @C,: @C,: @C,0.0,: @C,: @C,: @C,: @C,0.0,0.0,0.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Greece,0.0,: @C,0.00 n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Spain,1.04 p,3.30 p,4.73 p,: @C,: @C,: @C,: @C,: @C,: @C,: @C,12.25,12.37 p
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",European Union - 27 countries (from 2020),: @C,: @C,: @C,: @C,: @C,: @C,707.0,717.0,727.26 e,631.51 e,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Finland,3.86,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",France,113.11,134.5,145.64,132.16,140.41,146.74,115.84,108.64,129.46,119.3,118.72,113.07 p
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Croatia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
