Time frequency,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Percentage,From 12 to 17 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.3,6.2,3.8,3.9,:
Annual,Total,Percentage,From 12 to 17 years,Austria,1.2,1.9,0.7,0.5,1.1,0.3 b,1.2,0.4,0.1,0.4,0.8,0.7,0.4,0.5,1.0,0.3,0.0,0.3,0.3
Annual,Total,Percentage,From 12 to 17 years,Belgium,1.0,0.6,0.7,0.6,0.9,1.0,0.2,0.1,1.2,3.6,1.1,1.4,1.4,1.3,1.2,0.5,0.2 b,0.1,0.2
Annual,Total,Percentage,From 12 to 17 years,Bulgaria,:,:,36.4,36.4,39.9,32.2,30.3,28.7,29.2,25.9,27.2,25.9 b,21.8,22.2 b,20.8,19.7,16.8,15.6,12.3
Annual,Total,Percentage,From 12 to 17 years,Switzerland,:,:,:,:,1.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0 b,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Cyprus,:,:,0.7,0.7,0.1,0.2,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Czechia,:,:,3.1,1.2,1.4,1.0,0.4,0.1,0.2,0.8,0.9,0.7,0.3,0.3,0.2,0.3,0.3,0.4,:
Annual,Total,Percentage,From 12 to 17 years,Germany,:,:,1.3,2.4,1.2,1.0,0.6,1.3,1.3,1.0,0.2,0.1,0.1,0.2,0.0,0.0,0.1,0.0 b,:
Annual,Total,Percentage,From 12 to 17 years,Denmark,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.4,0.0,0.0,0.1,0.1,0.1,0.4,:
Annual,Total,Percentage,From 12 to 17 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,0.6 e,0.7 e,0.6 e,0.4 e,0.5 e,0.5 e,0.4 e,0.3 e,0.4,0.4,:
Annual,Total,Percentage,From 12 to 17 years,Euro area - 18 countries (2014),:,:,1.1 e,1.3 e,1.0,0.7,0.6,0.6,0.8,0.8,0.7,0.4,0.4,0.4,0.3,0.2,0.3,0.4,:
Annual,Total,Percentage,From 12 to 17 years,Euro area - 19 countries  (2015-2022),:,:,1.4 e,1.7 e,1.2,0.9,0.8,0.8,0.9,1.0,0.8,0.5,0.5,0.5,0.4,0.3,0.4,0.4,:
Annual,Total,Percentage,From 12 to 17 years,Estonia,:,15.8,14.4,13.9,15.4,12.1,11.4,11.0,9.9,7.1,6.3,6.4 b,4.9,5.6,3.3,2.9,2.8,2.5,:
Annual,Total,Percentage,From 12 to 17 years,Greece,1.6,1.4,1.8,1.8,2.1,1.9,1.3,0.6,0.8,0.1,0.3,0.0,0.2,0.3,0.2,0.6,0.9,0.6,0.3
Annual,Total,Percentage,From 12 to 17 years,Spain,:,0.3,0.4,0.0 n,0.4,0.1,0.0,0.0,0.0,0.0,0.0 n,0.0,0.0 n,0.4,0.1,0.1,0.3,0.4,:
Annual,Total,Percentage,From 12 to 17 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,3.5,3.5,3.3,3.1,3.0,3.0,2.9 e,2.4 e,2.1 e,:,:
Annual,Total,Percentage,From 12 to 17 years,European Union - 27 countries (2007-2013),:,:,:,:,4.5,3.9,3.7,3.6,3.5,3.5,3.3,3.1,3.0,3.0,2.9 e,2.4 e,2.1 e,:,:
Annual,Total,Percentage,From 12 to 17 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,4.0 e,4.0 e,4.1 e,3.7 e,3.5 e,3.4 e,3.4 e,3.0 e,2.6 e,2.2 e,2.1,:
Annual,Total,Percentage,From 12 to 17 years,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.6,3.5,3.5,3.3,3.1,3.0,3.0,2.9 e,2.4 e,2.1 e,:,:
Annual,Total,Percentage,From 12 to 17 years,Finland,:,0.4,0.4,0.3,0.4,0.7,0.7,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.0 n,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,France,:,0.5,0.4,0.5,0.7,0.5,0.4,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.4 b,0.6
Annual,Total,Percentage,From 12 to 17 years,Croatia,:,:,:,:,:,:,:,0.6,1.3,2.4 b,0.6,1.8,1.6,1.8,1.3,0.8,0.5,0.3,:
Annual,Total,Percentage,From 12 to 17 years,Hungary,:,:,8.1,5.5,6.1,6.8,8.9,7.9,6.6,7.6,7.7,6.5,5.0,6.6,6.2,5.1,3.9,2.1,:
Annual,Total,Percentage,From 12 to 17 years,Ireland,0.0,0.4,0.2,0.0 n,0.2,0.3,0.0 n,0.1,4.1,2.3,3.0,0.0 n,0.3,0.3,0.1,0.5,0.2 b,0.7 bu,:
Annual,Total,Percentage,From 12 to 17 years,Iceland,:,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Total,Percentage,From 12 to 17 years,Italy,:,0.4,0.1,0.2,0.2,0.1,0.1,0.2,0.2,1.0,1.6,0.7,0.7,0.4,0.4,0.2,0.3,0.5,1.1
Annual,Total,Percentage,From 12 to 17 years,Lithuania,:,:,24.9,25.0,16.7,15.7,16.1,14.3,18.2,17.1,13.2,12.7,15.2,13.0,12.6,11.9,11.4,6.4,2.0
Annual,Total,Percentage,From 12 to 17 years,Luxembourg,0.0,0.0 n,0.0,0.3,0.9,0.7,0.4,0.1,0.0,0.6,0.0,0.1,0.0,0.2 b,0.1,0.0,0.0,0.0 b,:
Annual,Total,Percentage,From 12 to 17 years,Latvia,:,:,21.5,19.8,21.0,18.2,20.7,20.2,19.5,21.8,18.8,19.8,16.2,14.4,11.1,9.2,7.2,5.6,4.0
