Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Cities,Percentage,Austria,31.9
Annual,Cities,Percentage,Belgium,23.7
Annual,Cities,Percentage,Bulgaria,8.0
Annual,Cities,Percentage,Cyprus,18.5
Annual,Cities,Percentage,Czechia,7.2 u
Annual,Cities,Percentage,Germany,16.2
Annual,Cities,Percentage,Denmark,45.0
Annual,Cities,Percentage,Estonia,20.9
Annual,Cities,Percentage,Greece,29.7
Annual,Cities,Percentage,Spain,22.0
Annual,Cities,Percentage,European Union (aggregate changing according to the context),23.1 e
Annual,Cities,Percentage,Finland,49.0
Annual,Cities,Percentage,France,31.0
Annual,Cities,Percentage,Croatia,22.4
Annual,Cities,Percentage,Hungary,26.9
Annual,Cities,Percentage,Ireland,32.2
Annual,Cities,Percentage,Lithuania,16.3
Annual,Cities,Percentage,Luxembourg,30.7
Annual,Cities,Percentage,Latvia,17.7
Annual,Cities,Percentage,Malta,16.7
Annual,Cities,Percentage,Netherlands,38.9
Annual,Cities,Percentage,Poland,10.6
Annual,Cities,Percentage,Portugal,14.7
Annual,Cities,Percentage,Romania,15.7
Annual,Cities,Percentage,Sweden,45.1
Annual,Cities,Percentage,Slovenia,24.0
Annual,Cities,Percentage,Slovakia,16.8
Annual,Towns and suburbs,Percentage,Austria,27.0
Annual,Towns and suburbs,Percentage,Belgium,17.1
Annual,Towns and suburbs,Percentage,Bulgaria,4.1
Annual,Towns and suburbs,Percentage,Cyprus,9.1 u
Annual,Towns and suburbs,Percentage,Czechia,11.9
Annual,Towns and suburbs,Percentage,Germany,13.4
Annual,Towns and suburbs,Percentage,Denmark,36.0
Annual,Towns and suburbs,Percentage,Estonia,25.2
Annual,Towns and suburbs,Percentage,Greece,17.6
Annual,Towns and suburbs,Percentage,Spain,16.9
Annual,Towns and suburbs,Percentage,European Union (aggregate changing according to the context),17.5 e
Annual,Towns and suburbs,Percentage,Finland,41.0
Annual,Towns and suburbs,Percentage,France,22.6
Annual,Towns and suburbs,Percentage,Croatia,19.2
Annual,Towns and suburbs,Percentage,Hungary,17.4
Annual,Towns and suburbs,Percentage,Ireland,30.4
Annual,Towns and suburbs,Percentage,Lithuania,10.7
Annual,Towns and suburbs,Percentage,Luxembourg,35.8
Annual,Towns and suburbs,Percentage,Latvia,12.2
Annual,Towns and suburbs,Percentage,Malta,13.7
Annual,Towns and suburbs,Percentage,Netherlands,30.8
Annual,Towns and suburbs,Percentage,Poland,8.1
Annual,Towns and suburbs,Percentage,Portugal,12.7
Annual,Towns and suburbs,Percentage,Romania,10.7
Annual,Towns and suburbs,Percentage,Sweden,39.2
Annual,Towns and suburbs,Percentage,Slovenia,14.1
Annual,Towns and suburbs,Percentage,Slovakia,20.2
Annual,Rural areas,Percentage,Austria,24.1
Annual,Rural areas,Percentage,Belgium,16.9
Annual,Rural areas,Percentage,Bulgaria,3.8
Annual,Rural areas,Percentage,Cyprus,: u
Annual,Rural areas,Percentage,Czechia,10.1
Annual,Rural areas,Percentage,Germany,11.3
Annual,Rural areas,Percentage,Denmark,32.5
Annual,Rural areas,Percentage,Estonia,18.3
Annual,Rural areas,Percentage,Greece,13.2
Annual,Rural areas,Percentage,Spain,19.3
Annual,Rural areas,Percentage,European Union (aggregate changing according to the context),16.4 e
Annual,Rural areas,Percentage,Finland,37.0
Annual,Rural areas,Percentage,France,23.9
Annual,Rural areas,Percentage,Croatia,15.7
Annual,Rural areas,Percentage,Hungary,15.5
Annual,Rural areas,Percentage,Ireland,22.6
Annual,Rural areas,Percentage,Lithuania,11.6
Annual,Rural areas,Percentage,Luxembourg,32.8
Annual,Rural areas,Percentage,Latvia,9.7
Annual,Rural areas,Percentage,Malta,: u
Annual,Rural areas,Percentage,Netherlands,30.9
Annual,Rural areas,Percentage,Poland,5.8
Annual,Rural areas,Percentage,Portugal,10.5
Annual,Rural areas,Percentage,Romania,14.5
Annual,Rural areas,Percentage,Sweden,40.8
Annual,Rural areas,Percentage,Slovenia,14.1
Annual,Rural areas,Percentage,Slovakia,14.8
