Time frequency,Unit of measure,Milk product,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Annual,Tonne,Cows' milk collection,Algeria,100700.0,93500.0,129500.0,107471.0,140294.0,163639.0,221250.0,197305.0,221969.0,312806.0,263291.1,292695.9,308819.0,336806.6,354882.5,375377.0
Annual,Tonne,Cows' milk collection,Egypt,1645002.0,1617678.0,1996892.0,2597644.0,2282001.0,2802268.0,2980065.0,3187317.0,3211364.0,2803340.0,2995329.0,3107169.0,3154042.0,2908071.0,2552488.0,:
Annual,Tonne,Cows' milk collection,Israel,1186040.0,1229831.0,1212600.0,1179117.0,1205473.0,1216392.0,1186800.0,1222920.0,1335175.0,1276723.0,1269295.0,1355773.0,1366406.0,1390780.0,1475389.0,1389849.5
Annual,Tonne,Cows' milk collection,Jordan,124076.0,128970.0,158280.0,145460.0,200530.0,196680.0,205150.0,256380.0,313960.0,244600.0,214950.0,238569.0,240685.0,236773.0,247820.0,270411.0
Annual,Tonne,Cows' milk collection,Lebanon,158400.0,167100.0,193500.0,194600.0,186300.0,189800.0,166800.0,183500.0,163800.0,168200.0,:,:,:,:,:,:
Annual,Tonne,Cows' milk collection,Morocco,1150000.0,1100000.0,1200000.0,1250000.0,1375000.0,1410000.0,1571000.0,1660000.0,1800000.0,1960000.0,2100000.0,2270000.0,2500000.0,2300000.0,2300000.0,2400000.0 p
Annual,Tonne,Cows' milk collection,Palestine*,68095.0 e,80733.0 e,89290.0 e,93881.0 e,94686.0 e,99472.0 e,102551.0 e,93689.0 e,95430.0 e,:,:,:,:,48635.0,:,:
Annual,Tonne,Cows' milk collection,Syria,1156393.0,1032322.0,1173527.0,1207116.0,1364359.0,1505509.0,1615683.0,1706000.0,:,:,:,:,:,:,:,:
Annual,Tonne,Cows' milk collection,Tunisia,870000.0,916000.0,927000.0,872000.0,844000.0,900000.0,957000.0,983000.0,988000.0,1006700.0,1030000.0,1063000.0,1098000.0,1149000.0,1191700.0 e,1220300.0
Annual,Tonne,Ewes' collection milk,Algeria,:,:,:,:,:,:,487397.0,422720.8,:,:,:,:,:,:,:,:
Annual,Tonne,Ewes' collection milk,Israel,19366.0,23465.0,23360.0,23709.0,21051.0,21777.0,21777.0,19392.0,18873.0,18882.0,16799.0,16540.0,18075.0,19800.0,22234.0,22234.0
Annual,Tonne,Ewes' collection milk,Jordan,70579.0,85270.0,81910.0,73590.0,65165.0,83590.0,84544.0,69501.0,75263.0,56030.0,118574.0,57886.0,59806.0,70369.0,100701.0,98800.0
Annual,Tonne,Ewes' collection milk,Lebanon,22800.0,22200.0,22100.0,23300.0,21600.0,22800.0,19700.0,24700.0,17400.0,14800.0,:,:,:,:,:,:
Annual,Tonne,Ewes' collection milk,Palestine*,39649.0 e,43110.0 e,53079.0 e,58007.0 e,56830.0 e,56222.0 e,55572.0 e,52175.0 e,48222.0 e,:,:,:,:,57226.0,:,:
Annual,Tonne,Ewes' collection milk,Syria,445558.0,482809.0,535873.0,596036.0,690054.0,765851.0,824067.0,854000.0,:,:,:,:,:,:,:,:
Annual,Tonne,Ewes' collection milk,Tunisia,17000.0 d,18000.0 d,18000.0 d,19000.0 d,20000.0 d,20000.0 d,22000.0 d,23000.0 d,23000.0 d,23300.0 d,22000.0 d,25000.0 d,26000.0 d,26000.0 d,26000.0 d,26700.0 d
Annual,Tonne,Goats' collection milk,Algeria,:,:,:,:,:,:,228198.0,217102.9,:,:,:,:,:,:,:,:
Annual,Tonne,Goats' collection milk,Egypt,120004.0,122997.0,125998.0,132298.0,133002.0,126709.0,128001.0,128000.0,128201.0,123857.0,125580.0,127578.0,130351.0,123179.0,125.0,:
Annual,Tonne,Goats' collection milk,Israel,11311.0,11802.0,13076.0,15511.0,15338.0,17148.0,17768.0,23036.0,21156.0,21790.0,23377.0,19109.0,22732.0,24700.0,26069.0,24658.0
Annual,Tonne,Goats' collection milk,Jordan,:,:,:,:,21750.0,17610.0,20186.0,19239.0,28127.0,18810.0,15846.0,10481.0,9938.0,:,:,:
Annual,Tonne,Goats' collection milk,Lebanon,26900.0,27300.0,29400.0,36500.0,36100.0,39300.0,26000.0,34000.0,21200.0,21700.0,:,:,:,:,:,:
Annual,Tonne,Goats' collection milk,Palestine*,25943.0 e,26340.0 e,29851.0 e,32939.0 e,33499.0 e,31181.0 e,32519.0 e,28860.0 e,27057.0 e,:,:,:,:,17171.0,:,:
Annual,Tonne,Goats' collection milk,Syria,70322.0,61714.0,55099.0,71198.0,72340.0,81169.0,91138.0,97000.0,:,:,:,:,:,:,:,:
