Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Males,United Kingdom,0.0,2.0
Annual,Percentage,From 15 to 24 years,Total,Austria,4.9,2.8
Annual,Percentage,From 15 to 24 years,Total,Belgium,5.8,11.1
Annual,Percentage,From 15 to 24 years,Total,Bulgaria,3.2,0.0
Annual,Percentage,From 15 to 24 years,Total,Cyprus,4.1,0.8
Annual,Percentage,From 15 to 24 years,Total,Czechia,3.2,1.9
Annual,Percentage,From 15 to 24 years,Total,Germany,9.5,5.8
Annual,Percentage,From 15 to 24 years,Total,Denmark,6.7,5.6
Annual,Percentage,From 15 to 24 years,Total,Estonia,1.0,0.0
Annual,Percentage,From 15 to 24 years,Total,Greece,6.3,14.2
Annual,Percentage,From 15 to 24 years,Total,Spain,1.3,4.9
Annual,Percentage,From 15 to 24 years,Total,European Union - 27 countries (from 2020),6.5,6.1
Annual,Percentage,From 15 to 24 years,Total,European Union - 28 countries (2013-2020),6.3,6.9
Annual,Percentage,From 15 to 24 years,Total,Finland,11.7,3.6
Annual,Percentage,From 15 to 24 years,Total,France,9.0,8.6
Annual,Percentage,From 15 to 24 years,Total,Croatia,5.9,1.0
Annual,Percentage,From 15 to 24 years,Total,Hungary,2.6,0.0
Annual,Percentage,From 15 to 24 years,Total,Ireland,6.5,8.6
Annual,Percentage,From 15 to 24 years,Total,Italy,4.0,1.5
Annual,Percentage,From 15 to 24 years,Total,Lithuania,4.7,9.0
Annual,Percentage,From 15 to 24 years,Total,Luxembourg,4.0,20.1
Annual,Percentage,From 15 to 24 years,Total,Latvia,0.9,8.1
Annual,Percentage,From 15 to 24 years,Total,Malta,5.5,7.2
Annual,Percentage,From 15 to 24 years,Total,Netherlands,9.1,10.8
Annual,Percentage,From 15 to 24 years,Total,Poland,3.3,1.1
Annual,Percentage,From 15 to 24 years,Total,Portugal,7.3,0.0
Annual,Percentage,From 15 to 24 years,Total,Romania,2.9,10.9
Annual,Percentage,From 15 to 24 years,Total,Sweden,6.7,14.9
Annual,Percentage,From 15 to 24 years,Total,Slovenia,8.3,3.3
Annual,Percentage,From 15 to 24 years,Total,Slovakia,3.6,2.4
Annual,Percentage,From 15 to 24 years,Total,United Kingdom,5.0,9.8
Annual,Percentage,From 15 to 64 years,Females,Austria,10.0,7.8
Annual,Percentage,From 15 to 64 years,Females,Belgium,11.0,11.6
Annual,Percentage,From 15 to 64 years,Females,Bulgaria,1.0,0.0
Annual,Percentage,From 15 to 64 years,Females,Cyprus,1.7,2.5
Annual,Percentage,From 15 to 64 years,Females,Czechia,6.1,3.9
Annual,Percentage,From 15 to 64 years,Females,Germany,7.8,7.2
Annual,Percentage,From 15 to 64 years,Females,Denmark,9.8,9.9
Annual,Percentage,From 15 to 64 years,Females,Estonia,3.1,3.5
Annual,Percentage,From 15 to 64 years,Females,Greece,5.1,4.3
Annual,Percentage,From 15 to 64 years,Females,Spain,3.6,3.5
Annual,Percentage,From 15 to 64 years,Females,European Union - 27 countries (from 2020),6.1,7.1
Annual,Percentage,From 15 to 64 years,Females,European Union - 28 countries (2013-2020),6.6,7.5
Annual,Percentage,From 15 to 64 years,Females,Finland,14.0,12.2
Annual,Percentage,From 15 to 64 years,Females,France,10.4,15.3
Annual,Percentage,From 15 to 64 years,Females,Croatia,3.5,3.1
Annual,Percentage,From 15 to 64 years,Females,Hungary,2.8,1.6
Annual,Percentage,From 15 to 64 years,Females,Ireland,6.2,12.0
Annual,Percentage,From 15 to 64 years,Females,Italy,1.8,3.4
Annual,Percentage,From 15 to 64 years,Females,Lithuania,5.1,5.7
Annual,Percentage,From 15 to 64 years,Females,Luxembourg,10.2,12.0
Annual,Percentage,From 15 to 64 years,Females,Latvia,6.5,5.8
Annual,Percentage,From 15 to 64 years,Females,Malta,5.2,6.4
Annual,Percentage,From 15 to 64 years,Females,Netherlands,11.8,12.7
Annual,Percentage,From 15 to 64 years,Females,Poland,0.7,2.2
Annual,Percentage,From 15 to 64 years,Females,Portugal,5.0,1.8
Annual,Percentage,From 15 to 64 years,Females,Romania,1.5,5.3
Annual,Percentage,From 15 to 64 years,Females,Sweden,7.5,12.3
