Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,20000.0,PROD_BP,MIO_EUR,AT,2778.44,2750.89,2728.36,2869.91,3233.48,3127.17,3067.38,3150.97,3667.62,4483.69,4377.96,4407.79 e
Annual,20000.0,PROD_BP,MIO_EUR,BE,2408.47,2244.58,2485.08,2238.38,2471.83,2225.64,2627.23,2408.55,2457.46,2837.51,3653.09,3785.52 e
Annual,20000.0,PROD_BP,MIO_EUR,BG,1694.36,1731.65,1620.73,1675.58,1792.38,1732.5,1767.81,1748.41,2663.26,3023.42,2156.13,1942.39 e
Annual,20000.0,PROD_BP,MIO_EUR,CH,3168.18,3500.61,3516.31,3719.59,3502.41,3561.2,3816.5,4179.71,3905.84,4286.06,4610.06,4765.79 e
Annual,20000.0,PROD_BP,MIO_EUR,CY,320.67,267.73,273.54,318.8,321.16,308.38,348.05,356.01,358.04,340.18,372.33,379.43 e
Annual,20000.0,PROD_BP,MIO_EUR,CZ,1426.55,1485.67,1423.4,1690.29,1675.1,1700.29,1752.15,1935.11,2317.0,2608.17,2319.77,2367.78 e
Annual,20000.0,PROD_BP,MIO_EUR,DE,22564.53,21998.5,16006.62,17523.1,22874.52,18709.31,23847.31,21576.65,22468.53,31812.25,30567.89,31944.05 e
Annual,20000.0,PROD_BP,MIO_EUR,DK,2800.36,2974.86,2170.27,2102.97,3113.35,2501.26,3007.35,3622.12,3014.54,3425.1,3154.29,3039.42 e
Annual,20000.0,PROD_BP,MIO_EUR,EA19,134466.2,134341.47,134181.07,133118.25,148704.26,147038.66,151663.53,147949.8,155099.56,181702.14,184520.47,195760.20 e
Annual,20000.0,PROD_BP,MIO_EUR,EA20,135472.65,135127.85,135066.53,134086.22,149682.51,148124.76,152798.82,149103.04,156557.96,183419.25,185915.6,197326.45 e
Annual,20000.0,PROD_BP,MIO_EUR,EE,332.79,344.37,277.1,151.1,277.51,205.91,281.81,256.73,271.68,488.45,246.86,244.41 e
Annual,20000.0,PROD_BP,MIO_EUR,EL,5234.3,5443.02,5991.06,5346.86,5936.45,5613.96,5998.4,5812.64,5739.19,6712.02,6368.87,7560.93 e
Annual,20000.0,PROD_BP,MIO_EUR,ES,22619.35,22896.36,24537.92,27328.05,28846.3,28742.91,27944.46,27841.39,30287.02,29380.95,34020.13,39516.84 e
Annual,20000.0,PROD_BP,MIO_EUR,EU27_2020,162921.89,161526.47,159703.13,159746.59,179379.27,176153.9,182870.35,180127.52,190654.99,222883.1,223749.13,233646.74 e
Annual,20000.0,PROD_BP,MIO_EUR,FI,1168.78,1227.48,1062.29,1125.19,1164.81,1127.97,1419.95,1540.29,1385.89,1719.83,1611.17,1706.72 e
Annual,20000.0,PROD_BP,MIO_EUR,FR,26381.3,28979.06,29614.83,26284.14,29823.33,33576.12,31660.38,31039.84,31818.1,40160.32,37878.89,35133.51 e
Annual,20000.0,PROD_BP,MIO_EUR,HR,1006.45,786.38,885.45,967.97,978.25,1086.1,1135.3,1153.24,1458.4,1717.11,1395.13,1566.25 e
Annual,20000.0,PROD_BP,MIO_EUR,HU,2895.57,3218.77,3224.23,3429.1,3557.96,3449.77,3532.92,3420.35,3814.51,3450.69,4132.1,3589.32 e
Annual,20000.0,PROD_BP,MIO_EUR,IE,2001.58,2174.08,2471.61,2359.07,3201.67,2632.24,2901.12,3347.83,4018.98,5041.87,3545.88,4315.70 e
Annual,20000.0,PROD_BP,MIO_EUR,IS,87.09,120.31,156.22,165.06,182.39,149.32,152.22,159.18,166.09,195.82,203.18,226.85 e
