Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Any person or service,Percentage,Austria,61.7
Annual,Any person or service,Percentage,Belgium,62.5
Annual,Any person or service,Percentage,Bulgaria,59.1 u
Annual,Any person or service,Percentage,Cyprus,69.8 u
Annual,Any person or service,Percentage,Czechia,: u
Annual,Any person or service,Percentage,Germany,70.0
Annual,Any person or service,Percentage,Denmark,44.0
Annual,Any person or service,Percentage,Estonia,40.9
Annual,Any person or service,Percentage,Greece,56.8
Annual,Any person or service,Percentage,Spain,39.9
Annual,Any person or service,Percentage,European Union (aggregate changing according to the context),55.7 e
Annual,Any person or service,Percentage,Finland,33.3
Annual,Any person or service,Percentage,France,56.6
Annual,Any person or service,Percentage,Croatia,37.5
Annual,Any person or service,Percentage,Hungary,: u
Annual,Any person or service,Percentage,Ireland,65.4
Annual,Any person or service,Percentage,Lithuania,45.6 u
Annual,Any person or service,Percentage,Luxembourg,58.1
Annual,Any person or service,Percentage,Latvia,47.8 u
Annual,Any person or service,Percentage,Montenegro,: u
Annual,Any person or service,Percentage,Malta,63.6
Annual,Any person or service,Percentage,Netherlands,64.3
Annual,Any person or service,Percentage,Poland,64.2
Annual,Any person or service,Percentage,Portugal,26.8
Annual,Any person or service,Percentage,Romania,: u
Annual,Any person or service,Percentage,Serbia,: u
Annual,Any person or service,Percentage,Sweden,52.5
Annual,Any person or service,Percentage,Slovenia,39.3 u
Annual,Any person or service,Percentage,Slovakia,: u
Annual,Any person or service,Percentage,Kosovo*,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Austria,57.3
Annual,"Unofficial (friends, family member or someone else)",Percentage,Belgium,60.8
Annual,"Unofficial (friends, family member or someone else)",Percentage,Bulgaria,57.9 u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Cyprus,65.0 u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Czechia,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Germany,67.5
Annual,"Unofficial (friends, family member or someone else)",Percentage,Denmark,41.8
Annual,"Unofficial (friends, family member or someone else)",Percentage,Estonia,38.7
Annual,"Unofficial (friends, family member or someone else)",Percentage,Greece,55.4
Annual,"Unofficial (friends, family member or someone else)",Percentage,Spain,38.9
Annual,"Unofficial (friends, family member or someone else)",Percentage,European Union (aggregate changing according to the context),53.4 e
Annual,"Unofficial (friends, family member or someone else)",Percentage,Finland,31.5
Annual,"Unofficial (friends, family member or someone else)",Percentage,France,54.4
Annual,"Unofficial (friends, family member or someone else)",Percentage,Croatia,36.3
Annual,"Unofficial (friends, family member or someone else)",Percentage,Hungary,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Ireland,62.7
Annual,"Unofficial (friends, family member or someone else)",Percentage,Lithuania,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Luxembourg,56.1
Annual,"Unofficial (friends, family member or someone else)",Percentage,Latvia,45.1 u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Montenegro,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Malta,62.9
Annual,"Unofficial (friends, family member or someone else)",Percentage,Netherlands,61.8
Annual,"Unofficial (friends, family member or someone else)",Percentage,Poland,60.7
Annual,"Unofficial (friends, family member or someone else)",Percentage,Portugal,23.8
Annual,"Unofficial (friends, family member or someone else)",Percentage,Romania,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Serbia,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Sweden,50.2
Annual,"Unofficial (friends, family member or someone else)",Percentage,Slovenia,38.1 u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Slovakia,: u
Annual,"Unofficial (friends, family member or someone else)",Percentage,Kosovo*,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Austria,18.4
Annual,Official body (support/health/social service or police or someone in school),Percentage,Belgium,14.5
Annual,Official body (support/health/social service or police or someone in school),Percentage,Bulgaria,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Cyprus,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Czechia,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Germany,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Denmark,10.5
Annual,Official body (support/health/social service or police or someone in school),Percentage,Estonia,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Greece,7.5
Annual,Official body (support/health/social service or police or someone in school),Percentage,Spain,6.5 u
Annual,Official body (support/health/social service or police or someone in school),Percentage,European Union (aggregate changing according to the context),13.5 e
Annual,Official body (support/health/social service or police or someone in school),Percentage,Finland,8.8 u
Annual,Official body (support/health/social service or police or someone in school),Percentage,France,14.6
Annual,Official body (support/health/social service or police or someone in school),Percentage,Croatia,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Hungary,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Ireland,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Lithuania,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Luxembourg,13.5 u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Latvia,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Montenegro,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Malta,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Netherlands,21.7
Annual,Official body (support/health/social service or police or someone in school),Percentage,Poland,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Portugal,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Romania,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Serbia,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Sweden,14.8
Annual,Official body (support/health/social service or police or someone in school),Percentage,Slovenia,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Slovakia,: u
Annual,Official body (support/health/social service or police or someone in school),Percentage,Kosovo*,: u
