Annual,From 10 000 to 14 999 kg,Number,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,100.0,105.0,117.0,109.0,114.0,:,81.0,82.0,83.0,83.0,88.0,:,:
Annual,From 10 000 to 14 999 kg,Number,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,808.0,826.0,898.0,1253.0,1672.0,2303.0,2813.0,3623.0,4626.0,5354.0,4893.0,4958.0,5210.0,:
Annual,From 10 000 to 14 999 kg,Number,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,771.0,802.0,762.0,735.0,:,657.0,655.0,673.0,680.0,649.0,:,:,:
Annual,From 10 000 to 14 999 kg,Number,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1727.0,1824.0,2007.0,2281.0,2850.0,2942.0,3075.0,3301.0,3089.0,2872.0,1697.0,1630.0,1628.0
Annual,From 10 000 to 14 999 kg,Number,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10164.0,10378.0,10127.0,9638.0,9355.0,9194.0,8937.0,8644.0,8481.0,:
Annual,From 10 000 to 14 999 kg,Number,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14115.0,14635.0,14944.0,15239.0,15663.0,:,5280.0,5149.0,:,:,:,:,:,:,:,3365.0,3375.0,3324.0,3312.0,3363.0,3364.0,3383.0,3427.0,3486.0
Annual,From 10 000 to 14 999 kg,Number,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,33384.0,35750.0,36722.0,34147.0,37042.0,40230.0,44828.0,48901.0,50075.0,52093.0,51606.0
Annual,From 10 000 to 14 999 kg,Number,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4006.0,4316.0,4714.0,5135.0,5497.0
Annual,From 10 000 to 14 999 kg,Number,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4240.0,4060.0,3487.0,3249.0,3291.0,5586.0,3361.0,3111.0,3059.0,3284.0,3421.0,3586.0,3571.0,3533.0,2596.0,3620.0,3702.0,3816.0,3923.0,3802.0,3711.0,:,3681.0,:
Annual,From 10 000 to 14 999 kg,Number,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1200.0,1286.0,1245.0,1347.0,1438.0,1548.0,1677.0,1786.0,1869.0,2038.0,2307.0,:,:,2589.0,2781.0,3151.0,3285.0,3072.0,2946.0,2846.0,2753.0
