Time frequency,Crops,Structure of production,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Albania,:,:,:,143.7,0.0,:,:,:,:,:,:,:
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Austria,60.09,59.9,57.5,52.12,50.03,52.43,53.1,50.46,50.6,48.19,45.83,46.67
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,0.38 e,0.35 e,0.53 e,0.63 e,0.61 e,0.37 e,0.36 e,0.37 e,0.41 e,0.50 b,0.45 p,:
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Belgium,70.7,68.04,80.89,90.45,90.95,93.15,95.79,93.94,95.47,91.16,86.05,:
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Bulgaria,0.62,0.1,0.86,0.91,0.99,2.76,1.07,1.13,1.68,1.98,1.02,:
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Switzerland,:,46.4,125.54,126.11,124.23,122.7,126.74,125.39,118.97,120.48,121.53,:
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Cyprus,0.33,0.38,0.31,0.43,0.18,0.24,0.17,0.54,0.56,0.6,0.63 p,0.64 e
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Czechia,40.21,33.8,37.89,36.44,34.26,33.18,37.5,44.59,43.66,39.54,47.34,53.85
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Germany,360.3,347.1,267.8,279.3,275.5,291.4,316.5,316.1,322.8,298.3,283.5,300.4
Annual,Temporary grasses and grazings,Area (cultivation/harvested/production) (1000 ha),Denmark,:,320.1,257.2,257.2,276.2,270.0,285.7,286.6,277.7,273.5,257.0,277.7
