Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Østfoldbanen (Oslo - Moss - Kornsjø),Goods trains,Number,1569.0
Annual,Østfoldbanen (Oslo - Moss - Kornsjø),Other trains,Number,4298.0
Annual,Østfoldbanen (Oslo - Moss - Kornsjø),Passenger trains,Number,32395.0
Annual,Vestfoldbanen (Oslo - Drammen - Skien),Goods trains,Number,2123.0
Annual,Vestfoldbanen (Oslo - Drammen - Skien),Other trains,Number,28823.0
Annual,Vestfoldbanen (Oslo - Drammen - Skien),Passenger trains,Number,113570.0
Annual,Kongsvingerbanen (Oslo - Kongsvinger - Charlottenberg),Goods trains,Number,9493.0
Annual,Kongsvingerbanen (Oslo - Kongsvinger - Charlottenberg),Other trains,Number,2760.0
Annual,Kongsvingerbanen (Oslo - Kongsvinger - Charlottenberg),Passenger trains,Number,86945.0
Annual,Sørlandsbanen (Oslo - Hokksund - Stavanger),Goods trains,Number,3372.0
Annual,Sørlandsbanen (Oslo - Hokksund - Stavanger),Other trains,Number,11085.0
Annual,Sørlandsbanen (Oslo - Hokksund - Stavanger),Passenger trains,Number,129548.0
Annual,Bergensbanen (Oslo - Hokksund - Bergen),Goods trains,Number,4543.0
Annual,Bergensbanen (Oslo - Hokksund - Bergen),Other trains,Number,33693.0
Annual,Bergensbanen (Oslo - Hokksund - Bergen),Passenger trains,Number,121844.0
Annual,Dovrebanen (Oslo - Dombås - Trondheim),Goods trains,Number,8440.0
Annual,Dovrebanen (Oslo - Dombås - Trondheim),Other trains,Number,7911.0
Annual,Dovrebanen (Oslo - Dombås - Trondheim),Passenger trains,Number,95910.0
Annual,Meråkerbanen (Trondheim - Storlien),Goods trains,Number,790.0
Annual,Meråkerbanen (Trondheim - Storlien),Other trains,Number,856.0
Annual,Meråkerbanen (Trondheim - Storlien),Passenger trains,Number,6668.0
Annual,Nordlandsbanen (Trondheim - Bodø),Goods trains,Number,2600.0
Annual,Nordlandsbanen (Trondheim - Bodø),Other trains,Number,2419.0
Annual,Nordlandsbanen (Trondheim - Bodø),Passenger trains,Number,8547.0
Annual,Ofotbanen (Narvik - Vaissijaure),Goods trains,Number,4637.0
Annual,Ofotbanen (Narvik - Vaissijaure),Other trains,Number,1339.0
Annual,Ofotbanen (Narvik - Vaissijaure),Passenger trains,Number,550.0
Annual,Østfoldbanen (Kornsjø - Moss - Oslo),Goods trains,Number,1996.0
Annual,Østfoldbanen (Kornsjø - Moss - Oslo),Other trains,Number,2798.0
Annual,Østfoldbanen (Kornsjø - Moss - Oslo),Passenger trains,Number,32968.0
Annual,Vestfoldbanen (Skien - Drammen - Oslo),Goods trains,Number,2672.0
Annual,Vestfoldbanen (Skien - Drammen - Oslo),Other trains,Number,30724.0
Annual,Vestfoldbanen (Skien - Drammen - Oslo),Passenger trains,Number,111271.0
Annual,Kongsvingerbanen (Charlottenberg - Kongsvinger - Oslo),Goods trains,Number,7257.0
Annual,Kongsvingerbanen (Charlottenberg - Kongsvinger - Oslo),Other trains,Number,2407.0
Annual,Kongsvingerbanen (Charlottenberg - Kongsvinger - Oslo),Passenger trains,Number,86741.0
Annual,Sørlandsbanen (Stavanger - Hokksund - Oslo),Goods trains,Number,4201.0
Annual,Sørlandsbanen (Stavanger - Hokksund - Oslo),Other trains,Number,11871.0
Annual,Sørlandsbanen (Stavanger - Hokksund - Oslo),Passenger trains,Number,126558.0
Annual,Bergensbanen (Bergen - Hokksund - Oslo),Goods trains,Number,5072.0
Annual,Bergensbanen (Bergen - Hokksund - Oslo),Other trains,Number,33632.0
Annual,Bergensbanen (Bergen - Hokksund - Oslo),Passenger trains,Number,122965.0
Annual,Dovrebanen (Trondheim - Dombås - Oslo),Goods trains,Number,6181.0
Annual,Dovrebanen (Trondheim - Dombås - Oslo),Other trains,Number,6802.0
Annual,Dovrebanen (Trondheim - Dombås - Oslo),Passenger trains,Number,95057.0
Annual,Meråkerbanen (Storlien - Trondheim),Goods trains,Number,774.0
Annual,Meråkerbanen (Storlien - Trondheim),Other trains,Number,725.0
Annual,Meråkerbanen (Storlien - Trondheim),Passenger trains,Number,7173.0
Annual,Nordlandsbanen (Bodø - Trondheim),Goods trains,Number,2588.0
Annual,Nordlandsbanen (Bodø - Trondheim),Other trains,Number,1895.0
Annual,Nordlandsbanen (Bodø - Trondheim),Passenger trains,Number,8734.0
Annual,Ofotbanen (Vaissijaure - Narvik),Goods trains,Number,4668.0
Annual,Ofotbanen (Vaissijaure - Narvik),Other trains,Number,941.0
Annual,Ofotbanen (Vaissijaure - Narvik),Passenger trains,Number,529.0
