Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Frequency,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2018.0,2022.0
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Austria,14.1,14.4,13.0
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Belgium,14.7,16.8,16.1
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Bulgaria,4.8,7.0,4.8
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Switzerland,13.7,14.6,13.8
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Cyprus,9.1,8.8,10.5
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Czechia,6.5,6.8,4.4
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Germany,5.7,6.4,: u
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Denmark,15.3,14.0,6.2
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Estonia,5.8,7.1,5.4
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Greece,6.2,9.9,17.3
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Spain,19.4,28.5,22.8
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,European Union - 27 countries (from 2020),11.4,13.9,13.8 e
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Finland,11.1,12.2,7.3
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,France,12.3,15.5,15.8
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Croatia,4.5,5.3,5.8
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Hungary,8.1,9.7,12.0
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Ireland,13.6,17.4,9.6
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Iceland,22.4,27.6,:
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Italy,11.2,16.4,14.1
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Lithuania,9.4,8.1,11.5
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Luxembourg,13.5,15.0,14.2
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Latvia,5.2,4.1,6.1
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Malta,14.8,5.7,5.5
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Netherlands,20.7,15.3,10.6
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Norway,12.1,12.5,8.9
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Poland,12.9,16.6,15.5
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Portugal,17.4,15.3,19.0
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Romania,5.4,4.7,5.4
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Serbia,12.8,11.1,8.5
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Sweden,14.7,12.5,6.3
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Slovenia,11.6,10.1,10.5
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Slovakia,7.4,9.6,10.1
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,Türkiye,9.6,6.6,17.0
Annual,Percentage,All ISCED 2011 levels,Always,Total,16 years or over,United Kingdom,12.8,12.7,:
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Austria,57.1,61.5,60.9
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Belgium,57.7,59.4,62.3
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Bulgaria,25.6,27.9,31.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Switzerland,61.0,60.7,62.8
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Cyprus,40.3,45.9,55.3
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Czechia,37.4,44.8,38.6
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Germany,54.8,58.1,: u
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Denmark,60.0,55.8,58.5
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Estonia,38.4,44.3,44.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Greece,24.2,36.5,40.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Spain,44.6,43.0,44.5
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,European Union - 27 countries (from 2020),46.1,48.5,50.2 e
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Finland,65.8,64.1,66.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,France,49.8,52.3,50.6
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Croatia,31.7,36.5,39.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Hungary,46.4,48.1,50.4
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Ireland,61.7,63.3,67.1
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Iceland,58.3,48.1,:
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Italy,33.1,32.7,41.2
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Lithuania,36.2,37.3,36.6
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Luxembourg,61.7,59.3,62.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Latvia,24.9,26.6,30.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Malta,52.1,56.1,56.4
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Netherlands,60.6,61.0,65.1
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Norway,56.6,53.4,48.2
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Poland,52.8,51.9,58.4
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Portugal,36.1,40.7,46.9
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Romania,31.6,41.7,39.8
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Serbia,30.8,40.6,43.6
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Sweden,51.4,52.2,63.0
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Slovenia,53.4,48.8,55.8
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Slovakia,48.4,48.2,46.1
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,Türkiye,42.5,47.1,39.7
Annual,Percentage,All ISCED 2011 levels,Most of the time,Total,16 years or over,United Kingdom,55.6,57.5,:
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Austria,1.1,0.9,1.0
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Belgium,1.1,1.2,1.0
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Bulgaria,4.9,4.5,2.3
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Switzerland,1.0,1.2,0.8
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Cyprus,2.5,1.8,1.3
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Czechia,1.9,1.5,1.4
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Germany,2.0,1.6,: u
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Denmark,0.9,2.0,1.8
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Estonia,5.2,3.4,3.3
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Greece,10.2,5.1,3.5
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Spain,1.9,1.9,1.9
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,European Union - 27 countries (from 2020),2.8,2.0,1.7 e
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Finland,1.1,0.9,0.8
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,France,2.4,2.1,2.2
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Croatia,1.8,2.7,2.1
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Hungary,2.9,1.8,1.6
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Ireland,1.2,1.6,1.1
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Iceland,1.0,1.9,:
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Italy,4.5,2.2,1.4
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Lithuania,2.6,2.1,2.5
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Luxembourg,1.4,2.0,0.7
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Latvia,7.4,6.8,6.4
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Malta,1.5,2.9,1.5
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Netherlands,1.5,1.4,0.9
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Norway,0.6,1.0,1.1
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Poland,1.7,1.1,0.7
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Portugal,4.0,3.9,2.1
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Romania,4.2,3.0,1.6
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Serbia,5.3,2.2,4.4
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Sweden,2.9,2.5,0.9
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Slovenia,1.5,1.9,1.1
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Slovakia,0.9,1.1,1.5
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,Türkiye,3.4,2.9,2.5
Annual,Percentage,All ISCED 2011 levels,Never,Total,16 years or over,United Kingdom,1.9,1.5,:
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Austria,6.4,5.8,5.3
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Belgium,5.3,4.8,4.1
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Bulgaria,20.4,19.9,15.1
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Switzerland,4.5,4.8,3.8
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Cyprus,14.5,11.3,6.3
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Czechia,10.6,8.7,10.6
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Germany,10.4,8.6,: u
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Denmark,6.3,8.4,9.0
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Estonia,13.7,10.4,11.3
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Greece,28.4,15.7,10.7
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Spain,6.8,6.1,4.8
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,European Union - 27 countries (from 2020),10.4,8.2,6.8 e
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Finland,4.1,4.6,5.4
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,France,7.6,5.7,6.7
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Croatia,12.3,12.8,9.9
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Hungary,14.7,12.0,10.8
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Ireland,4.6,2.9,3.7
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Iceland,4.2,5.1,:
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Italy,12.9,10.0,6.2
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Lithuania,12.0,13.0,9.2
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Luxembourg,5.0,4.7,4.2
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Latvia,19.9,21.2,16.6
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Malta,8.9,9.7,6.2
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Netherlands,3.1,3.3,3.4
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Norway,6.2,8.3,10.4
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Poland,9.5,7.0,5.7
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Portugal,13.6,13.1,7.0
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Romania,20.0,12.2,11.8
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Serbia,15.8,10.4,9.5
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Sweden,5.6,7.4,6.1
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Slovenia,6.3,7.1,7.6
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Slovakia,7.6,6.3,6.7
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,Türkiye,10.7,9.8,10.2
Annual,Percentage,All ISCED 2011 levels,Rarely,Total,16 years or over,United Kingdom,6.3,5.9,:
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Austria,21.3,17.4,19.8
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Belgium,20.9,17.7,16.4
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Bulgaria,31.9,36.4,38.5
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Switzerland,19.7,18.7,18.8
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Cyprus,32.7,32.1,26.1
