Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Females,Austria,13.4 e,14.3 e,17.1,15.7 e,18.4,20.4,20.3,19.0 b,19.3,19.5
Annual,Percentage,Females,Bosnia and Herzegovina,:,:,:,:,:,:,:,17.8 bu,24.2 e,19.4 e
Annual,Percentage,Females,Belgium,15.2,15.1,14.1,15.6 b,16.8,17.2 e,17.4,19.6 b,18.7,19.4
Annual,Percentage,Females,Bulgaria,31.7 e,31.0 e,29.1 e,29.2 e,30.1 e,28.1,28.2,28.2 b,28.9 b,29.1
Annual,Percentage,Females,Switzerland,13.8 e,14.2,15.0,15.2,14.5,16.6 e,16.3 e,16.3 b,15.9,16.6
Annual,Percentage,Females,Cyprus,15.7 e,20.8 e,23.7 e,18.2 e,18.9 e,19.2 e,18.2 e,19.3 be,21.6 e,24.0 e
Annual,Percentage,Females,Czechia,9.9 e,9.8 e,10.0 e,10.1,9.7,10.2 e,10.3,10.0 b,10.9,12.4
Annual,Percentage,Females,Germany,16.5,16.3,16.6,16.6,16.8,16.8,17.6 b,19.4 b,19.0,19.0
Annual,Percentage,Females,Denmark,18.2 e,20.4 e,21.1 be,20.3 be,20.5 e,21.7 e,23.0 e,22.8 be,22.0 e,22.6 be
Annual,Percentage,Females,Estonia,19.4 e,22.4 e,20.5 e,20.3 e,22.5,23.8 e,22.7 e,22.6 be,24.5 e,26.8 e
Annual,Percentage,Females,Greece,20.3 e,16.5 e,16.6 e,15.1 e,15.0 e,19.6 e,26.2 e,21.0 b,20.3,19.8
Annual,Percentage,Females,Spain,18.3 e,18.0 e,17.2 e,16.5 e,17.3 e,19.0 e,19.1 e,19.4 bd,18.1 d,19.5 d
Annual,Percentage,Females,European Union - 27 countries (from 2020),16.3 e,16.5 e,17.0 e,17.2 e,17.2 e,17.8 e,18.5 e,19.1 be,18.9 e,19.4 e
Annual,Percentage,Females,Finland,20.8,22.3,21.0,20.4,19.9,21.1,23.3,23.9 b,23.8,22.2
Annual,Percentage,Females,France,16.9 b,15.8,17.6,18.5,19.2,19.7,20.1,20.9 bd,19.0 de,20.1 d
Annual,Percentage,Females,Croatia,14.5 u,17.1 u,13.7 u,14.3 u,18.0 e,20.9 e,18.5 e,20.8 be,14.4 u,17.4 be
Annual,Percentage,Females,Hungary,11.7,12.1 e,13.2 e,9.1 e,8.6 e,10.6,12.3 e,14.0 be,13.6 e,15.7 e
Annual,Percentage,Females,Ireland,21.1 e,20.2 e,21.5 e,21.1 be,18.6 e,21.4 e,20.7 e,20.3 be,22.0 e,24.3 e
Annual,Percentage,Females,Iceland,20.5 e,23.0 e,21.9 e,17.0 e,16.9 e,19.2 e,20.9 be,24.2 be,20.0 e,18.8 e
Annual,Percentage,Females,Italy,14.2 e,14.7 e,15.4 e,16.1 e,15.1 be,15.1 e,15.6 e,16.1 be,16.0 e,15.7 e
Annual,Percentage,Females,Lithuania,16.9 u,20.4 e,25.0 e,25.9 e,25.8 e,24.3 e,23.6 e,23.7 be,22.9 e,20.0 e
Annual,Percentage,Females,Luxembourg,11.8 e,13.8 be,12.5 e,11.6 e,13.6 e,15.5 e,20.0 e,19.7 be,20.7 e,22.5 e
Annual,Percentage,Females,Latvia,26.6 e,28.1 e,27.2 e,26.4 e,20.6 e,24.7 e,23.8 e,22.7 be,22.9 e,24.0 e
Annual,Percentage,Females,Montenegro,: u,: u,: u,29.4 u,27.6 u,: u,: u,:,:,:
Annual,Percentage,Females,North Macedonia,28.8 e,21.7 e,27.3 e,27.0 e,24.1 e,24.4 e,23.3 e,:,:,:
Annual,Percentage,Females,Malta,15.2 e,17.0 e,12.3 e,10.8 e,18.0 e,11.2 e,10.5 e,22.0 be,17.8 e,13.8 u
Annual,Percentage,Females,Netherlands,13.2,13.9,15.0,16.3,15.9,17.3,17.6,17.5 b,19.4 e,18.9
Annual,Percentage,Females,Norway,16.6 e,18.8 e,17.2 e,18.7 e,22.1 e,20.6 e,19.4 e,19.1 be,19.8,21.7 e
Annual,Percentage,Females,Poland,14.1 e,13.6 e,14.6 e,14.8,14.0,14.4 be,15.2 e,15.6 be,16.7,19.1
Annual,Percentage,Females,Portugal,15.3 e,17.7 e,18.1 e,17.7 e,17.8 e,17.9 e,21.3 e,21.0 b,20.3,20.0
Annual,Percentage,Females,Romania,21.5,27.3 e,26.3,25.7,23.7 e,23.5 e,26.1 e,26.0 be,25.2 e,26.0 e
Annual,Percentage,Females,Serbia,14.9 be,17.2 e,20.9 e,22.2 e,19.3 e,21.6 e,25.0 e,23.4 b,23.3 e,22.3 be
Annual,Percentage,Females,Sweden,19.1,18.9,20.8,20.9,20.9 b,20.5 e,21.3 e,21.8 b,23.0,22.8 e
Annual,Percentage,Females,Slovenia,13.5 e,16.1 e,17.3,16.4 e,16.6 e,19.5 e,17.2 e,16.6 be,17.6 e,17.1
Annual,Percentage,Females,Slovakia,12.1 e,11.9 e,9.6 e,14.4 e,13.1 e,14.0 e,15.8 e,14.9 be,14.9 e,17.4 e
Annual,Percentage,Females,Türkiye,14.8 be,14.2 e,13.4 e,13.2 e,14.2 e,13.3 e,16.5 e,17.1 b,19.6,20.5
Annual,Percentage,Females,United Kingdom,16.5 e,17.2 e,16.5 e,17.6 e,17.0 e,17.1 e,:,:,:,:
Annual,Percentage,Males,Austria,86.6,85.7,82.9 e,84.3,81.6,79.6,79.7,81.0 b,80.7,80.5
Annual,Percentage,Males,Bosnia and Herzegovina,:,:,:,:,:,:,:,82.2 be,75.8 e,80.6 e
Annual,Percentage,Males,Belgium,84.8,84.9,85.9,84.4 b,83.2,82.8,82.6,80.4 b,81.3,80.6
Annual,Percentage,Males,Bulgaria,68.3 e,69.0 e,70.9 e,70.8 e,69.9 e,71.9 e,71.8,71.8 be,71.1 be,70.9
Annual,Percentage,Males,Switzerland,86.2,85.8,85.0,84.8,85.5,83.4,83.7,83.7 b,84.1,83.4
Annual,Percentage,Males,Cyprus,84.3 e,79.2,76.3,81.8,81.1,80.8,81.8,80.7 b,78.4,76.0 e
Annual,Percentage,Males,Czechia,90.1,90.2,90.0,89.9,90.3,89.8,89.7,90.0 b,89.1,87.6
Annual,Percentage,Males,Germany,83.5,83.7,83.4,83.4,83.2,83.2,82.4 b,80.6 b,81.0,81.0
Annual,Percentage,Males,Denmark,81.8 e,79.6 e,78.9 be,79.7 be,79.5 e,78.3 e,77.0 e,77.2 b,78.0,77.4 be
Annual,Percentage,Males,Estonia,80.6,77.6,79.5 e,79.7,77.5,76.2,77.3 e,77.4 b,75.5,73.2 e
Annual,Percentage,Males,Greece,79.7 e,83.5 e,83.4 e,84.9 e,85.0 e,80.4 e,73.8 e,79.0 b,79.7,80.2
