Time frequency,Structure of earnings indicator,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Annual bonuses,Euro,Ostösterreich,7996.0
Annual,Annual bonuses,Euro,Südösterreich,6934.0
Annual,Annual bonuses,Euro,Westösterreich,7452.0
Annual,Annual bonuses,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,5151.0
Annual,Annual bonuses,Euro,Vlaams Gewest,4818.0
Annual,Annual bonuses,Euro,Région wallonne,4994.0
Annual,Annual bonuses,Euro,Severna i Yugoiztochna Bulgaria,353.0
Annual,Annual bonuses,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,643.0
Annual,Annual bonuses,Euro,Schweiz/Suisse/Svizzera,7658.0
Annual,Annual bonuses,Euro,Kýpros,1985.0
Annual,Annual bonuses,Euro,Czechia,1322.0
Annual,Annual bonuses,Euro,Baden-Württemberg,4084.0
Annual,Annual bonuses,Euro,Bayern,4411.0
Annual,Annual bonuses,Euro,Berlin,3384.0
Annual,Annual bonuses,Euro,Brandenburg,2010.0
Annual,Annual bonuses,Euro,Bremen,3642.0
Annual,Annual bonuses,Euro,Hamburg,4613.0
Annual,Annual bonuses,Euro,Hessen,4642.0
Annual,Annual bonuses,Euro,Mecklenburg-Vorpommern,1758.0
Annual,Annual bonuses,Euro,Niedersachsen,3109.0
Annual,Annual bonuses,Euro,Nordrhein-Westfalen,3481.0
Annual,Annual bonuses,Euro,Rheinland-Pfalz,3369.0
Annual,Annual bonuses,Euro,Saarland,3015.0
Annual,Annual bonuses,Euro,Sachsen,2348.0
Annual,Annual bonuses,Euro,Sachsen-Anhalt,2154.0
Annual,Annual bonuses,Euro,Schleswig-Holstein,2573.0
Annual,Annual bonuses,Euro,Thüringen,1871.0
Annual,Annual bonuses,Euro,Denmark,1250.0
Annual,Annual bonuses,Euro,Eesti,626.0
Annual,Annual bonuses,Euro,Attiki,4070.0
Annual,Annual bonuses,Euro,"Nisia Aigaiou, Kriti",4683.0
Annual,Annual bonuses,Euro,Voreia Elláda,3680.0
Annual,Annual bonuses,Euro,Kentriki Elláda,4847.0
Annual,Annual bonuses,Euro,Extra-Regio NUTS 1,3008.0
Annual,Annual bonuses,Euro,Noroeste,2990.0
Annual,Annual bonuses,Euro,Noreste,3320.0
Annual,Annual bonuses,Euro,Comunidad de Madrid,3470.0
Annual,Annual bonuses,Euro,Centro (ES),2671.0
Annual,Annual bonuses,Euro,Este,3044.0
Annual,Annual bonuses,Euro,Sur,2436.0
Annual,Annual bonuses,Euro,Canarias,1892.0
Annual,Annual bonuses,Euro,Manner-Suomi,2590.0
Annual,Annual bonuses,Euro,Åland,1909.0
Annual,Annual bonuses,Euro,Ile de France,4778.0
Annual,Annual bonuses,Euro,Centre — Val de Loire,2793.0
Annual,Annual bonuses,Euro,Bourgogne-Franche-Comté,2552.0
Annual,Annual bonuses,Euro,Normandie,2651.0
Annual,Annual bonuses,Euro,Hauts-de-France,2715.0
Annual,Annual bonuses,Euro,Grand Est,2930.0
Annual,Annual bonuses,Euro,Pays de la Loire,2673.0
Annual,Annual bonuses,Euro,Bretagne,2529.0
Annual,Annual bonuses,Euro,Nouvelle-Aquitaine,2602.0
Annual,Annual bonuses,Euro,Occitanie,2517.0
Annual,Annual bonuses,Euro,Auvergne-Rhône-Alpes,3104.0
Annual,Annual bonuses,Euro,Provence-Alpes-Côte d’Azur,2841.0
Annual,Annual bonuses,Euro,Corse,2956.0
Annual,Annual bonuses,Euro,RUP FR — Régions Ultrapériphériques Françaises,3254.0
Annual,Annual bonuses,Euro,Croatia,462.0
Annual,Annual bonuses,Euro,Közép-Magyarország,878.0
Annual,Annual bonuses,Euro,Dunántúl,492.0
Annual,Annual bonuses,Euro,Alföld és Észak,427.0
Annual,Annual bonuses,Euro,Ireland,1553.0
Annual,Annual bonuses,Euro,Ísland,1528.0
Annual,Annual bonuses,Euro,Nord-Ovest,5154.0
Annual,Annual bonuses,Euro,Sud,3172.0
Annual,Annual bonuses,Euro,Isole,3389.0
Annual,Annual bonuses,Euro,Nord-Est,4048.0
Annual,Annual bonuses,Euro,Centro (IT),4093.0
Annual,Annual bonuses,Euro,Lithuania,431.0
Annual,Annual bonuses,Euro,Luxembourg,9855.0
Annual,Annual bonuses,Euro,Latvia,827.0
Annual,Annual bonuses,Euro,North Macedonia,165.0
Annual,Annual bonuses,Euro,Malta,905.0
Annual,Annual bonuses,Euro,Noord-Nederland,4675.0
Annual,Annual bonuses,Euro,Oost-Nederland,4947.0
Annual,Annual bonuses,Euro,West-Nederland,6189.0
Annual,Annual bonuses,Euro,Zuid-Nederland,5353.0
Annual,Annual bonuses,Euro,Norge,2785.0
Annual,Annual bonuses,Euro,Makroregion południowy,977.0
