Time frequency,Aquatic environment,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Coastal water excellent - number,Albania,:,:,37.0,26.0,25.0,34.0,56.0,67.0,67.0,88.0,80.0,79.0,47.0
Annual,Coastal water excellent - number,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Belgium,17.0,22.0,20.0,29.0,32.0,38.0,40.0,41.0,41.0,39.0,38.0,35.0,27.0
Annual,Coastal water excellent - number,Bulgaria,45.0,55.0,59.0,65.0,63.0,57.0,41.0,49.0,61.0,58.0,82.0,85.0,87.0
Annual,Coastal water excellent - number,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Cyprus,111.0,112.0,112.0,112.0,112.0,112.0,110.0,112.0,112.0,112.0,112.0,119.0,120.0
Annual,Coastal water excellent - number,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Germany,280.0,291.0,290.0,286.0,280.0,295.0,303.0,313.0,318.0,303.0,307.0,313.0,317.0
Annual,Coastal water excellent - number,Denmark,657.0,692.0,694.0,709.0,776.0,785.0,786.0,790.0,793.0,819.0,830.0,861.0,864.0
Annual,Coastal water excellent - number,Estonia,13.0,11.0,11.0,10.0,11.0,14.0,14.0,15.0,14.0,14.0,16.0,13.0,14.0
Annual,Coastal water excellent - number,Greece,2035.0,2008.0,2014.0,1493.0,1497.0,1495.0,1531.0,1549.0,1562.0,1583.0,1609.0,1621.0,1656.0
Annual,Coastal water excellent - number,Spain,1633.0,1672.0,1684.0,1663.0,1696.0,1732.0,1773.0,1812.0,1835.0,1840.0,1828.0,1843.0,1839.0
Annual,Coastal water excellent - number,European Union - 27 countries (from 2020),12042.0,12248.0,12573.0,12119.0,12311.0,12476.0,12492.0,12675.0,12728.0,12690.0,12731.0,12912.0,12948.0
Annual,Coastal water excellent - number,Finland,59.0,59.0,54.0,51.0,48.0,45.0,53.0,50.0,49.0,56.0,52.0,57.0,51.0
Annual,Coastal water excellent - number,France,1307.0,1329.0,1516.0,1558.0,1602.0,1616.0,1631.0,1632.0,1675.0,1632.0,1604.0,1609.0,1584.0
Annual,Coastal water excellent - number,Croatia,886.0,876.0,877.0,885.0,877.0,889.0,909.0,938.0,938.0,883.0,887.0,884.0,886.0
Annual,Coastal water excellent - number,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Ireland,106.0,84.0,107.0,95.0,93.0,94.0,94.0,95.0,99.0,103.0,107.0,109.0,106.0
Annual,Coastal water excellent - number,Italy,4069.0,4213.0,4309.0,4377.0,4399.0,4414.0,4373.0,4382.0,4290.0,4299.0,4272.0,4358.0,4399.0
Annual,Coastal water excellent - number,Lithuania,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,16.0,15.0,14.0,14.0,14.0
Annual,Coastal water excellent - number,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Latvia,14.0,12.0,17.0,21.0,23.0,28.0,31.0,32.0,28.0,23.0,24.0,27.0,26.0
Annual,Coastal water excellent - number,Montenegro,59.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Coastal water excellent - number,North Macedonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Malta,85.0,84.0,86.0,87.0,85.0,86.0,86.0,86.0,85.0,84.0,84.0,82.0,80.0
Annual,Coastal water excellent - number,Netherlands,59.0,71.0,66.0,62.0,69.0,75.0,73.0,67.0,69.0,69.0,74.0,78.0,73.0
Annual,Coastal water excellent - number,Poland,72.0,65.0,63.0,51.0,46.0,50.0,47.0,45.0,48.0,51.0,77.0,94.0,103.0
Annual,Coastal water excellent - number,Portugal,381.0,401.0,411.0,395.0,412.0,413.0,435.0,453.0,460.0,460.0,464.0,462.0,468.0
Annual,Coastal water excellent - number,Romania,43.0,4.0,17.0,11.0,15.0,34.0,25.0,28.0,38.0,35.0,42.0,45.0,34.0
Annual,Coastal water excellent - number,Serbia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Sweden,137.0,153.0,132.0,124.0,140.0,169.0,102.0,151.0,177.0,192.0,188.0,183.0,180.0
Annual,Coastal water excellent - number,Slovenia,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0
Annual,Coastal water excellent - number,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - number,Kosovo*,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
