Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand,Algeria,1443.1,1637.6,1743.1,1771.7,1911.5,2070.5,2394.9,2634.1,2732.7,2301.4,1710.0,2039.4,2450.8,2657.1,2371.1,591.0,:,:
Annual,Thousand,Egypt,8608.0,9083.0,11091.0,12835.0,12536.0,14731.0,9845.0,11532.0,9464.0,9878.0,9328.0,5399.0,8292.0,11346.0,13026.0,3677.0,7997.0,:
Annual,Thousand,Israel,1902.7 d,1825.2 d,2067.8 d,2572.3 d,2321.4 d,2803.1 d,2820.2 d,2885.9 d,2961.7 d,2926.4 d,2799.4 d,2900.0 d,3613.2 d,4120.9 d,4551.8 d,831.5 d,396.5,2675.0
Annual,Thousand,Jordan,5817.0,6713.0,6529.0,7100.0,7085.0,8078.0,6812.0,6314.0,5389.0,5327.0,4236.0,4565.0,4565.0,4922.0,5361.0,1240.0,:,:
Annual,Thousand,Lebanon,3593.8,3088.9,3145.4,4072.6,5344.8,6346.0,5660.9,5613.8,5928.2,5064.7,3562.6,3584.2,4338.0,4756.7,4460.7,995.7,1392.3 d,1871.0 d
Annual,Thousand,Libya,81.3,125.5,106.0,42.1,35.7,32.0,32.0,30.0,29.0,20.0,75.0,82.0,89.0,100.0,100.0,100.0,125.0,250.0
Annual,Thousand,Tunisia,6378.0 d,6549.0 d,6762.0 d,6549.0 d,6901.4 d,6902.7 d,4785.1 d,5990.5 d,6268.6 d,6068.6 d,4202.0 d,4525.8 d,5742.6,6921.2,7984.5,1431.9,1600.3,:
