Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Total,Albania,:,:,:,:,:,63.8,62.9,60.7,58.1,58.0,:,:
Annual,Percentage,Total,Total,Total,Austria,13.9,14.7,15.3,15.0,15.2,15.1,13.5,15.1,14.1,14.3,15.7,14.5
Annual,Percentage,Total,Total,Total,Belgium,1.6,2.0,2.0,1.6,3.5 b,4.8,5.7,5.7 b,5.7,5.9,6.2,5.7
Annual,Percentage,Total,Total,Total,Bulgaria,44.5,44.2,43.3,41.4,42.5 b,41.9,41.6,41.1,39.5,37.9,36.2,34.9
Annual,Percentage,Total,Total,Total,Switzerland,5.9,6.7,6.8 b,6.4,7.0,6.5,6.2,6.4,6.4,5.8,5.8,7.0
Annual,Percentage,Total,Total,Total,Cyprus,2.8,2.4,2.2,1.4,2.4,2.8,2.5,2.2,2.5,2.3,2.2,2.2
Annual,Percentage,Total,Total,Total,Czechia,21.1,21.0,19.9,18.7,17.9,16.0,15.7,15.4,15.2,15.4,15.1,15.9
Annual,Percentage,Total,Total,Total,Germany,6.6,6.7,6.6,7.0,7.2,7.2,7.4,7.8,10.2 b,10.6,11.2,11.4
Annual,Percentage,Total,Total,Total,Denmark,7.2,7.9,8.2,8.1,8.2,8.6,9.2,10.0,9.5,9.2,9.8,8.7
Annual,Percentage,Total,Total,Total,Euro area - 19 countries  (2015-2022),11.7,12.0,11.9,12.1,12.3,12.1,12.3,12.6,13.2,13.2,:,:
Annual,Percentage,Total,Total,Total,Euro area – 20 countries (from 2023),:,:,12.2,12.5,12.7,12.4,12.6,12.9,13.5,13.7,13.2,13.6
Annual,Percentage,Total,Total,Total,Estonia,14.0,21.1,14.2 b,13.4,13.4,13.5,12.6,13.9,12.7,14.9,15.7,17.0
Annual,Percentage,Total,Total,Total,Greece,26.5,27.3,27.4,28.1,28.7,29.0,29.2,28.7,29.0,28.5,28.0,26.9
Annual,Percentage,Total,Total,Total,Spain,5.6,5.2,5.3,5.5,5.4,5.1,4.7,5.9,7.6,6.4,6.6,7.6
Annual,Percentage,Total,Total,Total,European Union - 27 countries (2007-2013),16.7,16.8,16.5,16.5,16.4,15.5,15.3,15.4 e,:,:,:,:
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),18.4 e,18.3 e,18.1 e,18.1 e,17.9 e,17.5 e,17.1 e,17.1 e,17.4,17.3,16.8,16.8
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),16.9,17.0,16.7,16.7,16.6,15.7,15.5,15.6 e,:,:,:,:
Annual,Percentage,Total,Total,Total,Finland,6.0,6.9,7.0,6.7,6.6,6.1,7.3,7.7,7.6,7.4,8.4,8.8
Annual,Percentage,Total,Total,Total,France,8.1,7.4,7.1,7.4,7.7,7.7,8.2,7.7,9.6 b,9.4,9.2 b,9.9
Annual,Percentage,Total,Total,Total,Croatia,44.4,42.8,42.1,41.7,41.1,39.9,39.3,38.5,36.2,34.4,32.7,31.3
Annual,Percentage,Total,Total,Total,Hungary,45.3,44.0,41.9,41.1,40.4,40.5,20.1 b,20.3,19.0,17.9,17.0,15.6
Annual,Percentage,Total,Total,Total,Ireland,3.2,2.8,4.2,3.8,3.4,2.8,2.7,3.1 b,3.0 b,3.3,4.2,3.9
Annual,Percentage,Total,Total,Total,Iceland,7.9,9.1,8.0,8.3,7.4,7.9,10.4,13.5,:,:,:,:
Annual,Percentage,Total,Total,Total,Italy,26.1,27.1,27.2,27.8,27.8,27.1,27.8,28.3,26.1,28.0,25.1,25.4
Annual,Percentage,Total,Total,Total,Lithuania,19.0,28.0 b,28.3,26.4,23.7,23.7,22.8,22.9,21.1,23.7,24.6,26.0
Annual,Percentage,Total,Total,Total,Luxembourg,7.0,6.2,6.7,6.8,8.1 b,8.3,8.4,7.1,8.5 b,7.7 b,5.7 b,7.4
