Time frequency,Environment indicator,Materials,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Domestic material consumption,Total,Tonnes per capita,Ireland,20.881,22.235,21.527,22.0,23.237,24.355,25.581,25.749,24.047,23.775,23.654,20.55 i
Annual,Domestic material consumption,Total,Tonnes per capita,Iceland,17.204,17.085,16.357,18.24,19.203,21.49,21.414,18.275,15.538,17.221,18.755,:
Annual,Domestic material consumption,Total,Tonnes per capita,Italy,9.942,8.325,8.202,7.95,7.992,7.956,8.074,8.363,7.722,8.547,8.681,8.449 i
Annual,Domestic material consumption,Total,Tonnes per capita,Lithuania,12.813,15.668,14.835,14.973,15.702,17.827,17.698,18.955,20.043,20.745,20.105,20.653 i
Annual,Domestic material consumption,Total,Tonnes per capita,Luxembourg,21.583,21.247,21.815,24.42,24.082,24.903,23.043,22.88,23.086,24.68,22.931,21.136
Annual,Domestic material consumption,Total,Tonnes per capita,Latvia,11.4,12.448,12.006,12.946,11.724,13.239,14.536,14.667,14.824,16.119,16.26,17.075 i
Annual,Domestic material consumption,Total,Tonnes per capita,North Macedonia,10.857,10.68,10.702,10.786,10.55,9.947,9.996,10.756,10.609,10.2,10.905,:
Annual,Domestic material consumption,Total,Tonnes per capita,Malta,10.612,8.738,11.866,13.806,13.582,11.387,12.979,11.89,12.794,11.235,10.132,9.979 i
Annual,Domestic material consumption,Total,Tonnes per capita,Netherlands,10.788,10.237 e,10.399,10.589 e,9.678,10.663 e,11.145,10.768 e,9.774,9.246,9.985,8.463 i
Annual,Domestic material consumption,Total,Tonnes per capita,Norway,27.381,27.111,26.114,29.99,24.461,23.851,26.191,25.902,23.685,22.082,22.245,:
Annual,Domestic material consumption,Total,Tonnes per capita,Poland,17.519,16.717,16.579,16.467,16.917,18.005,18.472,17.586,17.403,18.251,18.308,18.028 i
Annual,Domestic material consumption,Total,Tonnes per capita,Portugal,16.416,14.039,15.527,15.633,14.989,16.471,16.423,16.594,14.893,17.536,15.593,15.804 i
Annual,Domestic material consumption,Total,Tonnes per capita,Romania,17.91 i,17.903 i,18.685 i,22.407 i,22.811 i,21.215 i,22.993 i,27.525 i,28.479,29.386,29.162,32.242 i
Annual,Domestic material consumption,Total,Tonnes per capita,Serbia,13.941,15.167,14.375,15.366,16.83,16.163,16.928,18.12,19.042,19.436,:,:
Annual,Domestic material consumption,Total,Tonnes per capita,Sweden,22.673,23.136,23.449,22.954,23.169,24.095,24.654,25.617,24.316,24.786,24.43,22.492 i
Annual,Domestic material consumption,Total,Tonnes per capita,Slovenia,12.471,12.213,13.124,13.305,12.833,13.106,14.397,13.537,13.093,14.12,14.665,16.741 i
Annual,Domestic material consumption,Total,Tonnes per capita,Slovakia,11.86,11.407,12.533,12.482,12.396,12.786,13.502,12.281,11.871,12.037,11.31,11.33 i
Annual,Domestic material consumption,Total,Tonnes per capita,Türkiye,11.861,11.783,12.076,12.849,12.898,13.392,12.155,10.655,11.405,11.53,11.608,:
