Time frequency,Unit of measure,Tenure status,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,"Owner, with mortgage or loan",United Kingdom,3.8 b,4.3,3.4,3.2,4.2,2.0 b,2.4,:,:,:,:,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Albania,:,:,:,:,:,63.6,62.5,60.1,57.3,57.3,:,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Austria,4.1,5.3,4.5,4.3,5.1,4.8,4.5,5.5,4.0,2.6,3.6,4.1
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Belgium,0.4,0.4,0.5,0.3,0.4 b,0.8,1.2,1.4 b,0.6,0.9,1.2,1.3
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Bulgaria,41.9,41.4,39.8,37.8,38.8 b,38.3,38.3,37.6,35.4,34.4,33.1,32.2
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Switzerland,0.3,0.4,0.8 b,5.6,1.3,1.8,0.3,0.6,2.7,0.9,2.7,1.1
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Cyprus,2.4,1.9,1.6,1.2,1.8,2.6,2.0,1.2,1.6,1.5,1.4,1.1
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Czechia,17.3,17.1,14.9,13.3,11.8,10.5,10.7,10.3,11.0,10.7,10.6,10.3
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Germany,1.4,1.1,1.6,1.2,1.6,1.5,1.5,1.6,1.9 b,2.2,2.5,2.9
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Denmark,1.5,3.2,4.2,2.5,4.6,4.9,4.4,4.3,5.7,3.7,2.6,3.2
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Euro area - 19 countries  (2015-2022),10.2,10.5,10.4,10.5,10.6,10.2,10.3,10.3,10.2,10.0,:,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Euro area – 20 countries (from 2023),:,:,11.0,11.3,11.3,10.9,10.9,11.0,10.8,11.0,10.0,10.4
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Estonia,12.4,20.4,12.1 b,11.9,12.7,11.6,10.8,11.9,10.6,12.3,13.9,13.1
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Greece,25.2,26.6,25.3,25.3,25.1,25.4,25.9,26.0,26.2,25.8,25.2,24.1
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Spain,3.6,3.0,3.5,3.9,4.0,3.1,2.6,2.9,4.3,4.1,4.0,4.6
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",European Union - 27 countries (2007-2013),19.2,19.2,18.7,18.5,17.9,17.6,16.7,16.4 e,:,:,:,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",European Union - 27 countries (from 2020),21.2 e,21.1 e,20.6 e,20.5 e,19.8 e,19.4 e,18.4 e,18.1 e,18.1,17.6,16.6,16.4
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",European Union - 28 countries (2013-2020),19.6,19.6,19.1,18.9,18.3,17.9,17.1,16.7 e,:,:,:,:
