Time frequency,Protected or protective area,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2016.0,2019.0,2021.0
Annual,Marine protected area,Square kilometre,Austria,: m,: m,: m,: m
Annual,Marine protected area,Square kilometre,Belgium,1273.0,1274.0,1274.0,1322.0
Annual,Marine protected area,Square kilometre,Bulgaria,995.0,2834.0,2834.0,2856.0
Annual,Marine protected area,Square kilometre,Cyprus,131.0,131.0,8463.0,8463.0
Annual,Marine protected area,Square kilometre,Czechia,: m,: m,: m,: m
Annual,Marine protected area,Square kilometre,Germany,25641.0,25684.0,25688.0,25637.0
Annual,Marine protected area,Square kilometre,Denmark,19087.0,19122.0,19675.0,19681.0
Annual,Marine protected area,Square kilometre,Estonia,6759.0,6757.0,6813.0,6813.0
Annual,Marine protected area,Square kilometre,Greece,7414.0,7430.0,22550.0,22746.0
Annual,Marine protected area,Square kilometre,Spain,11489.0,84387.0,128476.0,132818.0
Annual,Marine protected area,Square kilometre,European Union - 27 countries (from 2020),216972.0,386069.0,552008.0,612094.0
Annual,Marine protected area,Square kilometre,Finland,8153.0,8240.0,9052.0,9058.0
Annual,Marine protected area,Square kilometre,France,47110.0,55621.0,139724.0,168367.0
Annual,Marine protected area,Square kilometre,Croatia,666.0,5025.0,5279.0,5278.0
Annual,Marine protected area,Square kilometre,Hungary,: m,: m,: m,: m
Annual,Marine protected area,Square kilometre,Ireland,6816.0,10264.0,10257.0,10261.0
Annual,Marine protected area,Square kilometre,Italy,30367.0,30487.0,31987.0,56771.0
Annual,Marine protected area,Square kilometre,Lithuania,674.0,1555.0,1554.0,1551.0
Annual,Marine protected area,Square kilometre,Luxembourg,: m,: m,: m,: m
Annual,Marine protected area,Square kilometre,Latvia,4383.0,4470.0,4469.0,4470.0
Annual,Marine protected area,Square kilometre,Malta,193.0,3489.0,4142.0,4142.0
Annual,Marine protected area,Square kilometre,Netherlands,11829.0,15085.0,15082.0,16451.0
Annual,Marine protected area,Square kilometre,Poland,7235.0,7238.0,7238.0,7247.0
Annual,Marine protected area,Square kilometre,Portugal,14196.0,66445.0,77006.0,76960.0
Annual,Marine protected area,Square kilometre,Romania,1888.0,6322.0,6358.0,6354.0
Annual,Marine protected area,Square kilometre,Sweden,10442.0,23802.0,24076.0,24837.0
Annual,Marine protected area,Square kilometre,Slovenia,230.0,408.0,11.0,11.0
Annual,Marine protected area,Square kilometre,Slovakia,: m,: m,: m,: m
Annual,Marine protected area,Percentage,Austria,: m,: m,: m,: m
Annual,Marine protected area,Percentage,Belgium,36.8,36.8,36.8,37.8
Annual,Marine protected area,Percentage,Bulgaria,2.8,8.1,8.1,8.0
Annual,Marine protected area,Percentage,Cyprus,0.1,0.1,8.6,8.6
Annual,Marine protected area,Percentage,Czechia,: m,: m,: m,: m
Annual,Marine protected area,Percentage,Germany,45.8,45.9,45.9,45.4
Annual,Marine protected area,Percentage,Denmark,18.1,18.2,18.7,18.7
Annual,Marine protected area,Percentage,Estonia,18.5,18.5,18.6,18.7
Annual,Marine protected area,Percentage,Greece,6.5,6.5,19.7,19.8
Annual,Marine protected area,Percentage,Spain,1.1,7.9,12.0,12.4
Annual,Marine protected area,Percentage,European Union - 27 countries (from 2020),4.2,7.4,10.9,12.1
Annual,Marine protected area,Percentage,Finland,9.9,10.0,11.0,11.0
Annual,Marine protected area,Percentage,France,12.7,15.0,37.7,45.4
Annual,Marine protected area,Percentage,Croatia,1.2,9.1,9.5,9.5
Annual,Marine protected area,Percentage,Hungary,: m,: m,: m,: m
Annual,Marine protected area,Percentage,Ireland,1.5,2.3,2.3,2.3
Annual,Marine protected area,Percentage,Italy,5.2,5.2,5.4,9.7
Annual,Marine protected area,Percentage,Lithuania,10.5,24.1,24.1,22.8
Annual,Marine protected area,Percentage,Luxembourg,: m,: m,: m,: m
Annual,Marine protected area,Percentage,Latvia,15.5,15.8,15.8,15.8
Annual,Marine protected area,Percentage,Malta,0.3,4.6,5.5,5.5
Annual,Marine protected area,Percentage,Netherlands,20.1,25.6,25.6,26.1
Annual,Marine protected area,Percentage,Poland,21.8,21.8,21.8,21.9
Annual,Marine protected area,Percentage,Portugal,0.8,3.8,4.5,4.5
Annual,Marine protected area,Percentage,Romania,6.4,21.4,21.5,21.4
Annual,Marine protected area,Percentage,Sweden,6.7,15.3,15.3,16.0
Annual,Marine protected area,Percentage,Slovenia,28.6,50.6,5.2,5.0
Annual,Marine protected area,Percentage,Slovakia,: m,: m,: m,: m
