Time frequency,Live animals,Unit of measure,Geopolitical entity (reporting)\Time,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Laying hens,Thousand heads (animals),France,54800.0,57400.0,58800.0,59200.0,61300.0,61200.0,61000.0,63300.0,61600.0,61200.0,62200.0,61300.0,61700.0,66300.0,66300.0,68000.0,67650.0,66300.0,69180.0,70590.0,72550.0,74500.0,74100.0,71700.0,69400.0,69600.0,68600.0,62421.0,55886.0,64900.0,62100.0,64700.0,64400.0,67700.0,66500.0,66400.0,59657.0,59863.0,60073.0,60325.0,63600.0,63700.0,62400.0,62175.0,63418.0,62403.0,58419.0,:,55480.0 p,51480.0 p,51310.0 p,:,:
Annual,Laying hens,Thousand heads (animals),Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8204.0,7978.0,7679.0,7676.0,6648.0,6321.0,6253.0,6503.0,6260.0,6089.0,5853.0,:,:,:,:,:,6447.0,6056.0,5862.0,5758.0,5530.0,5486.0,:,:,:,:
Annual,Laying hens,Thousand heads (animals),Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15399.1,14232.5,14424.5,13838.0,13354.0,12748.0,12544.0,:,:
Annual,Laying hens,Thousand heads (animals),Ireland,:,:,:,:,:,4700.0,4700.0,4700.0,4700.0,4700.0,4667.0,4536.0,4386.0,4112.0,4072.0,3612.0,3458.8,3387.0,3259.0,3065.0,2800.0,3103.0,3000.0,3000.0,3291.0,3246.0,3281.0,3462.0,3388.0,3140.0,3163.0,3459.0,3324.0,3335.0,3145.0,3228.0,2873.0,2903.0,2632.0,2802.0,3516.0,3650.0,3755.0,3675.0,3691.0,3954.0,4133.0,3710.0,3710.2,3744.5,:,:,:
Annual,Laying hens,Thousand heads (animals),Italy,:,:,:,:,:,:,:,:,:,:,59053.0,49416.0,50326.0,50049.0,52511.0,51182.0,51383.0,51452.0,49976.0,50326.0,47513.0,50202.0,49527.0,47480.0,51046.0,47798.0,48035.0,51950.0,52730.0,47512.0,47657.0,50997.0,51503.0,49314.0,48126.0,49506.0,47774.0,47523.0,51120.0,55696.0,63289.0,62195.4,59279.0,58710.0,58545.0,57865.0,55460.0,:,:,:,:,:,:
Annual,Laying hens,Thousand heads (animals),Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4706.9,4258.4,3837.3,3500.4,3658.5,3637.6,3964.8,4219.3,4377.3,4385.6,4309.9,3659.2,3823.1,4300.9,4034.1,:
Annual,Laying hens,Thousand heads (animals),Luxembourg,400.0,220.0,234.0,232.0,246.0,241.0,242.0,239.0,255.0,256.0,222.0,206.0,199.0,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Laying hens,Thousand heads (animals),Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2375.6,2093.5,2071.2,2264.0,2223.0,2066.4,2032.4,1980.5,2047.6,2277.5,:,:,2097.9,2115.3,2260.0,2223.0 p,:,:,:,:
Annual,Laying hens,Thousand heads (animals),Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,417.8 p,420.0 p,415.0,477.0,500.0,563.8,560.0,383.3,314.7,:,:
Annual,Laying hens,Thousand heads (animals),Netherlands,28695.0,29995.0,30000.0,26970.0,24495.0,20451.0,19733.0,17241.0,17959.0,19431.0,20273.0,19430.0,19263.0,19911.0,20033.0,22158.0,22825.0,23598.0,27590.0,31488.0,34552.0,37038.0,39881.0,39438.0,40750.0,40347.0,39756.0,38246.0,37061.0,39877.0,44320.0,44508.0,44991.0,42234.0,40868.0,38162.0,39579.0,40077.0,41435.0,42461.0,42461.0,42726.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Laying hens,Thousand heads (animals),Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,51724.6,54209.4,55623.0,45378.0,43537.0,40270.0,38967.0,41786.0,39766.0,45880.0,44612.0,43386.0,:,:,:,51759.0,45113.0,46697.0,46452.0,44551.0,45502.0,47488.0,48207.0,49040.0,:,:
Annual,Laying hens,Thousand heads (animals),Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0 n,7023.0,7273.0,7436.0,7686.0,7800.0,8100.0,8325.0,8143.0,8696.0,8087.0,7747.0,6516.0,7226.0,7097.0,7548.0,8000.0,8065.0,8129.0 p,8516.0,7742.0,7677.0,7871.0,8000.0,8000.0,8452.0,:,:
Annual,Laying hens,Thousand heads (animals),Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,51888.9,49724.5,51888.9,49724.5,43253.0,36037.5,35602.8,:,:
Annual,Laying hens,Thousand heads (animals),Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6392.0,6145.0,6063.0,5764.0,5918.0,6100.3,5708.5,5724.5,5361.7,5647.5,5669.7,5686.9,4731.8,4497.7,4995.0,5065.3,:,:,:,:,:,:,:
Annual,Laying hens,Thousand heads (animals),Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1341.0,1001.0,1056.0,1120.0,1338.0,1378.0,:,:,:,:
Annual,Laying hens,Thousand heads (animals),Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8383.0,8127.0,8260.0,8134.0,8144.0,7568.0,7308.0,7578.0,7625.0,7405.0,7258.0,6161.0,:,:,:,:,:,:,:,5690.0,5776.0,:,6252.0,6266.0,:,:
Annual,Laying hens,Thousand heads (animals),United Kingdom,:,:,:,:,:,73662.0,72763.0,73662.0,73155.0,72580.0,72377.0,71354.0,69620.0,65531.0,64434.0,62541.0,62180.0,61880.0,62990.0,61480.0,57330.0,55457.0,55448.0,52080.0,51608.0,51941.0,52041.0,54034.0,56481.0,50173.0,50085.0,44040.0,43520.0,43090.0,42223.5,41357.0,40372.0,41340.0,41161.0,38869.0,39148.4,42700.6,46256.2,45000.0,48073.0,38000.0,36560.0,:,:,:,:,:,:
