Time frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Physical (including threats and not sexual),Percentage,Austria,11.8
Annual,Physical (including threats and not sexual),Percentage,Belgium,11.0
Annual,Physical (including threats and not sexual),Percentage,Bulgaria,6.9
Annual,Physical (including threats and not sexual),Percentage,Cyprus,19.8
Annual,Physical (including threats and not sexual),Percentage,Czechia,8.1
Annual,Physical (including threats and not sexual),Percentage,Germany,9.6
Annual,Physical (including threats and not sexual),Percentage,Denmark,8.5 d
Annual,Physical (including threats and not sexual),Percentage,Estonia,14.5
Annual,Physical (including threats and not sexual),Percentage,Greece,17.5
Annual,Physical (including threats and not sexual),Percentage,Spain,8.4
Annual,Physical (including threats and not sexual),Percentage,European Union (aggregate changing according to the context),11.1 e
Annual,Physical (including threats and not sexual),Percentage,Finland,23.6
Annual,Physical (including threats and not sexual),Percentage,France,9.7
Annual,Physical (including threats and not sexual),Percentage,Croatia,9.5
Annual,Physical (including threats and not sexual),Percentage,Hungary,29.0
Annual,Physical (including threats and not sexual),Percentage,Ireland,12.9
Annual,Physical (including threats and not sexual),Percentage,Italy,12.3 d
Annual,Physical (including threats and not sexual),Percentage,Lithuania,11.5
Annual,Physical (including threats and not sexual),Percentage,Luxembourg,15.5
Annual,Physical (including threats and not sexual),Percentage,Latvia,12.3
Annual,Physical (including threats and not sexual),Percentage,Montenegro,6.3
Annual,Physical (including threats and not sexual),Percentage,Malta,10.4
Annual,Physical (including threats and not sexual),Percentage,Netherlands,10.5
Annual,Physical (including threats and not sexual),Percentage,Poland,8.1
Annual,Physical (including threats and not sexual),Percentage,Portugal,8.1
Annual,Physical (including threats and not sexual),Percentage,Romania,26.8
Annual,Physical (including threats and not sexual),Percentage,Serbia,10.0
Annual,Physical (including threats and not sexual),Percentage,Sweden,13.4
Annual,Physical (including threats and not sexual),Percentage,Slovenia,10.7
Annual,Physical (including threats and not sexual),Percentage,Slovakia,17.4
Annual,Physical (including threats and not sexual),Percentage,Kosovo*,5.7
Annual,Physical (including threats) or sexual,Percentage,Austria,20.0
Annual,Physical (including threats) or sexual,Percentage,Belgium,19.7
Annual,Physical (including threats) or sexual,Percentage,Bulgaria,9.5
Annual,Physical (including threats) or sexual,Percentage,Cyprus,30.3
Annual,Physical (including threats) or sexual,Percentage,Czechia,14.5
Annual,Physical (including threats) or sexual,Percentage,Germany,18.3
Annual,Physical (including threats) or sexual,Percentage,Denmark,14.1 d
Annual,Physical (including threats) or sexual,Percentage,Estonia,26.3
Annual,Physical (including threats) or sexual,Percentage,Greece,24.7
Annual,Physical (including threats) or sexual,Percentage,Spain,15.9
Annual,Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),19.3 e
Annual,Physical (including threats) or sexual,Percentage,Finland,36.3
Annual,Physical (including threats) or sexual,Percentage,France,19.4
Annual,Physical (including threats) or sexual,Percentage,Croatia,15.3
Annual,Physical (including threats) or sexual,Percentage,Hungary,43.8
Annual,Physical (including threats) or sexual,Percentage,Ireland,24.1
Annual,Physical (including threats) or sexual,Percentage,Italy,14.1 d
Annual,Physical (including threats) or sexual,Percentage,Lithuania,17.1
Annual,Physical (including threats) or sexual,Percentage,Luxembourg,30.0
Annual,Physical (including threats) or sexual,Percentage,Latvia,16.9
Annual,Physical (including threats) or sexual,Percentage,Montenegro,7.5
Annual,Physical (including threats) or sexual,Percentage,Malta,16.2
Annual,Physical (including threats) or sexual,Percentage,Netherlands,19.9
Annual,Physical (including threats) or sexual,Percentage,Poland,11.5
Annual,Physical (including threats) or sexual,Percentage,Portugal,11.5
Annual,Physical (including threats) or sexual,Percentage,Romania,39.2
Annual,Physical (including threats) or sexual,Percentage,Serbia,11.7
Annual,Physical (including threats) or sexual,Percentage,Sweden,32.0
Annual,Physical (including threats) or sexual,Percentage,Slovenia,14.9
Annual,Physical (including threats) or sexual,Percentage,Slovakia,32.7
Annual,Physical (including threats) or sexual,Percentage,Kosovo*,6.4
Annual,Sexual,Percentage,Austria,8.3
Annual,Sexual,Percentage,Belgium,8.7
Annual,Sexual,Percentage,Bulgaria,2.6
Annual,Sexual,Percentage,Cyprus,10.5
Annual,Sexual,Percentage,Czechia,6.3
Annual,Sexual,Percentage,Germany,8.7
Annual,Sexual,Percentage,Denmark,5.7 d
Annual,Sexual,Percentage,Estonia,11.8
Annual,Sexual,Percentage,Greece,7.3
Annual,Sexual,Percentage,Spain,7.5
Annual,Sexual,Percentage,European Union (aggregate changing according to the context),8.2 e
Annual,Sexual,Percentage,Finland,12.7
Annual,Sexual,Percentage,France,9.6
Annual,Sexual,Percentage,Croatia,5.8
Annual,Sexual,Percentage,Hungary,14.7
Annual,Sexual,Percentage,Ireland,11.2
Annual,Sexual,Percentage,Italy,5.7 d
Annual,Sexual,Percentage,Lithuania,5.5
Annual,Sexual,Percentage,Luxembourg,14.2
Annual,Sexual,Percentage,Latvia,4.6
Annual,Sexual,Percentage,Montenegro,: u
Annual,Sexual,Percentage,Malta,5.8
Annual,Sexual,Percentage,Netherlands,9.3
Annual,Sexual,Percentage,Poland,3.4
Annual,Sexual,Percentage,Portugal,3.4
Annual,Sexual,Percentage,Romania,12.4
Annual,Sexual,Percentage,Serbia,1.7
Annual,Sexual,Percentage,Sweden,18.3
Annual,Sexual,Percentage,Slovenia,4.2
Annual,Sexual,Percentage,Slovakia,15.4
Annual,Sexual,Percentage,Kosovo*,: u
