Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Industry (except construction),Hour,Austria,9.0
Annual,Industry (except construction),Hour,Belgium,13.7
Annual,Industry (except construction),Hour,Bulgaria,3.7
Annual,Industry (except construction),Hour,Cyprus,4.7
Annual,Industry (except construction),Hour,Czechia,13.2
Annual,Industry (except construction),Hour,Germany,10.3
Annual,Industry (except construction),Hour,Denmark,10.6
Annual,Industry (except construction),Hour,Estonia,4.6
Annual,Industry (except construction),Hour,Greece,3.2
Annual,Industry (except construction),Hour,Spain,8.3
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),9.4
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),9.0
Annual,Industry (except construction),Hour,Finland,11.2
Annual,Industry (except construction),Hour,France,13.4
Annual,Industry (except construction),Hour,Hungary,5.8
Annual,Industry (except construction),Hour,Ireland,14.6
Annual,Industry (except construction),Hour,Italy,5.7
Annual,Industry (except construction),Hour,Lithuania,5.0
Annual,Industry (except construction),Hour,Luxembourg,22.0
Annual,Industry (except construction),Hour,Latvia,4.0
Annual,Industry (except construction),Hour,Malta,16.4
Annual,Industry (except construction),Hour,Netherlands,12.9
Annual,Industry (except construction),Hour,Norway,12.9
Annual,Industry (except construction),Hour,Poland,5.6
Annual,Industry (except construction),Hour,Portugal,6.6
Annual,Industry (except construction),Hour,Romania,5.9
Annual,Industry (except construction),Hour,Sweden,22.3
Annual,Industry (except construction),Hour,Slovenia,15.7
Annual,Industry (except construction),Hour,Slovakia,13.6
Annual,Industry (except construction),Hour,United Kingdom,5.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Austria,8.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Belgium,12.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Bulgaria,4.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Cyprus,6.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Czechia,13.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Germany,8.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Denmark,10.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Estonia,6.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Greece,3.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Spain,8.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 27 countries (from 2020),9.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 28 countries (2013-2020),8.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Finland,9.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,France,12.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Hungary,5.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Ireland,12.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Italy,7.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Lithuania,4.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Luxembourg,16.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Latvia,3.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Malta,11.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Netherlands,12.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Norway,9.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Poland,6.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Portugal,7.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Romania,5.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Sweden,15.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovenia,14.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovakia,12.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,United Kingdom,6.5
Annual,Construction,Hour,Austria,4.7
Annual,Construction,Hour,Belgium,4.4
Annual,Construction,Hour,Bulgaria,2.7
Annual,Construction,Hour,Cyprus,2.4
Annual,Construction,Hour,Czechia,13.5
Annual,Construction,Hour,Germany,4.3
Annual,Construction,Hour,Denmark,7.5
Annual,Construction,Hour,Estonia,4.3
Annual,Construction,Hour,Greece,0.7
Annual,Construction,Hour,Spain,5.0
Annual,Construction,Hour,European Union - 27 countries (from 2020),5.6
Annual,Construction,Hour,European Union - 28 countries (2013-2020),5.8
Annual,Construction,Hour,Finland,7.6
Annual,Construction,Hour,France,8.1
Annual,Construction,Hour,Hungary,3.2
Annual,Construction,Hour,Ireland,9.1
Annual,Construction,Hour,Italy,3.2
Annual,Construction,Hour,Lithuania,3.7
Annual,Construction,Hour,Luxembourg,7.2
Annual,Construction,Hour,Latvia,2.7
Annual,Construction,Hour,Malta,5.9
Annual,Construction,Hour,Netherlands,13.7
Annual,Construction,Hour,Norway,6.4
Annual,Construction,Hour,Poland,3.4
Annual,Construction,Hour,Portugal,3.4
Annual,Construction,Hour,Romania,3.5
Annual,Construction,Hour,Sweden,7.5
Annual,Construction,Hour,Slovenia,4.3
Annual,Construction,Hour,Slovakia,6.3
Annual,Construction,Hour,United Kingdom,7.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Austria,7.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Belgium,11.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Bulgaria,5.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Cyprus,6.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Czechia,11.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Germany,5.7
