Time frequency,Sector,Seasonal adjustment,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Austria,42.72,46.69,32.85,47.61,39.83,44.91,30.46,43.61,35.29,37.71,23.27,38.27
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Belgium,40.55,46.84,43.81,49.22,41.54,45.24 p,40.98 p,45.80 p,38.24 p,44.74 p,40.27 p,46.51 p
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Czechia,42.97,42.7,45.76,47.02,45.83,45.94,47.77,47.94,46.23,43.82,:,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Germany,38.29 p,41.38 p,39.28 p,40.01 p,36.87 p,42.26 p,39.31 p,39.03 p,35.98 p,39.19 p,37.20 p,36.59 p
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Denmark,49.56,45.76,46.91,52.29,49.3,45.83,41.45,43.09,44.49,40.03,40.74,47.23
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Euro area – 20 countries (from 2023),39.8,42.52,39.64,42.74,39.8,42.66,39.64,41.82,38.58,40.19,37.44,40.3
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Estonia,47.75,48.23,40.65,47.52,46.91,45.61,36.06,41.57,:,:,:,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Greece,43.54 p,48.80 p,47.48 p,54.34 p,45.44 p,48.32 p,43.12 p,51.57 p,41.71 p,48.10 p,:,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Spain,42.53,36.1,39.31,38.97,45.65,38.74,39.95,36.92,42.81,34.6,37.23,35.58
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,European Union - 27 countries (from 2020),41.41,42.22,40.33,43.55,41.46,42.59,40.16,42.28,40.17,39.83,37.77,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Finland,48.21,38.59,41.02,38.87,46.96,37.56,39.25,37.69,45.71,37.0,42.68,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,France,29.46,32.0,30.27,33.1,28.94,33.6,31.79,34.4,31.34,33.08,28.97,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Hungary,52.34,29.15,44.07,48.09,50.62,34.46 p,43.08 p,48.33 p,48.32 p,29.95 p,41.03 p,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Ireland,76.84,77.98,77.23,79.63,78.49,74.02,74.14,75.11,72.73,70.53,71.1,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Italy,39.42,48.64,44.99,49.93,40.7,50.08,45.13,48.48,39.07,47.62,41.52,46.21
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Netherlands,44.77,45.41 p,38.91 p,48.66 p,44.50 p,45.77 p,38.93 p,47.77 p,43.79 p,43.98 p,38.19 p,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Norway,64.89,68.94,63.16,73.92,67.11,63.35,53.64,:,:,:,:,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Poland,49.86,47.73,43.55,46.82,53.63,47.34,44.27,43.65,51.51,39.66,:,:
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Portugal,29.74,39.09,37.06,37.86,33.61,38.22 p,36.31 p,35.37 p,28.75 p,36.41 p,32.59 p,34.00 p
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Sweden,45.5,37.66,38.38,35.17,41.86,38.52,37.15,32.95,41.9,38.82,37.51,32.29
Quarterly,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Slovenia,34.61,27.12,28.57,37.79,32.66,25.89,27.02,35.31,31.03,21.99,:,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Austria,41.99,45.19,41.4,41.24,40.66,42.02,39.79,37.72,35.87,34.58,33.36,30.88
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Belgium,44.13,44.74,45.29,45.53,45.23,43.1,42.61,42.02,42.0,42.45,42.02,42.77
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Czechia,43.36,44.11,44.84,46.02,46.5,47.18,47.47,47.14,46.69,46.18,:,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Germany,40.76,39.11,39.34,39.71,39.2,40.21,39.26,38.69,38.35,37.21,37.05,36.16
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Denmark,47.03,46.93,50.45,50.64,46.52,47.04,44.38,41.46,41.79,41.8,42.84,45.43
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Euro area – 20 countries (from 2023),41.5,40.76,41.09,41.42,41.27,41.52,40.95,40.34,39.79,39.13,38.71,38.8
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Estonia,45.79,46.91,45.18,46.36,44.95,43.6,40.78,40.61,:,:,:,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Greece,47.85,48.14,49.77,48.49,49.21,47.79,46.68,46.3,45.7,45.88,:,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Spain,38.48,39.07,39.81,41.21,40.86,41.27,40.11,39.06,38.34,37.41,37.22,36.98
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,European Union - 27 countries (from 2020),42.2,41.37,41.77,42.29,42.08,42.2,41.51,40.92,40.49,39.56,39.14,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Finland,43.13,41.31,41.7,40.75,42.25,40.43,39.87,39.78,40.38,40.56,43.08,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,France,31.76,30.98,31.11,31.2,30.88,32.91,32.73,32.46,32.64,31.93,30.24,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Hungary,46.41,40.68,45.7,45.45,45.3,47.01,43.92,43.94,42.19,40.63,41.22,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Ireland,76.84,77.98,77.23,79.63,78.49,74.02,74.14,75.11,72.73,70.53,71.1,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Italy,44.9,45.09,46.12,46.39,45.94,46.42,46.23,45.19,44.55,43.82,42.7,42.42
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Netherlands,44.6,44.26,44.18,44.49,44.31,44.7,44.08,43.7,43.59,43.02,43.2,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Norway,62.71,68.71,68.19,71.12,65.07,62.93,59.47,:,:,:,:,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Poland,45.76,47.51,46.51,49.46,49.08,47.19,47.26,46.32,47.07,39.48,:,:
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Portugal,35.12,35.53,36.19,37.0,38.37,34.85,35.66,34.66,33.18,33.21,31.99,33.34
Quarterly,Non-financial corporations,Seasonally and calendar adjusted data,Gross profit share of non-financial corporations (B2G_B3G/B1Q*100),Percentage,Sweden,39.99,38.06,38.5,39.94,37.28,38.0,37.72,37.97,38.05,38.2,37.58,37.06
