Time frequency,Operator/Trader,Agricultural products,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Other operators receiving eggs from agricultural producers,Eggs for consumption,Million,Denmark,129.0,129.0,129.0,129 e,129 e,129 e,129 e,194 e,194 e,194 e,194 e
Annual,Other operators receiving eggs from agricultural producers,Eggs for consumption,Million,Finland,0.0,0.0,0.0,0.0,0 n,0 n,0 n,0.0,0.0,0.0,0.0
Annual,Other operators receiving eggs from agricultural producers,Eggs for consumption,Million,Sweden,:,352.208,374.011,331.99,342.981,324.592,344.441,342.971,294.677,355.841,327.32
Annual,Other operators receiving eggs from agricultural producers,Eggs for consumption,Million,United Kingdom,:,:,437.37 p,454.93 p,480.93,493.57,:,:,:,:,:
Annual,Packers receiving eggs from agricultural producers,Eggs for consumption,Million,Denmark,983.4,982.3,1003.5,1058.9,1093.77,1104.7,1193.2,1242.0,1300.0,1222.0,1153.0
Annual,Packers receiving eggs from agricultural producers,Eggs for consumption,Million,Finland,1115.812,1117.546,1191.07,1209.5,1225.83,1248.0,1260.0,1264.0,1292.333,1272.0,1253.0
Annual,Packers receiving eggs from agricultural producers,Eggs for consumption,Million,Sweden,:,1604.502,1701.447,1940.675,1900.161,1974.098,2094.818,2085.876,1792.165,2164.15,1843.524
Annual,Packers receiving eggs from agricultural producers,Eggs for consumption,Million,United Kingdom,:,:,8747.434 p,9098.53 p,9618.54,9871.37,:,:,:,:,:
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Croatia,30.1,26.5,:,34.8,50.8,:,:,:,53.0,44.4,45.8
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Hungary,:,:,112.612,:,:,:,:,:,:,:,:
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Luxembourg,:,:,16.339,20.87,21.302,25.624,27.82,34.447,35.088,37.079,33.586
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Romania,:,122.4 p,77.711,3666.837,2053.381,542.4,585.452,106.192,110.482,108.478,75.137
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Slovenia,98.312,364.026,395.641,:,74.459,100.524,:,99.061,103.704,72.538,102.915
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Eggs for consumption,Million,Croatia,5.4,4.7,:,7.8,10.7,:,:,:,11.2,8.1,10.5
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Eggs for consumption,Million,Hungary,:,:,23.1,:,:,:,:,:,:,:,:
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Eggs for consumption,Million,Luxembourg,:,:,4.902,6.261,6.391,7.139,7.779,9.631,9.878,10.406,9.406
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Eggs for consumption,Million,Romania,:,19.4 p,13.14,445.861,314.348,92.2,105.967,25.061,26.838,25.856,17.819
Annual,Agricultural producers of eggs with 350 to 5 000 laying hens according to harmonised methodology,Eggs for consumption,Million,Slovenia,23.88,77.261,63.256,:,18.574,26.472,:,23.924,28.83,26.952,26.952
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Belgium,:,7601.824 e,7594.532 e,7044.961 e,5911.654 e,5547.688 e,6849.564 e,7171.013 e,7370.257 e,7545.071 e,7983.162 e
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Bulgaria,2861.0,:,3524 p,3690.0,3741.0,3829.0,4027.0,4118.0,3969.0,4575.0,3632.0
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Cyprus,:,:,405.784,435.102,:,:,:,392.317,:,:,:
