Time frequency,Unit of measure,Type of vessel,Transport coverage,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Austria,2191.0,2353.0,2177.0,1806.0,1962.0,2022.0,1489.0,1715.0,1606.0,1506.0,1233.0,1187.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Belgium,10420.0,10365.0,10451.0,10426.0,10331.0,11098.0,7986 b,7767.0,7388.0,8180.0,7559.0,6952.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Bulgaria,5349.0,5374.0,5074.0,5595.0,5477.0,5279.0,4858.0,5901.0,6256.0,5792.0,3787.0,4253.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Czechia,38.0,25.0,27.0,33.0,36.0,25.0,23.0,32.0,18.0,22.0,20.0,18.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Germany,58488.0,60070.0,59093.0,55315.0,54347.0,55518.0,46901.0,50919.0,46338.0,48197.0,44117.0,41506.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,European Union - 27 countries (from 2020),148832.0,151305.0,149431.0,145505.0,145287.0,145986.0,130051.0,138808.0,130478.0,135047.0,121971.0,116405.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Finland,:,:,:,:,:,:,:,122.0,127.0,148.0,194.0,221.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,France,8981.0,9082.0,8770.0,8484.0,8310.0,7515.0,7255.0,7996.0,6988.0,7265.0,6593.0,5920.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Croatia,772.0,771.0,716.0,879.0,836.0,813.0,678.0,835.0,903.0,841.0,595.0,486.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Hungary,1982.0,1924.0,1811.0,1824.0,1975.0,1992.0,1608.0,2120.0,1998.0,1873.0,1508.0,1316.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Luxembourg,290.0,313.0,285.0,235.0,190.0,195.0,205.0,228.0,201.0,217.0,200.0,165.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Netherlands,46681.0,47688.0,48252.0,46912.0,47657.0,47960.0,45886.0,46194.0,44106.0,46591.0,44551.0,41631.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Poland,131.0,91.0,110.0,88.0,108.0,115.0,125.0,87.0,77.0,54.0,40.0,29.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Romania,12520.0,12242.0,11760.0,13168.0,13153.0,12517.0,12261.0,13957.0,13638.0,13522.0,10757.0,11947.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Sweden,:,:,:,:,:,:,:,:,:,:,134.0,134.0
Annual,Million tonne-kilometre (TKM),Total,Total transport,Slovakia,986.0,1006.0,905.0,741.0,903.0,933.0,778.0,937.0,834.0,839.0,680.0,640.0
Annual,Thousand tonnes,Total,Total transport,Austria,10714.0,10710.0,10122.0,8599.0,9071.0,9620.0,7202.0,8512.0,8247.0,8271.0,6374.0,6047.0
Annual,Thousand tonnes,Total,Total transport,Belgium,190288.0,187404.0,190303.0,188158.0,192938.0,201129.0,151972 b,155695.0,156131.0,166160.0,163023.0,159990.0
Annual,Thousand tonnes,Total,Total transport,Bulgaria,16378.0,16726.0,16922.0,17201.0,17467.0,16247.0,15462.0,18735.0,18924.0,18093.0,12548.0,13428.0
Annual,Thousand tonnes,Total,Total transport,Czechia,838.0,608.0,802.0,850.0,832.0,510.0,390.0,779.0,397.0,344.0,317.0,378.0
Annual,Thousand tonnes,Total,Total transport,Germany,223170.0,226864.0,228489.0,221369.0,221349.0,222731.0,197904.0,205066.0,188022.0,195093.0,182448.0,171689.0
Annual,Thousand tonnes,Total,Total transport,European Union - 27 countries (from 2020),535042.0,533550.0,547177.0,540751.0,545754.0,551259.0,503764.0,514914.0,495560.0,513925.0,488144.0,468849.0
Annual,Thousand tonnes,Total,Total transport,Finland,:,:,:,:,:,:,:,527.0,512.0,579.0,721.0,826.0
Annual,Thousand tonnes,Total,Total transport,France,68542.0,68059.0,65139.0,62808.0,65189.0,63253.0,59529.0,64207.0,55979.0,57109.0,53201.0,47333.0
Annual,Thousand tonnes,Total,Total transport,Croatia,5934.0,5823.0,5377.0,6642.0,6409.0,6221.0,5182.0,6491.0,7077.0,6548.0,4626.0,3765.0
Annual,Thousand tonnes,Total,Total transport,Hungary,8135.0,7857.0,7825.0,8163.0,8224.0,8414.0,6926.0,8592.0,8803.0,8022.0,5921.0,5200.0
Annual,Thousand tonnes,Total,Total transport,Luxembourg,8506.0,8987.0,8390.0,7106.0,6035.0,6163.0,5741.0,6433.0,5755.0,6221.0,5652.0,4745.0
Annual,Thousand tonnes,Total,Total transport,Netherlands,343029.0,348426.0,357738.0,349717.0,354587.0,359356.0,349480.0,347714.0,335892.0,357594.0,345479.0,327479.0
Annual,Thousand tonnes,Total,Total transport,Poland,2574.0,3185.0,5899.0,5036.0,3911.0,3604.0,3126.0,2870.0,2517.0,2075.0,918.0,587.0
Annual,Thousand tonnes,Total,Total transport,Romania,27946.0,26858.0,27834.0,30020.0,30484.0,29043.0,29714.0,33261.0,30518.0,32120.0,28620.0,32102.0
Annual,Thousand tonnes,Total,Total transport,Sweden,:,:,:,:,:,:,:,:,:,:,2455.0,1263.0
Annual,Thousand tonnes,Total,Total transport,Slovakia,8242.0,8107.0,7010.0,5721.0,6758.0,6896.0,5567.0,6430.0,6004.0,6013.0,5174.0,4670.0
