Time frequency,Age class,Source of information,Unit of measure,Training,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Austria,21.7,13.8
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Belgium,16.3,3.9 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Bulgaria,45.9,20.2 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Switzerland,:,18.9
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Cyprus,21.5,: u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Czechia,:,22.3
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Germany,32.9,23.1
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Denmark,:,: u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Euro area – 20 countries (from 2023),22.3,10.8 b
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Estonia,:,: u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Greece,34.2,: u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Spain,28.4,9.3
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,European Union - 27 countries (from 2020),22.9,11.1 b
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,European Union - 28 countries (2013-2020),22.1,9.9 b
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Finland,3.9 u,3.2 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,France,:,5.0 b
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Croatia,32.4,:
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Hungary,40.4,12.7 b
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Ireland,:,16.1
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Italy,6.4,3.7 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Lithuania,9.6 u,15.9 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Luxembourg,:,7.9
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Latvia,15.9 u,9.5
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Malta,:,15.8
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Netherlands,2.4 u,3.6 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Norway,:,: u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Poland,25.4,10.0
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Portugal,35.8,9.3
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Romania,53.9,27.0 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Serbia,:,11.8 u
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Sweden,7.3,18.1
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Slovenia,3.6 u,9.6
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Slovakia,50.5,29.3
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,Türkiye,7.6,6.5
Annual,From 25 to 64 years,Books,Percentage,Formal and non-formal education and training,United Kingdom,:,4.5 u
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Austria,19.0,39.2
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Belgium,24.4,28.0
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Bulgaria,24.5,25.1
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Switzerland,:,12.6
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Cyprus,27.4,30.1
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Czechia,:,26.4
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Germany,31.3,38.1
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Denmark,:,20.0
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Euro area – 20 countries (from 2023),23.9,22.6 b
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Estonia,:,14.7
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Greece,37.9,37.2
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Spain,24.3,17.2
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,European Union - 27 countries (from 2020),25.5,23.4 b
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,European Union - 28 countries (2013-2020),24.6,25.0 b
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Finland,14.0,32.1
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,France,:,17.3 b
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Croatia,23.3,:
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Hungary,46.2,25.5 b
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Ireland,:,23.6
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Italy,13.5,5.4
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Lithuania,21.2,7.6 u
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Luxembourg,:,30.5
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Latvia,13.9 u,21.8
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Malta,:,19.5
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Netherlands,17.8,15.8
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Norway,:,15.0
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Poland,39.1,25.3
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Portugal,28.9,20.8
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Romania,36.1,61.1
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Serbia,:,25.1
