Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Albania,113.52 d,113.75 d,113.89 d,114.15 d,114.34 d,114.33 d,114.42 d,114.95 d,115.38 d,115.79 d,116.00 d,116.39 d
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Austria,128.87,129.68,130.87,130.89,131.29,131.56,131.01,130.91,131.56,132.36,132.7,133.94
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Belgium,121.3,123.49,123.53,123.5,124.02,124.42,122.63,125.6,124.66,125.36,125.13,125.91
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Bulgaria,125.39,125.45,126.0,125.72,126.02,126.82,129.08,128.85,126.52,127.8,127.73,128.56
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Switzerland,104.14,104.41,104.42,104.93,105.22,105.02,105.4,105.44,105.12,105.33,104.84,104.89
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Cyprus,108.91,109.42,110.88,111.88,113.23,113.98,114.63,115.86,115.41,115.28,114.47,113.68
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Czechia,143.5,144.4,145.1,145.5,145.7,145.9,147.5,147.6,146.7,147.2,147.2,147.2
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Germany,118.8,119.8,120.9,121.3,122.0,122.4,123.2,123.3,123.3,123.6,122.5,123.5
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Denmark,113.7,114.5,114.5,114.7,114.8,114.7,116.3,115.2,115.1,115.3,114.4,114.6
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",116.05,116.83,118.12,118.95,119.47,119.89,119.7,120.09,120.17,120.47,119.78,120.32
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Euro area - 19 countries  (2015-2022),116.03,116.82,118.1,118.93,119.44,119.86,119.66,120.04,120.13,120.43,119.74,120.28
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Euro area – 20 countries (from 2023),116.08,116.86,118.15,118.98,119.49,119.92,119.73,120.11,120.2,120.49,119.8,120.34
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Estonia,134.45,135.81,137.09,139.1,138.7,139.73,139.83,140.72,140.77,142.35,140.46,141.06
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Greece,109.11,109.16,112.44,114.0,113.99,115.21,114.18,113.81,116.63,116.88,115.26,115.6
Monthly,"Overall index excluding energy, food, alcohol and tobacco","Index, 2015=100",Spain,113.9,114.47,116.27,116.82,117.26,117.98,117.15,117.44,117.85,117.97,117.69,118.19
