Time frequency,Tenure status,Year of construction,Unit of measure,Geopolitical entity (reporting)\Time,1991.0
Annual,Other,After 1986,Number,France,528840.0
Annual,Other,After 1986,Number,Portugal,61803.0
Annual,Other,After 1986,Number,Sweden,108342.0
Annual,Other,Before 1900,Number,Liechtenstein,489.0
Annual,Other,Before 1914,Number,Netherlands,243000.0
Annual,Other,Before 1915,Number,France,2248116.0
Annual,Other,Before 1919,Number,Austria,448693.0
Annual,Other,Before 1919,Number,Belgium,177939.0
Annual,Other,Before 1919,Number,Denmark,219199.0
Annual,Other,Before 1919,Number,Greece,15058.0
Annual,Other,Before 1919,Number,Spain,359611.0
Annual,Other,Before 1919,Number,Finland,35974.0
Annual,Other,Before 1919,Number,Ireland,46915.0
Annual,Other,Before 1919,Number,Italy,1123416.0
Annual,Other,Before 1919,Number,Luxembourg,7950.0
Annual,Other,Before 1919,Number,Portugal,169567.0
Annual,Other,Before 1919,Number,United Kingdom,: m
Annual,Other,Before 1920,Number,Switzerland,382130.0
Annual,Other,Before 1920,Number,Norway,74648.0
Annual,Owner,Total,Number,Austria,1484371.0
Annual,Owner,Total,Number,Belgium,2417671.0
Annual,Owner,Total,Number,Switzerland,877892.0
Annual,Owner,Total,Number,Germany,9948852.0
Annual,Owner,Total,Number,Denmark,1210154.0
Annual,Owner,Total,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",55214641.0
Annual,Owner,Total,Number,Greece,2397271.0
Annual,Owner,Total,Number,Spain,9194491.0
Annual,Owner,Total,Number,European Union - 15 countries (1995-2004),60943803.0
Annual,Owner,Total,Number,Finland,1476935.0
Annual,Owner,Total,Number,France,11721228.0
Annual,Owner,Total,Number,Départements d'outre-mer (NUTS 2010),237816.0
Annual,Owner,Total,Number,Ireland,808385.0
Annual,Owner,Total,Number,Italy,13419121.0
Annual,Owner,Total,Number,Liechtenstein,5475.0
Annual,Owner,Total,Number,Luxembourg,92218.0
Annual,Owner,Total,Number,Netherlands,2674000.0
Annual,Owner,Total,Number,Norway,1368992.0
Annual,Owner,Total,Number,Portugal,1977369.0
Annual,Owner,Total,Number,Sweden,2121737.0
Annual,Owner,Total,Number,United Kingdom,: m
Annual,Owner,Unknown,Number,Belgium,158002.0
Annual,Owner,Unknown,Number,Denmark,644.0
Annual,Owner,Unknown,Number,Finland,18291.0
Annual,Owner,Unknown,Number,Ireland,5336.0
Annual,Owner,Unknown,Number,Luxembourg,1899.0
Annual,Owner,Unknown,Number,Netherlands,81000.0
Annual,Owner,Unknown,Number,Sweden,21635.0
Annual,Owner,From 1900 to 1920,Number,Liechtenstein,180.0
Annual,Owner,From 1919 to 1939,Number,Austria,102284.0
Annual,Owner,From 1919 to 1939,Number,Spain,700776.0
Annual,Owner,From 1919 to 1939,Number,Luxembourg,15093.0
Annual,Owner,From 1919 to 1939,Number,Netherlands,443000.0
Annual,Owner,From 1919 to 1939,Number,Portugal,204293.0
Annual,Owner,From 1919 to 1945,Number,Belgium,390536.0
Annual,Owner,From 1919 to 1945,Number,Greece,205535.0
Annual,Owner,From 1919 to 1945,Number,Finland,113612.0
Annual,Owner,From 1919 to 1945,Number,Italy,1309325.0
Annual,Owner,From 1921 to 1945,Number,Norway,130634.0
Annual,Owner,From 1921 to 1946,Number,Switzerland,99113.0
Annual,Owner,From 1921 to 1946,Number,Liechtenstein,486.0
Annual,Owner,From 1941 to 1960,Number,Ireland,119271.0
Annual,Owner,From 1946 to 1960,Number,Denmark,151818.0
Annual,Owner,From 1946 to 1960,Number,Greece,385280.0
Annual,Owner,From 1946 to 1960,Number,Spain,1202767.0
Annual,Owner,From 1946 to 1960,Number,Finland,271580.0
Annual,Owner,From 1946 to 1960,Number,France,1250516.0
Annual,Owner,From 1946 to 1960,Number,Italy,2289164.0
Annual,Owner,From 1946 to 1960,Number,Luxembourg,15192.0
Annual,Owner,From 1946 to 1960,Number,Netherlands,333000.0
Annual,Owner,From 1946 to 1960,Number,Norway,277904.0
Annual,Owner,From 1946 to 1960,Number,Portugal,240301.0
Annual,Owner,From 1946 to 1961,Number,Austria,206646.0
Annual,Owner,From 1946 to 1961,Number,Belgium,463682.0
Annual,Owner,From 1947 to 1960,Number,Switzerland,102981.0
Annual,Owner,From 1947 to 1960,Number,Liechtenstein,765.0
Annual,Owner,From 1961 to 1970,Number,Switzerland,110659.0
Annual,Owner,From 1961 to 1970,Number,Denmark,235370.0
Annual,Owner,From 1961 to 1970,Number,Greece,612438.0
Annual,Owner,From 1961 to 1970,Number,Spain,2172662.0
Annual,Owner,From 1961 to 1970,Number,Finland,244494.0
Annual,Owner,From 1961 to 1970,Number,France,1466093.0
Annual,Owner,From 1961 to 1970,Number,Ireland,90489.0
Annual,Owner,From 1961 to 1970,Number,Liechtenstein,1121.0
Annual,Owner,From 1961 to 1970,Number,Luxembourg,11420.0
Annual,Owner,From 1961 to 1970,Number,Netherlands,409000.0
Annual,Owner,From 1961 to 1970,Number,Norway,253512.0
Annual,Owner,From 1961 to 1970,Number,Portugal,310948.0
Annual,Owner,From 1961 to 1971,Number,Italy,3447500.0
Annual,Owner,From 1962 to 1970,Number,Austria,288863.0
Annual,Owner,From 1962 to 1970,Number,Belgium,300761.0
Annual,Owner,From 1971 to 1980,Number,Austria,348975.0
Annual,Owner,From 1971 to 1980,Number,Belgium,410515.0
Annual,Owner,From 1971 to 1980,Number,Switzerland,170135.0
Annual,Owner,From 1971 to 1980,Number,Denmark,271379.0
Annual,Owner,From 1971 to 1980,Number,Greece,664790.0
Annual,Owner,From 1971 to 1980,Number,Spain,2705470.0
Annual,Owner,From 1971 to 1980,Number,Finland,367352.0
Annual,Owner,From 1971 to 1980,Number,France,2629496.0
Annual,Owner,From 1971 to 1980,Number,Ireland,182981.0
Annual,Owner,From 1971 to 1980,Number,Liechtenstein,1342.0
Annual,Owner,From 1971 to 1980,Number,Luxembourg,17540.0
Annual,Owner,From 1971 to 1980,Number,Netherlands,573000.0
Annual,Owner,From 1971 to 1980,Number,Norway,308778.0
Annual,Owner,From 1971 to 1980,Number,Portugal,463367.0
Annual,Owner,From 1972 to 1980,Number,Italy,2630566.0
Annual,Owner,From 1975 to 1981,Number,Départements d'outre-mer (NUTS 2010),47415.0
Annual,Owner,From 1981 to 1985,Number,Austria,148243.0
Annual,Owner,From 1981 to 1985,Number,Belgium,109212.0
Annual,Owner,From 1981 to 1985,Number,Switzerland,82910.0
Annual,Owner,From 1981 to 1985,Number,Denmark,41512.0
Annual,Owner,From 1981 to 1985,Number,Greece,273938.0
Annual,Owner,From 1981 to 1985,Number,France,1058775.0
Annual,Owner,From 1981 to 1985,Number,Portugal,295132.0
Annual,Owner,From 1981 to 1985,Number,Sweden,134011.0
Annual,Owner,After 1981,Number,Spain,1506800.0
Annual,Owner,After 1981,Number,Finland,403226.0
Annual,Owner,After 1981,Number,Ireland,141963.0
Annual,Owner,After 1981,Number,Italy,1442822.0
Annual,Owner,After 1981,Number,Liechtenstein,1195.0
Annual,Owner,After 1981,Number,Luxembourg,15060.0
Annual,Owner,After 1981,Number,Netherlands,474000.0
Annual,Owner,After 1981,Number,Norway,244604.0
Annual,Owner,After 1982,Number,Départements d'outre-mer (NUTS 2010),77628.0
Annual,Owner,After 1986,Number,Austria,163275.0
Annual,Owner,After 1986,Number,Belgium,129770.0
Annual,Owner,After 1986,Number,Switzerland,86011.0
Annual,Owner,After 1986,Number,Denmark,39061.0
Annual,Owner,After 1986,Number,Greece,149283.0
Annual,Owner,After 1986,Number,France,980276.0
Annual,Owner,After 1986,Number,Portugal,254221.0
Annual,Owner,After 1986,Number,Sweden,97193.0
Annual,Owner,Before 1900,Number,Liechtenstein,386.0
Annual,Owner,Before 1914,Number,Netherlands,361000.0
Annual,Owner,Before 1915,Number,France,2914688.0
Annual,Owner,Before 1919,Number,Austria,226085.0
Annual,Owner,Before 1919,Number,Belgium,455193.0
Annual,Owner,Before 1919,Number,Denmark,268214.0
Annual,Owner,Before 1919,Number,Greece,106007.0
Annual,Owner,Before 1919,Number,Spain,906016.0
Annual,Owner,Before 1919,Number,Finland,58380.0
Annual,Owner,Before 1919,Number,Ireland,158807.0
Annual,Owner,Before 1919,Number,Italy,2299744.0
Annual,Owner,Before 1919,Number,Luxembourg,16014.0
Annual,Owner,Before 1919,Number,Portugal,209107.0
Annual,Owner,Before 1919,Number,United Kingdom,: m
Annual,Owner,Before 1920,Number,Switzerland,226083.0
Annual,Owner,Before 1920,Number,Norway,153558.0
Annual,Total,Total,Number,Austria,2967604.0
Annual,Total,Total,Number,Belgium,3748104.0
Annual,Total,Total,Number,Switzerland,2800953.0
Annual,Total,Total,Number,Germany,25321331.0
Annual,Total,Total,Number,Denmark,2251112.0
Annual,Total,Total,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",97380107.0
Annual,Total,Total,Number,Greece,3167152.0
Annual,Total,Total,Number,Spain,11736376.0
Annual,Total,Total,Number,European Union - 15 countries (1995-2004),129658170.0
Annual,Total,Total,Number,Finland,2209554.0
Annual,Total,Total,Number,France,21542152.0
Annual,Total,Total,Number,Départements d'outre-mer (NUTS 2010),410152.0
Annual,Total,Total,Number,Ireland,1019723.0
Annual,Total,Total,Number,Italy,19735913.0
Annual,Total,Total,Number,Liechtenstein,11388.0
Annual,Total,Total,Number,Luxembourg,141430.0
Annual,Total,Total,Number,Netherlands,5904000.0
Annual,Total,Total,Number,Norway,1751363.0
Annual,Total,Total,Number,Portugal,3053920.0
Annual,Total,Total,Number,Sweden,4044799.0
Annual,Total,Total,Number,United Kingdom,22815000.0
Annual,Total,Unknown,Number,Belgium,527405.0
Annual,Total,Unknown,Number,Denmark,928.0
Annual,Total,Unknown,Number,Finland,29518.0
Annual,Total,Unknown,Number,Ireland,14478.0
Annual,Total,Unknown,Number,Luxembourg,5082.0
Annual,Total,Unknown,Number,Netherlands,452000.0
Annual,Total,Unknown,Number,Sweden,86774.0
Annual,Total,From 1900 to 1920,Number,Liechtenstein,447.0
Annual,Total,From 1919 to 1939,Number,Austria,303307.0
Annual,Total,From 1919 to 1939,Number,Spain,1022361.0
Annual,Total,From 1919 to 1939,Number,Luxembourg,24515.0
Annual,Total,From 1919 to 1939,Number,Netherlands,740000.0
Annual,Total,From 1919 to 1939,Number,Portugal,368183.0
Annual,Total,From 1919 to 1945,Number,Belgium,560082.0
Annual,Total,From 1919 to 1945,Number,Greece,243923.0
Annual,Total,From 1919 to 1945,Number,Finland,181421.0
Annual,Total,From 1919 to 1945,Number,Italy,2038091.0
Annual,Total,From 1921 to 1945,Number,Norway,188257.0
Annual,Total,From 1921 to 1946,Number,Switzerland,320884.0
Annual,Total,From 1921 to 1946,Number,Liechtenstein,1016.0
Annual,Total,From 1941 to 1960,Number,Ireland,144140.0
Annual,Total,From 1946 to 1960,Number,Denmark,323339.0
Annual,Total,From 1946 to 1960,Number,Greece,479639.0
Annual,Total,From 1946 to 1960,Number,Spain,1678110.0
Annual,Total,From 1946 to 1960,Number,Finland,381428.0
Annual,Total,From 1946 to 1960,Number,France,2730967.0
Annual,Total,From 1946 to 1960,Number,Italy,3486009.0
Annual,Total,From 1946 to 1960,Number,Luxembourg,24779.0
Annual,Total,From 1946 to 1960,Number,Netherlands,872000.0
Annual,Total,From 1946 to 1960,Number,Norway,358209.0
Annual,Total,From 1946 to 1960,Number,Portugal,435371.0
Annual,Total,From 1946 to 1961,Number,Austria,436325.0
Annual,Total,From 1946 to 1961,Number,Belgium,692807.0
Annual,Total,From 1947 to 1960,Number,Switzerland,445098.0
Annual,Total,From 1947 to 1960,Number,Liechtenstein,1348.0
Annual,Total,From 1961 to 1970,Number,Switzerland,543830.0
Annual,Total,From 1961 to 1970,Number,Denmark,397342.0
Annual,Total,From 1961 to 1970,Number,Greece,838615.0
Annual,Total,From 1961 to 1970,Number,Spain,2801198.0
Annual,Total,From 1961 to 1970,Number,Finland,369436.0
Annual,Total,From 1961 to 1970,Number,France,3065898.0
Annual,Total,From 1961 to 1970,Number,Ireland,112783.0
Annual,Total,From 1961 to 1970,Number,Liechtenstein,2296.0
Annual,Total,From 1961 to 1970,Number,Luxembourg,17812.0
Annual,Total,From 1961 to 1970,Number,Netherlands,1018000.0
Annual,Total,From 1961 to 1970,Number,Norway,308485.0
Annual,Total,From 1961 to 1970,Number,Portugal,520067.0
Annual,Total,From 1961 to 1971,Number,Italy,5120621.0
Annual,Total,From 1962 to 1970,Number,Austria,538107.0
Annual,Total,From 1962 to 1970,Number,Belgium,422850.0
Annual,Total,From 1971 to 1980,Number,Austria,548070.0
Annual,Total,From 1971 to 1980,Number,Belgium,596495.0
Annual,Total,From 1971 to 1980,Number,Switzerland,481584.0
Annual,Total,From 1971 to 1980,Number,Denmark,396383.0
Annual,Total,From 1971 to 1980,Number,Greece,942859.0
Annual,Total,From 1971 to 1980,Number,Spain,3195626.0
Annual,Total,From 1971 to 1980,Number,Finland,575305.0
Annual,Total,From 1971 to 1980,Number,France,4623551.0
Annual,Total,From 1971 to 1980,Number,Ireland,226249.0
Annual,Total,From 1971 to 1980,Number,Liechtenstein,3043.0
Annual,Total,From 1971 to 1980,Number,Luxembourg,25418.0
Annual,Total,From 1971 to 1980,Number,Netherlands,1174000.0
Annual,Total,From 1971 to 1980,Number,Norway,374190.0
Annual,Total,From 1971 to 1980,Number,Portugal,654647.0
Annual,Total,From 1972 to 1980,Number,Italy,3733030.0
Annual,Total,From 1975 to 1981,Number,Départements d'outre-mer (NUTS 2010),82358.0
Annual,Total,From 1981 to 1985,Number,Austria,227805.0
Annual,Total,From 1981 to 1985,Number,Belgium,156554.0
Annual,Total,From 1981 to 1985,Number,Switzerland,203183.0
Annual,Total,From 1981 to 1985,Number,Denmark,106928.0
Annual,Total,From 1981 to 1985,Number,Greece,356106.0
Annual,Total,From 1981 to 1985,Number,France,1650588.0
Annual,Total,From 1981 to 1985,Number,Portugal,380954.0
Annual,Total,From 1981 to 1985,Number,Sweden,215198.0
Annual,Total,After 1981,Number,Spain,1773454.0
Annual,Total,After 1981,Number,Finland,578092.0
Annual,Total,After 1981,Number,Ireland,184260.0
Annual,Total,After 1981,Number,Italy,1935002.0
Annual,Total,After 1981,Number,Liechtenstein,2363.0
Annual,Total,After 1981,Number,Luxembourg,19860.0
Annual,Total,After 1981,Number,Netherlands,1043000.0
Annual,Total,After 1981,Number,Norway,294016.0
Annual,Total,After 1982,Number,Départements d'outre-mer (NUTS 2010),126322.0
Annual,Total,After 1986,Number,Austria,239212.0
Annual,Total,After 1986,Number,Belgium,158779.0
Annual,Total,After 1986,Number,Switzerland,198161.0
Annual,Total,After 1986,Number,Denmark,119753.0
Annual,Total,After 1986,Number,Greece,184945.0
Annual,Total,After 1986,Number,France,1509116.0
Annual,Total,After 1986,Number,Portugal,316024.0
Annual,Total,After 1986,Number,Sweden,205535.0
Annual,Total,Before 1900,Number,Liechtenstein,875.0
Annual,Total,Before 1914,Number,Netherlands,604000.0
Annual,Total,Before 1915,Number,France,5162804.0
Annual,Total,Before 1919,Number,Austria,674778.0
Annual,Total,Before 1919,Number,Belgium,633132.0
Annual,Total,Before 1919,Number,Denmark,487413.0
Annual,Total,Before 1919,Number,Greece,121065.0
Annual,Total,Before 1919,Number,Spain,1265627.0
Annual,Total,Before 1919,Number,Finland,94354.0
Annual,Total,Before 1919,Number,Ireland,205722.0
Annual,Total,Before 1919,Number,Italy,3423160.0
Annual,Total,Before 1919,Number,Luxembourg,23964.0
Annual,Total,Before 1919,Number,Portugal,378674.0
Annual,Total,Before 1919,Number,United Kingdom,6177000.0
Annual,Total,Before 1920,Number,Switzerland,608213.0
Annual,Total,Before 1920,Number,Norway,228206.0
