Time frequency,Unit of measure,Classification of health care financing schemes - SHA 2011,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Austria,74.01,74.06,73.96,74.02,74.67,75.07,76.94,78.21,77.55,77.15 p
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,70.82,70.91,71.09,70.51,70.29,70.27,70.84,68.97,68.7,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Belgium,76.04,76.29,76.68,76.65,76.52,75.18,78.05,76.62,75.12,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Bulgaria,58.48,56.12,55.36,56.35,59.08,60.59,63.12,64.95,63.53,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Switzerland,67.01,67.64,68.08,68.1,67.15,67.81,69.57,68.67,68.48,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Cyprus,43.04,42.13,41.9,41.51,42.03,54.2,71.62,81.6,80.87,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Czechia,84.31,84.71,84.85,84.87,84.99,84.87,88.24,86.75,84.97,85.00 p
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Germany,84.21,84.19,84.35,84.46,84.19,84.0,85.3,85.47,86.67,85.93 p
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Denmark,84.44,84.26,84.18,83.96,83.75,83.71,84.34,85.12,84.58,83.52 p
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),77.8,77.83,79.5,79.45,79.45,79.51,81.31 p,81.30 p,81.52 p,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),77.71,77.74,79.39,79.33,79.33,79.4,81.21 p,81.21 p,81.42 p,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),77.69,77.71,79.36,79.3,79.3,79.36,81.17 p,81.17 p,81.36 p,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),77.71,77.73,79.37,79.31,79.31,79.37,81.18 p,81.19 p,81.38 p,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Estonia,74.81,74.69,74.65,73.57,73.67,74.45,77.1,76.12,74.83,76.10 p
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Greece,57.56,58.42,61.39,60.56,59.22,61.51,61.82,62.14,61.96,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,Spain,70.27,71.32,71.56,70.51,70.23,70.51,73.17,73.71,74.03 p,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,European Union - 15 countries (1995-2004),78.45,78.46,79.78,79.64,79.57,79.62,:,:,:,:
Annual,Percentual share of total current health expenditure (CHE),Government schemes and compulsory contributory health care financing schemes,European Union - 27 countries (2007-2013),78.16,78.16,79.4,79.24,79.24,79.29,:,:,:,:
