Time frequency,Transport infrastructure,Number of tracks,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Total,Kilometre,Albania,353 i,346.0,346.0,379.0,334.0,334.0,334.0,234.85,204.15,224.0,204.15,252.95
Annual,Total,Total,Kilometre,Austria,5566.0,5531.0,5531.0,5522.0,5491.0,5527.0,5526.0,5615.0,5607.0,5603.0,5575.0,5577.0
Annual,Total,Total,Kilometre,Bosnia and Herzegovina,1027.0,1027.0,1027.0,1027.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1025.0
Annual,Total,Total,Kilometre,Belgium,3592.0,3595.0,3631.0,3607.0,3602.0,3605.0,3607.0,3614.0,3615.0,3612.0,3619.0,3629.0
Annual,Total,Total,Kilometre,Bulgaria,4070.0,4032.0,4023.0,4019.0,4029.0,4030.0,4030.0,4030.0,4029.0,4031.0,4029.0,4029.0
Annual,Total,Total,Kilometre,Switzerland,5147 i,5181 i,5187 i,5205.0,5249 i,5251 i,5248 i,5288 i,5303.0,5318 i,5318 i,5318 i
Annual,Total,Total,Kilometre,Czechia,9570.0,9560.0,9559.0,9566.0,9564.0,9567.0,9572.0,9562.0,9542.0,9523.0,9521.0,9514.0
Annual,Total,Total,Kilometre,Germany,38648.0,38653.801,38658.765,38630.502,38696.542,38802.643,38994.798,39068.117,38799.773,38783.143,38836.096,38691.0
Annual,Total,Total,Kilometre,Denmark,2615 i,2615.0,2612.0,2552.0,2539.0,2481.0,2481.0,2536.0,2485.0,2485.0,2448.0,2448.0
Annual,Total,Total,Kilometre,Estonia,1196.0,1166.0,1166.0,1164.0,1161.0,1161.0,1161.0,1167.0,1167.0,1167.0,1175.0,1171.0
Annual,Total,Total,Kilometre,Greece,2554.0,2586.0,2238.0,2240.0,2240.0,2240.0,2293.0,2280.0,2345.0,2339.0,1990.0,1822.0
Annual,Total,Total,Kilometre,Spain,13976.0,15312 b,15182.0,15384.0,16167.0,15949.0,15449.0,16006.02,16135.36,16280.46,16468.426,16113.53
Annual,Total,Total,Kilometre,European Union - 27 countries (from 2020),203637.0,203567.501,201701.365,201345.702,202327.442,202168.87,201366.058,202589.587,202251.183,202247.556,201922.675,200926.783
Annual,Total,Total,Kilometre,Finland,5944.0,5944.0,5944.0,5923 b,5926.0,5926.0,5926.0,5923.0,5918.0,5918.0,5918.0,5915.0
Annual,Total,Total,Kilometre,France,30814 i,30551 i,29568 i,29041 i,28597 i,28360.367,27834.0,28142.0,27872.0,27716 i,27604.0,27597.0
Annual,Total,Total,Kilometre,Georgia,1455.4,1615.4,1613.4,1179.9,1179.9,1179.86,1181.4,1181.4,1114.4,1114.4,1114.4,1114.4
Annual,Total,Total,Kilometre,Croatia,2722.0,2722.0,2604.0,2604.0,2604.0,2604.0,2604.0,2617.0,2617.0,2617.0,2617.0,2617.0
Annual,Total,Total,Kilometre,Hungary,7486.2,7356.7,7209.0,7197.0,7811.0,7955.0,7732.0,7743.0,7787.0,7889.0,7907.0,7437.0
Annual,Total,Total,Kilometre,Ireland,1839.0,1839.0,1839.0,1839.0,1839.0,1839.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045 i
Annual,Total,Total,Kilometre,Italy,16742.0,16752.0,16722 i,16724 i,16788.0,16787.0,16781.0,16779.0,16782.0,16832.0,16829.0,16832.0
Annual,Total,Total,Kilometre,Liechtenstein,:,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Annual,Total,Total,Kilometre,Lithuania,1767.6,1767.6,1767.6,1877.2,1911.3,1911.3,1910.7,1910.7,1910.8,1910.8,1919.2,1924.3
Annual,Total,Total,Kilometre,Luxembourg,275.0,275.0,275.0,275.0,275.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
Annual,Total,Total,Kilometre,Latvia,1859.0,1859.0,1860.0,1860.0,1859.6,1859.6,1859.6,1859.6,1859.1,1859.1,1864.9,1830.9
Annual,Total,Total,Kilometre,Moldova,1156.9,1156.9,1155.8,1150.8,1150.8,1150.8,1149.6,1149.6,1149.6,1149.6,1150.8,1150.8
Annual,Total,Total,Kilometre,Montenegro,248.760 i,248.760 i,249 i,249 i,250.0,250.0,250.0,250.0,250.5,250.5,250.5,250.5
Annual,Total,Total,Kilometre,North Macedonia,699.0,699.0,699.0,699.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0
Annual,Total,Total,Kilometre,Netherlands,3013.0,3013.0,3032.0,3031.0,3058.0,3055.0,3040.0,3040.0,3041.0,3041.0,3041.0,3041.0
Annual,Total,Total,Kilometre,Norway,3891.0,3897.0,3906.0,3896.0,3895.0,3895.0,3887.0,3890.0,3885.0,3885.0,3907.0,3903.0
