Time frequency,Type of task or service,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Child and elderly care,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Child and elderly care,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Child and elderly care,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Child and elderly care,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.0
Annual,Child and elderly care,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.0
Annual,Child and elderly care,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.0
Annual,Child and elderly care,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Child and elderly care,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Child and elderly care,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.0
Annual,Cleaning and handiwork,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Cleaning and handiwork,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Cleaning and handiwork,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Cleaning and handiwork,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Cleaning and handiwork,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Cleaning and handiwork,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Cleaning and handiwork,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Cleaning and handiwork,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Cleaning and handiwork,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Creating contents such as videos or texts,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Creating contents such as videos or texts,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Creating contents such as videos or texts,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Creating contents such as videos or texts,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Creating contents such as videos or texts,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Creating contents such as videos or texts,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Creating contents such as videos or texts,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Creating contents such as videos or texts,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Creating contents such as videos or texts,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,IT,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,IT,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,IT,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,IT,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,IT,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,IT,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,IT,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,IT,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,IT,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Medical and health care,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Medical and health care,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Medical and health care,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Medical and health care,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Medical and health care,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Medical and health care,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Medical and health care,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Medical and health care,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Medical and health care,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Other,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Other,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Other,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Other,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Other,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Other,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Other,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Other,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Other,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
