Time frequency,Consequences - Yes/No,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,No consequences,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,88.2
Annual,No consequences,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,83.9
Annual,No consequences,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,82.2
Annual,No consequences,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,75.3
Annual,No consequences,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,76.8
Annual,No consequences,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,77.5
Annual,No consequences,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,80.6
Annual,No consequences,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,79.9
Annual,No consequences,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,79.6
Annual,Consequences,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,11.8
Annual,Consequences,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,16.1
Annual,Consequences,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,17.8
Annual,Consequences,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.7
Annual,Consequences,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,23.2
Annual,Consequences,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,22.5
Annual,Consequences,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,19.4
Annual,Consequences,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.1
Annual,Consequences,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.4
