Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2006.0
Annual,Euro,Private ownership,Austria,34853.0
Annual,Euro,Private ownership,Belgium,37259.0
Annual,Euro,Private ownership,Bulgaria,2405.0
Annual,Euro,Private ownership,Cyprus,21790.0
Annual,Euro,Private ownership,Czechia,9822.0
Annual,Euro,Private ownership,Germany,36865.0
Annual,Euro,Private ownership,Denmark,44020.0
Annual,Euro,Private ownership,Euro area - 16 countries (2009-2010),31008.0
Annual,Euro,Private ownership,Estonia,8301.0
Annual,Euro,Private ownership,Greece,25314.0
Annual,Euro,Private ownership,Spain,22946.0
Annual,Euro,Private ownership,European Union - 25 countries (2004-2006),30920.0
Annual,Euro,Private ownership,European Union - 27 countries (2007-2013),29654.0
Annual,Euro,Private ownership,Finland,36443.0
Annual,Euro,Private ownership,France,31342.0
Annual,Euro,Private ownership,Hungary,7928.0
Annual,Euro,Private ownership,Ireland,39578.0
Annual,Euro,Private ownership,Italy,27197.0
Annual,Euro,Private ownership,Lithuania,5699.0
Annual,Euro,Private ownership,Luxembourg,45358.0
Annual,Euro,Private ownership,Latvia,5777.0
Annual,Euro,Private ownership,Malta,17198.0
Annual,Euro,Private ownership,Netherlands,40253.0
Annual,Euro,Private ownership,Norway,47097.0
Annual,Euro,Private ownership,Poland,8377.0
Annual,Euro,Private ownership,Portugal,14714.0
Annual,Euro,Private ownership,Romania,3721.0
Annual,Euro,Private ownership,Sweden,35611.0
Annual,Euro,Private ownership,Slovenia,14384.0
Annual,Euro,Private ownership,Slovakia,6915.0
Annual,Euro,Private ownership,Türkiye,8160.0
Annual,Euro,Private ownership,United Kingdom,42262.0
Annual,Euro,Public ownership,Austria,40198.0
Annual,Euro,Public ownership,Belgium,43385.0
Annual,Euro,Public ownership,Bulgaria,2965.0
Annual,Euro,Public ownership,Cyprus,33773.0
Annual,Euro,Public ownership,Czechia,9245.0
Annual,Euro,Public ownership,Germany,40376.0
Annual,Euro,Public ownership,Denmark,42362.0
Annual,Euro,Public ownership,Euro area - 16 countries (2009-2010),35332.0
Annual,Euro,Public ownership,Estonia,7118.0
Annual,Euro,Public ownership,Greece,31952.0
Annual,Euro,Public ownership,Spain,28593.0
Annual,Euro,Public ownership,European Union - 25 countries (2004-2006),31262.0
Annual,Euro,Public ownership,European Union - 27 countries (2007-2013),29430.0
Annual,Euro,Public ownership,Finland,31838.0
Annual,Euro,Public ownership,France,35390.0
Annual,Euro,Public ownership,Hungary,8541.0
Annual,Euro,Public ownership,Ireland,50318.0
Annual,Euro,Public ownership,Italy,37494.0
Annual,Euro,Public ownership,Lithuania,5604.0
Annual,Euro,Public ownership,Luxembourg,59358.0
Annual,Euro,Public ownership,Latvia,6059.0
Annual,Euro,Public ownership,Malta,18116.0
Annual,Euro,Public ownership,Netherlands,34810.0
Annual,Euro,Public ownership,Norway,49412.0
Annual,Euro,Public ownership,Poland,8944.0
Annual,Euro,Public ownership,Portugal,25400.0
Annual,Euro,Public ownership,Romania,5430.0
Annual,Euro,Public ownership,Sweden,33369.0
Annual,Euro,Public ownership,Slovenia,18732.0
Annual,Euro,Public ownership,Slovakia,6054.0
Annual,Euro,Public ownership,Türkiye,13629.0
Annual,Euro,Public ownership,United Kingdom,40185.0
