Time frequency,Unit of measure,Severity (days lost),Age class,Sex,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Workstation,Geopolitical entity (reporting)\Time,2005.0
Annual,Rate,4 days or over,Total,Females,Total - all NACE activities,Total,European Union (aggregate changing according to the context),1005.2
Annual,Rate,4 days or over,Total,Females,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),922.4
Annual,Rate,4 days or over,Total,Females,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),57.4
Annual,Rate,4 days or over,Total,Females,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),25.5
Annual,Rate,4 days or over,Total,Males,Total - all NACE activities,Total,European Union (aggregate changing according to the context),2809.9
Annual,Rate,4 days or over,Total,Males,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2473.7
Annual,Rate,4 days or over,Total,Males,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),181.2
Annual,Rate,4 days or over,Total,Males,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),154.9
Annual,Rate,4 days or over,Total,Total,"Agriculture, hunting and forestry",Total,European Union (aggregate changing according to the context),1150.4
Annual,Rate,4 days or over,Total,Total,"Agriculture, hunting and forestry",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1062.3
Annual,Rate,4 days or over,Total,Total,"Agriculture, hunting and forestry",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),23.2
Annual,Rate,4 days or over,Total,Total,"Agriculture, hunting and forestry",Other workstation,European Union (aggregate changing according to the context),64.9
Annual,Rate,4 days or over,Total,Total,Fishing,Total,European Union (aggregate changing according to the context),4178.0
Annual,Rate,4 days or over,Total,Total,Fishing,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),4051.6
Annual,Rate,4 days or over,Total,Total,Fishing,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),49.5
Annual,Rate,4 days or over,Total,Total,Fishing,Other workstation,European Union (aggregate changing according to the context),76.9
Annual,Rate,4 days or over,Total,Total,Mining and quarrying,Total,European Union (aggregate changing according to the context),2806.6
Annual,Rate,4 days or over,Total,Total,Mining and quarrying,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2697.0
Annual,Rate,4 days or over,Total,Total,Mining and quarrying,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),59.0
Annual,Rate,4 days or over,Total,Total,Mining and quarrying,Other workstation,European Union (aggregate changing according to the context),50.7
Annual,Rate,4 days or over,Total,Total,Manufacturing,Total,European Union (aggregate changing according to the context),2748.1
Annual,Rate,4 days or over,Total,Total,Manufacturing,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2597.6
Annual,Rate,4 days or over,Total,Total,Manufacturing,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),75.9
Annual,Rate,4 days or over,Total,Total,Manufacturing,Other workstation,European Union (aggregate changing according to the context),74.6
Annual,Rate,4 days or over,Total,Total,"Electricity, gas and water supply",Total,European Union (aggregate changing according to the context),1048.6
Annual,Rate,4 days or over,Total,Total,"Electricity, gas and water supply",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),785.2
Annual,Rate,4 days or over,Total,Total,"Electricity, gas and water supply",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),168.3
Annual,Rate,4 days or over,Total,Total,"Electricity, gas and water supply",Other workstation,European Union (aggregate changing according to the context),95.1
Annual,Rate,4 days or over,Total,Total,Construction,Total,European Union (aggregate changing according to the context),5260.0
Annual,Rate,4 days or over,Total,Total,Construction,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),4474.5
Annual,Rate,4 days or over,Total,Total,Construction,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),259.0
Annual,Rate,4 days or over,Total,Total,Construction,Other workstation,European Union (aggregate changing according to the context),526.5
Annual,Rate,4 days or over,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Total,European Union (aggregate changing according to the context),1761.1
Annual,Rate,4 days or over,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1595.9
Annual,Rate,4 days or over,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),117.7
Annual,Rate,4 days or over,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Other workstation,European Union (aggregate changing according to the context),47.5
Annual,Rate,4 days or over,Total,Total,Hotels and restaurants,Total,European Union (aggregate changing according to the context),2273.1
Annual,Rate,4 days or over,Total,Total,Hotels and restaurants,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2145.3
Annual,Rate,4 days or over,Total,Total,Hotels and restaurants,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),99.9
Annual,Rate,4 days or over,Total,Total,Hotels and restaurants,Other workstation,European Union (aggregate changing according to the context),27.9
Annual,Rate,4 days or over,Total,Total,"Transport, storage and communication",Total,European Union (aggregate changing according to the context),2240.5
Annual,Rate,4 days or over,Total,Total,"Transport, storage and communication",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1736.5
Annual,Rate,4 days or over,Total,Total,"Transport, storage and communication",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),393.1
Annual,Rate,4 days or over,Total,Total,"Transport, storage and communication",Other workstation,European Union (aggregate changing according to the context),110.9
Annual,Rate,4 days or over,Total,Total,Financial intermediation,Total,European Union (aggregate changing according to the context),266.0
Annual,Rate,4 days or over,Total,Total,Financial intermediation,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),194.3
Annual,Rate,4 days or over,Total,Total,Financial intermediation,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),57.5
Annual,Rate,4 days or over,Total,Total,Financial intermediation,Other workstation,European Union (aggregate changing according to the context),14.3
Annual,Rate,4 days or over,Total,Total,"Real estate, renting and business activities",Total,European Union (aggregate changing according to the context),1241.4
Annual,Rate,4 days or over,Total,Total,"Real estate, renting and business activities",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1002.0
Annual,Rate,4 days or over,Total,Total,"Real estate, renting and business activities",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),172.5
Annual,Rate,4 days or over,Total,Total,"Real estate, renting and business activities",Other workstation,European Union (aggregate changing according to the context),66.9
Annual,Rate,4 days or over,Total,Total,Public administration and defence; compulsory social security,Total,European Union (aggregate changing according to the context),1256.3
Annual,Rate,4 days or over,Total,Total,Public administration and defence; compulsory social security,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1022.7
Annual,Rate,4 days or over,Total,Total,Public administration and defence; compulsory social security,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),158.9
Annual,Rate,4 days or over,Total,Total,Public administration and defence; compulsory social security,Other workstation,European Union (aggregate changing according to the context),74.7
Annual,Rate,4 days or over,Total,Total,Education,Total,European Union (aggregate changing according to the context),389.1
Annual,Rate,4 days or over,Total,Total,Education,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),348.9
Annual,Rate,4 days or over,Total,Total,Education,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),25.9
Annual,Rate,4 days or over,Total,Total,Education,Other workstation,European Union (aggregate changing according to the context),14.3
Annual,Rate,4 days or over,Total,Total,Health and social work,Total,European Union (aggregate changing according to the context),1131.3
Annual,Rate,4 days or over,Total,Total,Health and social work,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1027.2
Annual,Rate,4 days or over,Total,Total,Health and social work,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),82.6
Annual,Rate,4 days or over,Total,Total,Health and social work,Other workstation,European Union (aggregate changing according to the context),21.5
Annual,Rate,4 days or over,Total,Total,"Other community, social and personal service activities",Total,European Union (aggregate changing according to the context),1644.1
Annual,Rate,4 days or over,Total,Total,"Other community, social and personal service activities",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1433.9
Annual,Rate,4 days or over,Total,Total,"Other community, social and personal service activities",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),142.3
Annual,Rate,4 days or over,Total,Total,"Other community, social and personal service activities",Other workstation,European Union (aggregate changing according to the context),67.8
Annual,Rate,4 days or over,Total,Total,Activities of households,Total,European Union (aggregate changing according to the context),767.1
Annual,Rate,4 days or over,Total,Total,Activities of households,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),699.3
Annual,Rate,4 days or over,Total,Total,Activities of households,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),35.7
Annual,Rate,4 days or over,Total,Total,Activities of households,Other workstation,European Union (aggregate changing according to the context),32.1
Annual,Rate,4 days or over,Total,Total,Extra-territorial organizations and bodies,Total,European Union (aggregate changing according to the context),2318.8
Annual,Rate,4 days or over,Total,Total,Extra-territorial organizations and bodies,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1906.3
Annual,Rate,4 days or over,Total,Total,Extra-territorial organizations and bodies,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),300.0
Annual,Rate,4 days or over,Total,Total,Extra-territorial organizations and bodies,Other workstation,European Union (aggregate changing according to the context),112.5
Annual,Rate,4 days or over,Total,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),2002.2
Annual,Rate,4 days or over,Total,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1779.4
Annual,Rate,4 days or over,Total,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),125.8
Annual,Rate,4 days or over,Total,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),97.0
Annual,Rate,4 days or over,From 15 to 17 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),3360.5
Annual,Rate,4 days or over,From 15 to 17 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2969.0
Annual,Rate,4 days or over,From 15 to 17 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),237.0
Annual,Rate,4 days or over,From 15 to 17 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),154.8
Annual,Rate,4 days or over,From 18 to 24 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),3178.9
Annual,Rate,4 days or over,From 18 to 24 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2854.4
Annual,Rate,4 days or over,From 18 to 24 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),166.1
Annual,Rate,4 days or over,From 18 to 24 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),158.5
Annual,Rate,4 days or over,From 25 to 34 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),2108.6
Annual,Rate,4 days or over,From 25 to 34 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1863.3
Annual,Rate,4 days or over,From 25 to 34 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),137.2
Annual,Rate,4 days or over,From 25 to 34 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),108.1
Annual,Rate,4 days or over,From 35 to 44 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),1891.2
Annual,Rate,4 days or over,From 35 to 44 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1674.6
Annual,Rate,4 days or over,From 35 to 44 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),123.2
Annual,Rate,4 days or over,From 35 to 44 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),93.4
Annual,Rate,4 days or over,From 45 to 54 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),1614.1
Annual,Rate,4 days or over,From 45 to 54 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1436.6
Annual,Rate,4 days or over,From 45 to 54 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),108.9
Annual,Rate,4 days or over,From 45 to 54 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),68.6
Annual,Rate,4 days or over,From 55 to 64 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),1864.2
Annual,Rate,4 days or over,From 55 to 64 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1675.8
Annual,Rate,4 days or over,From 55 to 64 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),107.0
Annual,Rate,4 days or over,From 55 to 64 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),81.3
Annual,Rate,4 days or over,65 years or over,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),622.2
Annual,Rate,4 days or over,65 years or over,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),540.2
Annual,Rate,4 days or over,65 years or over,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),24.3
Annual,Rate,4 days or over,65 years or over,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),57.8
Annual,Rate,Fatal,Total,Females,Total - all NACE activities,Total,European Union (aggregate changing according to the context),0.4
Annual,Rate,Fatal,Total,Females,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.2
Annual,Rate,Fatal,Total,Females,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.2
Annual,Rate,Fatal,Total,Females,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.1
Annual,Rate,Fatal,Total,Males,Total - all NACE activities,Total,European Union (aggregate changing according to the context),6.4
Annual,Rate,Fatal,Total,Males,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),3.2
Annual,Rate,Fatal,Total,Males,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),2.6
Annual,Rate,Fatal,Total,Males,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.7
Annual,Rate,Fatal,Total,Total,"Agriculture, hunting and forestry",Total,European Union (aggregate changing according to the context),4.4
Annual,Rate,Fatal,Total,Total,"Agriculture, hunting and forestry",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),3.0
Annual,Rate,Fatal,Total,Total,"Agriculture, hunting and forestry",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.9
Annual,Rate,Fatal,Total,Total,"Agriculture, hunting and forestry",Other workstation,European Union (aggregate changing according to the context),0.4
Annual,Rate,Fatal,Total,Total,Fishing,Total,European Union (aggregate changing according to the context),14.3
Annual,Rate,Fatal,Total,Total,Fishing,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),9.9
Annual,Rate,Fatal,Total,Total,Mining and quarrying,Total,European Union (aggregate changing according to the context),15.9
Annual,Rate,Fatal,Total,Total,Mining and quarrying,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),11.7
Annual,Rate,Fatal,Total,Total,Mining and quarrying,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),3.0
Annual,Rate,Fatal,Total,Total,Mining and quarrying,Other workstation,European Union (aggregate changing according to the context),1.1
Annual,Rate,Fatal,Total,Total,Manufacturing,Total,European Union (aggregate changing according to the context),4.2
Annual,Rate,Fatal,Total,Total,Manufacturing,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2.4
Annual,Rate,Fatal,Total,Total,Manufacturing,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.5
Annual,Rate,Fatal,Total,Total,Manufacturing,Other workstation,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,Total,Total,"Electricity, gas and water supply",Total,European Union (aggregate changing according to the context),5.5
Annual,Rate,Fatal,Total,Total,"Electricity, gas and water supply",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),3.1
Annual,Rate,Fatal,Total,Total,"Electricity, gas and water supply",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),2.2
Annual,Rate,Fatal,Total,Total,Construction,Total,European Union (aggregate changing according to the context),14.1
Annual,Rate,Fatal,Total,Total,Construction,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),6.8
Annual,Rate,Fatal,Total,Total,Construction,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),5.3
Annual,Rate,Fatal,Total,Total,Construction,Other workstation,European Union (aggregate changing according to the context),2.0
Annual,Rate,Fatal,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Total,European Union (aggregate changing according to the context),2.5
Annual,Rate,Fatal,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.9
Annual,Rate,Fatal,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.4
Annual,Rate,Fatal,Total,Total,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Other workstation,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,Total,Total,Hotels and restaurants,Total,European Union (aggregate changing according to the context),0.6
Annual,Rate,Fatal,Total,Total,Hotels and restaurants,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,Total,Total,Hotels and restaurants,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.2
Annual,Rate,Fatal,Total,Total,"Transport, storage and communication",Total,European Union (aggregate changing according to the context),10.5
Annual,Rate,Fatal,Total,Total,"Transport, storage and communication",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),3.2
Annual,Rate,Fatal,Total,Total,"Transport, storage and communication",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),6.5
Annual,Rate,Fatal,Total,Total,"Transport, storage and communication",Other workstation,European Union (aggregate changing according to the context),0.8
Annual,Rate,Fatal,Total,Total,Financial intermediation,Total,European Union (aggregate changing according to the context),1.2
Annual,Rate,Fatal,Total,Total,Financial intermediation,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.5
Annual,Rate,Fatal,Total,Total,Financial intermediation,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.5
Annual,Rate,Fatal,Total,Total,"Real estate, renting and business activities",Total,European Union (aggregate changing according to the context),2.2
Annual,Rate,Fatal,Total,Total,"Real estate, renting and business activities",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.8
Annual,Rate,Fatal,Total,Total,"Real estate, renting and business activities",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.1
Annual,Rate,Fatal,Total,Total,"Real estate, renting and business activities",Other workstation,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,Total,Total,Public administration and defence; compulsory social security,Total,European Union (aggregate changing according to the context),1.2
Annual,Rate,Fatal,Total,Total,Public administration and defence; compulsory social security,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.4
Annual,Rate,Fatal,Total,Total,Public administration and defence; compulsory social security,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.6
Annual,Rate,Fatal,Total,Total,Public administration and defence; compulsory social security,Other workstation,European Union (aggregate changing according to the context),0.2
Annual,Rate,Fatal,Total,Total,Education,Total,European Union (aggregate changing according to the context),0.7
Annual,Rate,Fatal,Total,Total,Education,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,Total,Total,Education,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,Total,Total,Health and social work,Total,European Union (aggregate changing according to the context),0.5
Annual,Rate,Fatal,Total,Total,Health and social work,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),0.2
Annual,Rate,Fatal,Total,Total,Health and social work,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,Total,Total,"Other community, social and personal service activities",Total,European Union (aggregate changing according to the context),2.7
Annual,Rate,Fatal,Total,Total,"Other community, social and personal service activities",Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1.4
