Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Mining and quarrying,Total,Percentage of total,European Union - 27 countries (from 2020),0.3,0.3,0.3,0.3,0.3
Annual,Mining and quarrying,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,0.4,0.3,0.3,0.3,0.3
Annual,Mining and quarrying,Total,Percentage of total,All countries of the world,0.4,0.4,0.4,0.4,0.4
Annual,Manufacturing,Total,Percentage of total,European Union - 27 countries (from 2020),19.5,20.7,20.5,19.2,20.0
Annual,Manufacturing,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,19.1,20.1,20.1,18.9,19.7
Annual,Manufacturing,Total,Percentage of total,All countries of the world,18.1,18.7,18.5,18.3,18.2
Annual,"Electricity, gas, steam and air conditioning supply",Total,Percentage of total,European Union - 27 countries (from 2020),1.2,1.2,1.2,1.3,1.2
Annual,"Electricity, gas, steam and air conditioning supply",Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,1.2,1.2,1.2,1.2,1.1
Annual,"Electricity, gas, steam and air conditioning supply",Total,Percentage of total,All countries of the world,1.0,1.0,1.0,1.1,1.0
Annual,"Water supply; sewerage, waste management and remediation activities",Total,Percentage of total,European Union - 27 countries (from 2020),0.5,0.5,0.5,0.5,0.4
Annual,"Water supply; sewerage, waste management and remediation activities",Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,0.5,0.4,0.5,0.5,0.4
Annual,"Water supply; sewerage, waste management and remediation activities",Total,Percentage of total,All countries of the world,0.4,0.4,0.4,0.4,0.4
Annual,Construction,Total,Percentage of total,European Union - 27 countries (from 2020),6.1,5.9,5.8,6.4,5.8
Annual,Construction,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,5.8,5.6,5.6,6.1,5.6
Annual,Construction,Total,Percentage of total,All countries of the world,5.5,5.2,5.2,5.5,5.1
Annual,Wholesale and retail trade; repair of motor vehicles and motorcycles,Total,Percentage of total,European Union - 27 countries (from 2020),21.3,20.1,19.9,20.9,19.3
Annual,Wholesale and retail trade; repair of motor vehicles and motorcycles,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,21.1,20.0,19.8,20.6,19.2
Annual,Wholesale and retail trade; repair of motor vehicles and motorcycles,Total,Percentage of total,All countries of the world,21.2,20.2,20.1,20.2,19.1
Annual,Transportation and storage,Total,Percentage of total,European Union - 27 countries (from 2020),4.3,4.1,4.1,3.9,4.0
Annual,Transportation and storage,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,4.1,4.0,3.9,3.8,3.9
Annual,Transportation and storage,Total,Percentage of total,All countries of the world,3.9,3.8,3.8,3.5,3.5
Annual,Accommodation and food service activities,Total,Percentage of total,European Union - 27 countries (from 2020),2.2,2.3,2.3,2.3,2.3
Annual,Accommodation and food service activities,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2.2,2.3,2.3,2.3,2.3
Annual,Accommodation and food service activities,Total,Percentage of total,All countries of the world,2.2,2.3,2.3,2.2,2.2
Annual,Information and communication,Total,Percentage of total,European Union - 27 countries (from 2020),8.1,8.2,8.1,8.4,8.8
Annual,Information and communication,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,8.3,8.5,8.2,8.7,9.0
Annual,Information and communication,Total,Percentage of total,All countries of the world,9.0,9.3,9.2,9.7,10.0
Annual,Financial and insurance activities,Total,Percentage of total,European Union - 27 countries (from 2020),7.6,8.4,9.0,8.4,8.9
Annual,Financial and insurance activities,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,8.1,9.1,9.5,8.9,9.0
Annual,Financial and insurance activities,Total,Percentage of total,All countries of the world,8.4,9.8,10.2,10.3,10.5
Annual,Real estate activities,Total,Percentage of total,European Union - 27 countries (from 2020),6.8,6.6,6.8,6.4,6.8
Annual,Real estate activities,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,7.0,6.7,7.0,6.6,7.0
Annual,Real estate activities,Total,Percentage of total,All countries of the world,6.5,6.2,6.5,6.2,6.5
Annual,"Professional, scientific and technical activities",Total,Percentage of total,European Union - 27 countries (from 2020),12.1,12.4,12.4,12.5,12.7
Annual,"Professional, scientific and technical activities",Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,12.5,12.7,12.6,12.7,13.0
Annual,"Professional, scientific and technical activities",Total,Percentage of total,All countries of the world,13.0,13.2,13.0,12.7,13.3
Annual,Administrative and support service activities,Total,Percentage of total,European Union - 27 countries (from 2020),5.2,5.2,5.0,5.2,5.0
Annual,Administrative and support service activities,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,5.1,5.1,4.9,5.1,5.0
Annual,Administrative and support service activities,Total,Percentage of total,All countries of the world,5.5,5.5,5.2,5.3,5.6
Annual,Other NACE activities,Total,Percentage of total,European Union - 27 countries (from 2020),2.5,2.0,2.0,2.1,2.1
Annual,Other NACE activities,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,2.4,1.9,2.0,2.0,2.1
Annual,Other NACE activities,Total,Percentage of total,All countries of the world,2.3,1.8,1.9,1.9,2.0
Annual,Education,Total,Percentage of total,European Union - 27 countries (from 2020),0.5,0.5,0.5,0.6,0.6
Annual,Education,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,0.5,0.5,0.5,0.6,0.6
Annual,Education,Total,Percentage of total,All countries of the world,0.6,0.6,0.5,0.6,0.6
Annual,Human health and social work activities,Total,Percentage of total,European Union - 27 countries (from 2020),0.8,0.8,0.8,0.8,0.9
Annual,Human health and social work activities,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,0.8,0.8,0.8,0.9,0.9
Annual,Human health and social work activities,Total,Percentage of total,All countries of the world,0.8,0.8,0.8,0.8,0.9
Annual,"Arts, entertainment and recreation",Total,Percentage of total,European Union - 27 countries (from 2020),0.9,0.8,0.8,0.9,0.9
Annual,"Arts, entertainment and recreation",Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,0.9,0.9,0.8,0.9,0.9
Annual,"Arts, entertainment and recreation",Total,Percentage of total,All countries of the world,0.9,0.9,0.8,0.8,0.9
Annual,Total - all NACE activities,From 0 to 49 persons employed,Percentage of total size class,European Union - 27 countries (from 2020),65.3,65.9,65.6,67.6,65.1
Annual,Total - all NACE activities,From 0 to 49 persons employed,Percentage of total size class,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,67.0,67.7,67.2,69.1,66.4
Annual,Total - all NACE activities,From 0 to 49 persons employed,Percentage of total size class,All countries of the world,68.4,69.1,68.8,69.1,68.4
Annual,Total - all NACE activities,From 250 to 999 persons employed,Percentage of total size class,European Union - 27 countries (from 2020),9.6,9.5,9.6,8.8,9.5
Annual,Total - all NACE activities,From 250 to 999 persons employed,Percentage of total size class,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,9.0,8.9,9.1,8.3,9.1
Annual,Total - all NACE activities,From 250 to 999 persons employed,Percentage of total size class,All countries of the world,8.6,8.5,8.4,8.2,8.4
Annual,Total - all NACE activities,From 50 to 249 persons employed,Percentage of total size class,European Union - 27 countries (from 2020),19.6,19.3,19.6,18.6,20.1
Annual,Total - all NACE activities,From 50 to 249 persons employed,Percentage of total size class,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,18.8,18.4,18.7,17.8,19.3
Annual,Total - all NACE activities,From 50 to 249 persons employed,Percentage of total size class,All countries of the world,17.4,17.2,17.0,16.8,17.5
Annual,Total - all NACE activities,1 000 persons employed or more,Percentage of total size class,European Union - 27 countries (from 2020),5.5,5.2,5.2,5.0,5.3
Annual,Total - all NACE activities,1 000 persons employed or more,Percentage of total size class,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,5.2,5.0,5.0,4.8,5.1
Annual,Total - all NACE activities,1 000 persons employed or more,Percentage of total size class,All countries of the world,5.6,5.3,5.9,5.8,5.6
Annual,Total - all NACE activities,Total,Percentage of total size class,European Union - 27 countries (from 2020),100.0,100.0,100.0,100.0,100.0
Annual,Total - all NACE activities,Total,Percentage of total size class,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,100.0,100.0,100.0,100.0,100.0
Annual,Total - all NACE activities,Total,Percentage of total size class,All countries of the world,100.0,100.0,100.0,100.0,100.0
Annual,Total - all NACE activities,Total,Percentage of total,European Union - 27 countries (from 2020),100.0,100.0,100.0,100.0,100.0
Annual,Total - all NACE activities,Total,Percentage of total,European Union - 27 countries (from 2020) and European Free Trade Association (EFTA) countries,100.0,100.0,100.0,100.0,100.0
Annual,Total - all NACE activities,Total,Percentage of total,All countries of the world,100.0,100.0,100.0,100.0,100.0
