Time frequency,Unit of measure,Sex,International Standard Classification of Education (ISCED 1997),Geopolitical entity (reporting)\Time,1999.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Germany,63.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Denmark,79.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Greece,37.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Spain,61.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",European Union (aggregate changing according to the context),79.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Finland,80.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Hungary,87.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Luxembourg,108.0
Annual,Rate,Females,"Pre-primary, primary and lower secondary education (levels 0-2)",Sweden,90.0
Annual,Rate,Females,Upper secondary education (level 3),Germany,70.0
Annual,Rate,Females,Upper secondary education (level 3),Denmark,74.0
Annual,Rate,Females,Upper secondary education (level 3),Greece,17.0
Annual,Rate,Females,Upper secondary education (level 3),Spain,66.0
Annual,Rate,Females,Upper secondary education (level 3),European Union (aggregate changing according to the context),70.0
Annual,Rate,Females,Upper secondary education (level 3),Finland,90.0
Annual,Rate,Females,Upper secondary education (level 3),Hungary,43.0
Annual,Rate,Females,Upper secondary education (level 3),Luxembourg,26.0
Annual,Rate,Females,Upper secondary education (level 3),Sweden,98.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Germany,55.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Denmark,85.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Greece,52.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Spain,39.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),European Union (aggregate changing according to the context),85.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Finland,59.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Hungary,26.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Luxembourg,43.0
Annual,Rate,Females,First and second stage of tertiary education (levels 5 and 6),Sweden,113.0
Annual,Rate,Females,All ISCED 1997 levels,Germany,64.0
Annual,Rate,Females,All ISCED 1997 levels,Denmark,78.0
Annual,Rate,Females,All ISCED 1997 levels,Greece,32.0
Annual,Rate,Females,All ISCED 1997 levels,Spain,55.0
Annual,Rate,Females,All ISCED 1997 levels,European Union (aggregate changing according to the context),75.0
Annual,Rate,Females,All ISCED 1997 levels,Finland,76.0
Annual,Rate,Females,All ISCED 1997 levels,Hungary,48.0
Annual,Rate,Females,All ISCED 1997 levels,Luxembourg,54.0
Annual,Rate,Females,All ISCED 1997 levels,Sweden,102.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Germany,150.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Denmark,186.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Greece,201.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Spain,156.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",European Union (aggregate changing according to the context),179.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Finland,129.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Hungary,148.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Luxembourg,219.0
Annual,Rate,Males,"Pre-primary, primary and lower secondary education (levels 0-2)",Sweden,89.0
Annual,Rate,Males,Upper secondary education (level 3),Germany,158.0
Annual,Rate,Males,Upper secondary education (level 3),Denmark,121.0
Annual,Rate,Males,Upper secondary education (level 3),Greece,123.0
Annual,Rate,Males,Upper secondary education (level 3),Spain,102.0
Annual,Rate,Males,Upper secondary education (level 3),European Union (aggregate changing according to the context),113.0
Annual,Rate,Males,Upper secondary education (level 3),Finland,146.0
Annual,Rate,Males,Upper secondary education (level 3),Hungary,152.0
Annual,Rate,Males,Upper secondary education (level 3),Luxembourg,100.0
Annual,Rate,Males,Upper secondary education (level 3),Sweden,119.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),Germany,50.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),Denmark,46.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),Spain,63.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),European Union (aggregate changing according to the context),53.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),Finland,53.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),Hungary,23.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),Luxembourg,43.0
Annual,Rate,Males,First and second stage of tertiary education (levels 5 and 6),Sweden,71.0
Annual,Rate,Males,All ISCED 1997 levels,Germany,122.0
Annual,Rate,Males,All ISCED 1997 levels,Denmark,113.0
Annual,Rate,Males,All ISCED 1997 levels,Greece,141.0
Annual,Rate,Males,All ISCED 1997 levels,Spain,127.0
Annual,Rate,Males,All ISCED 1997 levels,European Union (aggregate changing according to the context),115.0
Annual,Rate,Males,All ISCED 1997 levels,Finland,114.0
Annual,Rate,Males,All ISCED 1997 levels,Hungary,132.0
Annual,Rate,Males,All ISCED 1997 levels,Luxembourg,128.0
Annual,Rate,Males,All ISCED 1997 levels,Sweden,99.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Germany,120.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Denmark,149.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Greece,144.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Spain,123.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",European Union (aggregate changing according to the context),144.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Finland,112.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Hungary,126.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Luxembourg,180.0
Annual,Rate,Total,"Pre-primary, primary and lower secondary education (levels 0-2)",Sweden,89.0
Annual,Rate,Total,Upper secondary education (level 3),Germany,123.0
Annual,Rate,Total,Upper secondary education (level 3),Denmark,102.0
Annual,Rate,Total,Upper secondary education (level 3),Greece,81.0
Annual,Rate,Total,Upper secondary education (level 3),Spain,88.0
Annual,Rate,Total,Upper secondary education (level 3),European Union (aggregate changing according to the context),96.0
Annual,Rate,Total,Upper secondary education (level 3),Finland,124.0
Annual,Rate,Total,Upper secondary education (level 3),Hungary,109.0
Annual,Rate,Total,Upper secondary education (level 3),Luxembourg,71.0
Annual,Rate,Total,Upper secondary education (level 3),Sweden,111.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Germany,52.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Denmark,60.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Greece,19.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Spain,54.0
