Time frequency,Unit of measure,Seasonal adjustment,Balance of payments item,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Extra-euro area - 20 countries (from 2023),Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-35.8,-37.6,-35.9,-33.7,-30.9,-29.4,-28.5,-30.7,-32.5,-25.1,-24.3
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-39.2 e,-41.3 e,-40.9 e,-36.9 e,-27.5 e,-26.2 e,-24.3 e,-25.9 e,-26.6 e,-20.2 e,-19.5 e
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Austria,:,:,:,:,-22.1,-26.2,-28.1,-25.7,-18.9,-14.7,-13.1,-7.9,-3.8,-11.1,-4.8,-10.3,-14.3,-16.1,-12.1,-11.1,-11.0,-10.8,-4.2,-6.5,-1.8,-5.1,-3.6,-5.2,-5.6
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,48.2,59.6,61.6,63.4,58.4,58.2,51.5,51.9,52.4,44.9,34.5,37.2,37.3,40.0,29.5,31.3
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,2.0,-10.5,-8.0,-8.6,-1.9,4.2,7.3,10.8,21.4,30.1,32.3,35.9,39.8,47.1,46.6,44.0,46.0
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,-71.1,-82.3,-94.7,-140.2,-147.3,-203.3,-242.2,-281.5,-225.3,-270.1,-354.7,-333.9,-249.6,-226.4,-163.5,-133.8
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Czechia,:,:,:,:,:,:,:,:,:,19.3,22.0,17.4,12.6,10.0,8.5,7.4,7.7,9.2,14.7,18.9,20.2,27.3,26.0,27.5,29.6,36.4,34.8,25.7,28.6
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Germany,:,:,:,:,-4.8,-8.1,-5.4,-8.0,-3.1,-1.0,2.9,15.1,20.8,15.1,20.6,20.5,15.2,22.1,29.3,31.5,34.2,37.5,44.8,46.0,51.2,55.5,54.8,51.6,53.1
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Denmark,:,:,:,:,:,:,:,:,:,:,-17.0,-27.8,-31.8,-27.9,-28.5,-21.3,-12.0,-2.7,-3.5,11.4,5.1,9.6,12.8,10.7,22.4,28.2,27.6,31.4,37.1
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Estonia,:,:,:,:,:,:,:,:,-3.7,-8.7,-10.5,-20.4,-27.5,-34.9,-30.7,-17.2,-1.7,3.2,7.2,12.6,16.0,17.2,19.1,23.9,30.1,41.1,40.9,27.6,30.5
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,-74.0,-84.9,-101.0,-99.1,-125.8,-131.6,-130.5,-129.2,-128.4,-128.6,-134.3,-132.2,-153.1,-148.5,-119.0,-110.7
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Spain,:,:,:,:,-11.5,-17.3,-17.6,-19.0,-20.2,-25.0,-32.8,-44.9,-55.2,-63.6,-72.2,-72.6,-77.1,-73.9,-70.0,-70.2,-64.4,-60.9,-57.2,-51.8,-45.7,-51.6,-39.1,-29.8,-23.8
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Finland,:,:,:,:,-31.9,-32.7,-29.4,-25.2,-40.9,7.5,10.2,15.0,19.1,7.9,4.1,8.0,2.9,-2.2,-4.6,0.1,15.3,10.3,4.8,-0.8,6.9,5.8,19.0,7.0,6.1
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,France,:,:,:,:,15.4,8.1,8.0,4.7,-5.3,-5.2,-5.9,-5.1,-10.6,-20.3,-24.3,-24.5,-23.1,-27.0,-25.8,-29.0,-29.2,-29.6,-31.0,-32.8,-33.2,-38.8,-35.2,-27.9,-29.4
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Croatia,:,:,:,:,-12.2,-18.1,-8.5,-16.3,-24.6,-28.5,-32.4,-33.1,-33.6,-41.6,-48.4,-49.5,-50.2,-49.4,-47.9,-44.6,-37.3,-26.7,-17.8,-11.6,1.3,3.2,11.8,14.3,20.5
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Hungary,-33.1,-24.7,-17.7,-16.7,-15.4,-18.7,-13.0,-14.7,-20.4,-26.1,-29.2,-31.0,-37.3,-51.8,-51.1,-48.6,-46.7,-41.3,-34.5,-28.9,-17.8,-11.3,-8.0,-3.3,-2.5,-1.7,-0.8,-4.5,-6.7
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Ireland,:,:,:,:,:,:,:,66.0,57.8,25.2,-8.4,-5.0,-6.7,-174.4,-218.0,-237.7,-235.7,-254.2,-316.8,-337.8,-231.8,-249.0,-256.9,-250.4,-275.6,-285.6,-307.9,-228.4,-279.2
Annual,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net international investment position excluding non-defaultable instruments,Net positions at the end of period,Rest of the world,Italy,:,:,:,-7.4,-7.4,-10.3,-9.0,-10.9,-9.3,-8.3,-8.0,-9.0,-12.2,-21.7,-20.8,-22.2,-22.2,-24.5,-23.8,-21.0,-17.4,-11.8,-7.5,-7.7,-2.5,-1.1,3.8,0.3,5.1
