Time frequency,Sex,International Standard Classification of Education (ISCED 2011),Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Austria,87.0,87.3,89.6 b,89.4,91.1,90.2,90.3,90.3,89.7,89.3 b,88.0,87.3
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,94.7,93.2,92.5
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Belgium,85.8,86.3,87.8 b,86.6,87.8,88.5 b,87.9,88.8,89.1,91.2 b,90.2,91.6
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Bulgaria,85.5,86.3,85.8 b,85.6,85.2,85.8,86.3,85.5 b,86.2,85.5 b,87.0,88.2
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Switzerland,85.2,85.7,87.0 b,87.6,89.5,90.2,90.1,91.4,91.5,90.2 b,90.3,89.5
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Cyprus,91.3,95.1,97.4 b,97.1,95.4,91.5,92.8,92.9,91.0,91.7 b,91.1,88.8
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Czechia,91.7,91.4,91.4 b,90.6,89.6,89.6,90.5,88.6,87.0,90.0 b,91.5,89.6
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Germany,77.7,78.7,79.0 b,79.2,79.7,80.0,80.3,80.2,83.0 b,79.1 b,72.3,74.8
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Denmark,77.9,78.0,78.0 b,79.0,80.4 b,81.7 b,80.4,80.9,81.1,80.2 b,81.4,80.2
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Euro area – 20 countries (from 2023),81.4,82.2,83.3 b,83.7,84.6,85.1,85.2,85.6,86.9,86.8 b,85.2,86.1
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Estonia,86.2,88.8,88.9 b,82.9,88.2,88.9,86.6,87.3,88.0,88.5 b,87.5,86.3
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Greece,88.8,89.9,91.7 b,91.9,92.4,93.8,95.5,95.7,95.6,96.2 b,93.6,95.5
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Spain,69.5,69.4,71.4 b,74.6,76.6,77.2,77.9,79.7,81.9,83.5 b,82.1,82.4
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,European Union - 27 countries (from 2020),83.0,83.7,84.6 b,84.8,85.2,85.5,85.8,86.2,87.0,87.1 b,85.8,86.7
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Finland,87.1,87.1,88.9 b,88.9,89.3,88.5,88.2,88.6,90.2,88.7 b,88.2,87.7
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,France,86.5,88.2 b,89.5 b,88.2,89.4,89.7,90.8,90.7,92.0,91.6 b,91.8,93.0
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Croatia,94.8 b,96.2,97.1 b,97.3,96.9,96.9,96.0,97.1,97.6,97.8 b,98.1,98.3
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Hungary,84.7,85.4,87.3 b,85.2,84.1,84.5,85.4 b,87.2,87.0,85.4 b,85.2,87.4
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Ireland,90.1,92.1,95.0 b,95.4,95.9,95.5 b,95.2,94.7,94.9,96.9 b,96.4,96.7
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Iceland,59.4,66.6,70.6 b,70.0,73.3,71.7,70.8,75.9,75.5 b,74.1 b,72.7,82.1
