Time frequency,Unit of measure,Working time,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Part-time,Switzerland,11.3,9.8,8.8 b,12.0,11.6,11.5,11.4,9.7,10.1,9.3,11.2,13.0
Annual,Percentage,Part-time,Cyprus,15.4,16.6,16.2,17.0,12.3,15.4,16.0,13.4,12.6,14.2,13.4,12.6
Annual,Percentage,Part-time,Czechia,10.0,10.5,6.4,6.3,7.9,8.0,5.2,6.3,6.7,4.3,5.8,4.0
Annual,Percentage,Part-time,Germany,11.3,13.4,14.9,14.5,15.2,14.0,14.3,12.8,11.0 b,11.7,9.7,9.5
Annual,Percentage,Part-time,Denmark,6.0,7.9,8.5,7.6,14.1,13.2,7.5,10.2,7.4 b,7.4,9.4,9.1
Annual,Percentage,Part-time,Euro area - 19 countries  (2015-2022),12.5,13.4,14.2,14.7,14.9,14.4,14.0,13.4,12.7 b,13.0,:,:
Annual,Percentage,Part-time,Euro area – 20 countries (from 2023),:,:,14.2,14.7,14.9,14.4,14.0,13.4,12.7,13.3,13.0,12.5
Annual,Percentage,Part-time,Estonia,18.9,16.4,20.2 b,18.1,15.0,18.4,21.7,21.5,20.6,21.3,19.9,20.9
Annual,Percentage,Part-time,Greece,27.3,27.0,27.9,28.2,30.3,27.5,24.6,20.9,21.0,21.0,18.4,21.8
Annual,Percentage,Part-time,Spain,21.2,18.7,22.9,27.1,24.3,26.9,22.5,22.1,19.0,21.4,21.2,20.5
Annual,Percentage,Part-time,European Union - 27 countries (2007-2013),13.7,14.7,15.7,15.3,15.8,15.6,15.6,15.1 e,:,:,:,:
Annual,Percentage,Part-time,European Union - 27 countries (from 2020),13.6 e,15.0 e,15.6 e,15.8 e,16.2 e,15.6 e,15.1 e,14.4 e,13.8 b,14.2,13.6,12.6
Annual,Percentage,Part-time,European Union - 28 countries (2013-2020),13.7,14.7,15.7,15.3,15.8,15.6,15.6,15.1 e,:,:,:,:
Annual,Percentage,Part-time,Finland,9.3,10.6,8.5,9.0,6.4,7.5,9.9,10.6,9.9,5.2,6.2,9.5
Annual,Percentage,Part-time,France,13.0,13.1,13.3,13.2,13.5,12.8,11.9,15.5,17.2 b,13.9,15.8 b,16.6
Annual,Percentage,Part-time,Croatia,19.7,26.2,9.9,20.4,15.9,19.0,16.4,12.2,16.3,13.0,11.2,9.7 b
Annual,Percentage,Part-time,Hungary,15.8,17.9,20.1,18.2,22.0,17.5,17.3,11.3,12.2,13.3,11.1,12.8
Annual,Percentage,Part-time,Ireland,9.8,8.7,10.7,9.6,10.2,9.7,10.2,10.8 b,10.2 b,9.3,12.8,10.8
Annual,Percentage,Part-time,Iceland,6.2,9.7,7.6,8.5,8.2,11.2,10.4,10.1,:,:,:,:
Annual,Percentage,Part-time,Italy,18.0,19.2,17.4,18.5,19.9,18.6,19.5,18.6,16.3,20.0,19.9,16.9
Annual,Percentage,Part-time,Lithuania,26.2,24.7,24.2,28.1,29.2,29.4,25.3,20.4,16.3,15.1,13.9,16.1
Annual,Percentage,Part-time,Luxembourg,12.9,14.0,14.8,16.5,15.9 b,13.4,16.3,18.9,16.8 b,21.2 b,16.8 b,15.8
Annual,Percentage,Part-time,Latvia,23.1,20.5,18.7,18.4,23.3,24.4,22.7,23.7,20.8,19.2,20.4,15.1
Annual,Percentage,Part-time,Montenegro,:,6.6,20.8,10.4 u,15.5,15.2,8.9 u,29.9,35.9,18.9,5.5,:
Annual,Percentage,Part-time,North Macedonia,32.0,24.3,31.6,25.7,24.7,24.2,28.6,26.9,37.6,:,:,:
Annual,Percentage,Part-time,Malta,12.8,10.2,11.7,16.1,13.8,13.1,13.4,13.3,12.6,11.8,12.3,18.4
Annual,Percentage,Part-time,Netherlands,4.5,4.5,5.1,4.5,5.0 b,6.7,6.9,5.7,5.9,5.8,5.4,4.8
Annual,Percentage,Part-time,Norway,7.0,7.9,9.3,8.9,10.6,9.6,11.4,11.6,7.4,10.7 b,8.9,10.1 b
Annual,Percentage,Part-time,Poland,18.1,20.2,17.1,18.3,20.4,21.7,19.0,15.9,14.5,16.2,13.9,15.6
Annual,Percentage,Part-time,Portugal,23.4,28.0,31.1,29.5,30.2,31.5,29.2,24.0,25.8,26.0,24.0,27.0
Annual,Percentage,Part-time,Romania,59.6,58.5,63.5,59.4,64.7,61.1,62.7,62.2,65.9,64.1,56.0,: u
Annual,Percentage,Part-time,Serbia,:,35.6,37.3,47.0,32.6,35.5,27.2,30.0,15.2,6.8,9.8,:
Annual,Percentage,Part-time,Sweden,10.8,12.0,10.8,11.1,10.3,9.5,8.9,13.2,14.0,13.5,12.7,12.6
Annual,Percentage,Part-time,Slovenia,10.2,13.4,13.0,14.6,15.6,15.2,10.9,7.8,10.2,9.2,6.8,13.2
Annual,Percentage,Part-time,Slovakia,16.4,17.8,11.4,19.0,15.4,16.4,12.6,8.9,10.4,9.0,12.3,3.2
Annual,Percentage,Part-time,Türkiye,23.5,20.9,19.8,17.8,15.3,16.2,16.4,16.6,14.9,17.7,23.9,18.7
Annual,Percentage,Part-time,United Kingdom,14.3 b,13.6,16.1,13.0,14.1,15.5 b,17.2,:,:,:,:,:
