Time frequency,Information society indicator,Individual type,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2009.0,2011.0,2012.0,2014.0,2015.0,2016.0,2017.0,2019.0
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Belgium,56.22,58.48,56.17,67.03,64.96,68.03,60.49,62.66,61.09,59.87
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Bulgaria,23.49,25.19,26.09,33.53,41.0,50.64,43.26,35.03,41.27,41.51
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Cyprus,41.91,43.87,49.38,56.49,54.64,62.2,53.41,51.71,50.2,46.18
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Czechia,49.16,50.86,49.48,60.12,62.94,66.7,58.79,54.04 u,63.53,53.22 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Germany,66.58,67.94,68.7,71.32,:,76.04,66.44,67.44,67.95,69.26
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Denmark,80.44,72.74,73.34,78.3,76.84,74.78,77.8,73.67,68.99,66.99
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",54.01,56.71,60.01,63.13,62.33,67.03,58.35,58.04,57.62,56.95
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Estonia,47.59,69.42,56.14,74.25,52.52,63.69 b,61.21,52.9,52.96,54.18
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Greece,42.78,37.07,43.31,54.72,:,57.6,58.15,62.1,59.55,63.15
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Spain,49.44,51.17,55.68,56.25,64.58,62.92,57.04,55.86,56.24,53.41
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,European Union - 15 countries (1995-2004),55.78,58.06,61.15,64.26,62.83,67.37,59.07,59.52,58.73,:
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,European Union - 25 countries (2004-2006),54.65,57.13,60.05,:,:,:,:,:,:,:
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,European Union - 28 countries (2013-2020),:,56.84,59.72,63.31,60.24,65.56,57.99,58.55,58.21,57.06
