Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Index, 2015=100",Armenia,76.4 d,83.0 d,88.5 d,92.6 d,100.3 d,100.0 d,100.9 d,104.7 d,105.9 d,106.1 d,108.1 d,119.9 d,123.0 d
Annual,"Index, 2015=100",Azerbaijan,:,:,:,:,:,100.0,127.5,174.5,219.9,227.0,170.7,289.5,533.6
Annual,"Index, 2015=100",Belarus,22.5 d,38.3 d,66.7 d,75.9 d,85.3 d,100.0 d,112.0 d,123.0 d,131.4 d,139.7 d,147.5 d,:,:
Annual,"Index, 2015=100",Moldova,:,85.5 d,89.0 d,90.8 d,94.8 d,100.0 d,104.8 d,108.3 d,109.2 d,110.7 d,112.2 d,122.4 d,165.9 d
Annual,"Index, 2015=100",Ukraine,50.9 d,60.6 d,62.9 d,62.8 d,73.6 d,100.0 d,120.5 d,152.3 d,178.8 d,186.1 d,183.2 d,257.9 d,:
