Time frequency,Purpose,Duration,Country of destination,Expenditure and investment,Statistical information,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Albania,:,:,:,:,:,20.04,:,15.29,32.14,:,:,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Austria,120.77,130.2,127.19,127.16,130.55,132.15,134.5,139.56,117.81,124.52,147.42,160.79
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Belgium,79.53,96.13,84.61,83.43,89.8,87.47 b,81.83,89.43,59.12,63.74,89.0,96.71
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Bulgaria,31.46 b,28.54,35.23,36.29,36.52,36.78,37.12,42.74,45.34,50.05,69.08,68.84
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Switzerland,116.29,117.28,105.89,119.68,120.67,113.23,115.08,115.49,89.71,107.99,130.65,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Cyprus,48.67 b,71.39,70.16,75.23,82.89,93.7,107.03,110.89,70.09,75.38,120.12,135.04
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Czechia,29.51,30.31,26.58,31.54,31.9,34.16,38.52,37.67,25.92,31.61,46.28,56.45
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Germany,92.65,91.99,85.67,87.28,88.3,95.53,111.34,105.61,75.32,86.28,109.42,125.07
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Denmark,81.01,94.54 b,105.24 b,91.84,119.55,161.88,172.07,120.18,80.08,81.47,101.23,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Euro area – 20 countries (from 2023),69.27,69.58,68.05,71.91,74.22,80.09,87.25,86.16,63.48,70.6,90.79,100.75
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Estonia,45.8,55.95,60.79,60.31,67.92,73.2,102.6,110.13,87.48,91.2,128.16,133.25
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Greece,27.27,29.02,28.51,29.7,32.03,30.98,33.74,36.69,29.36,33.49,44.92,48.05
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,37.65,38.32,39.12,53.77 b,57.95,60.46,64.72,66.0,45.57,55.23,71.74,80.12
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),66.15 e,66.44 e,64.59,68.05,70.0,80.92,85.87,83.87,60.96,67.38,87.25,97.44 e
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,105.67 b,101.48,101.25,103.33,101.56,101.5,108.71,99.33,59.0,56.85,90.25,101.71
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,France,60.45 b,61.3,63.11,63.19,65.05,72.82,76.14,75.92,64.62,67.75,83.74,86.68
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Croatia,41.3,42.71,39.11,46.35,45.71,49.94,56.53,52.09,36.49,43.02,56.53,67.46
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Hungary,29.73,33.08,36.71,38.55,41.19,44.86,43.39,42.14,37.82,40.91,52.22,70.44
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Ireland,94.69,96.49,99.42,106.38,108.16,112.16,112.71,116.52,97.22,96.14,124.37,142.96
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Italy,70.83,65.11,57.02 b,63.91,68.06,74.48,73.15,75.05,61.62,62.47,71.77,83.71
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Lithuania,43.19,44.69,48.32,49.17,52.84,54.35,55.84,56.59,51.28,52.68,63.26,64.21
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Luxembourg,111.53,119.21,130.31,122.37,120.33,112.05,131.7,154.01,107.14,114.93,175.21,182.83
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Latvia,36.56,39.7,34.66,42.31,36.71,47.01,50.14,59.48,35.65,45.22,63.62,73.49
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Montenegro,:,:,:,:,33.2,38.21,:,:,:,:,:,:
