Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Number,Intermediate regions,Netherlands,:,:,:,:,:,:,:,:,435.0,:,:,:,:,:
Annual,Number,Intermediate regions,Norway,:,:,:,:,:,137.0,:,:,:,:,:,32.0,:,:
Annual,Number,Intermediate regions,Poland,:,:,:,:,:,:,:,:,1066.0,1263.0,1363.0,1139.0,1586.0,1358 p
Annual,Number,Intermediate regions,Sweden,269.0,346.0,546.0,635.0,514.0,731.0,600.0,532.0,631.0,659.0,657.0,770.0,608.0,495 p
Annual,Number,Intermediate regions,Slovenia,:,19.0,21.0,24.0,42.0,65.0,52.0,69.0,93.0,75.0,66.0,56.0,111.0,68 p
Annual,Number,Intermediate regions,Slovakia,:,:,:,44.0,:,31.0,55.0,21.0,:,65.0,111.0,82.0,117.0,:
Annual,Number,Intermediate regions,United Kingdom,:,:,:,:,:,:,652.0,:,:,:,:,:,:,:
Annual,Number,Island regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Belgium,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Cyprus,1.0,23.0,10.0,42.0,24.0,10.0,6.0,39.0,50.0,31.0,53.0,51.0,27.0,104 p
Annual,Number,Island regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Germany,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Denmark,:,:,:,:,:,:,:,2.0,1.0,:,:,:,1.0,2 p
Annual,Number,Island regions,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Finland,:,2.0,4.0,:,:,:,13.0,:,:,:,:,:,:,:
Annual,Number,Island regions,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Ireland,:,:,:,:,:,200.0,168.0,315.0,:,189.0,194.0,220.0,:,:
Annual,Number,Island regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Malta,:,:,:,:,:,:,:,:,7.0,:,205.0,:,332.0,131 p
Annual,Number,Island regions,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Norway,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Poland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Romania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Sweden,2.0,1.0,9.0,3.0,2.0,5.0,10.0,1.0,1.0,4.0,4.0,:,:,:
Annual,Number,Island regions,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Island regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Austria,:,:,:,:,:,:,:,:,1508.0,:,:,:,:,:
Annual,Number,Mountain regions,Belgium,:,1.0,7.0,4.0,5.0,2.0,1.0,5.0,6.0,4.0,3.0,8.0,13.0,21 p
Annual,Number,Mountain regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Czechia,:,:,:,160.0,410.0,506.0,173.0,187.0,242.0,:,247.0,277.0,243.0,98 p
Annual,Number,Mountain regions,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Finland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Liechtenstein,49.0,215.0,186.0,192.0,100.0,288.0,124.0,140.0,90.0,84.0,210.0,61.0,104.0,36 p
Annual,Number,Mountain regions,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Mountain regions,Poland,:,:,64.0,131.0,191.0,176.0,202.0,223.0,431.0,217.0,325.0,313.0,402.0,307 p
Annual,Number,Mountain regions,Sweden,9.0,8.0,17.0,9.0,13.0,24.0,14.0,13.0,3.0,4.0,5.0,11.0,23.0,20 p
Annual,Number,Mountain regions,Slovenia,:,:,:,:,:,:,:,:,:,:,108.0,129.0,:,:
Annual,Number,Mountain regions,Slovakia,:,:,:,50.0,:,32.0,48.0,41.0,120.0,83.0,120.0,87.0,144.0,:
Annual,Number,Non-border regions,Austria,:,:,:,:,166.0,132.0,:,186.0,110.0,:,:,:,177.0,:
Annual,Number,Non-border regions,Belgium,31.0,241.0,363.0,292.0,286.0,342.0,331.0,509.0,807.0,475.0,255.0,245.0,246.0,135 p
Annual,Number,Non-border regions,Switzerland,159.0,:,:,:,:,303.0,:,345.0,595.0,:,:,299.0,295.0,229 p
Annual,Number,Non-border regions,Cyprus,1.0,23.0,10.0,42.0,24.0,10.0,6.0,39.0,50.0,31.0,53.0,51.0,27.0,104 p
Annual,Number,Non-border regions,Czechia,1.0,21.0,24.0,67.0,114.0,78.0,65.0,169.0,163.0,188.0,142.0,164.0,160.0,142 p
Annual,Number,Non-border regions,Denmark,:,:,:,:,:,:,:,426.0,564.0,:,:,:,642.0,586 p
Annual,Number,Non-border regions,Estonia,:,:,:,:,30.0,:,:,39.0,:,82.0,132.0,46.0,80.0,52 p
Annual,Number,Non-border regions,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-border regions,Hungary,:,34.0,:,:,:,91.0,62.0,86.0,61.0,:,41.0,90.0,:,:
Annual,Number,Non-border regions,Ireland,:,:,144.0,:,98.0,97.0,108.0,134.0,:,89.0,119.0,183.0,142.0,130 p
Annual,Number,Non-border regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-border regions,Lithuania,:,:,1.0,:,7.0,2.0,1.0,8.0,1.0,5.0,7.0,7.0,7.0,12 p
Annual,Number,Non-border regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-border regions,Latvia,:,4.0,5.0,26.0,36.0,47.0,34.0,10.0,18.0,12.0,15.0,42.0,38.0,13 p
Annual,Number,Non-border regions,Malta,:,:,:,:,:,:,:,:,7.0,:,205.0,:,332.0,131 p
Annual,Number,Non-border regions,Netherlands,:,977.0,850.0,939.0,:,1091.0,:,764.0,794.0,780.0,810.0,827.0,784.0,742 p
Annual,Number,Non-border regions,Poland,:,:,:,:,:,:,:,:,:,:,1765.0,2691.0,:,2437 p
Annual,Number,Non-border regions,Sweden,367.0,559.0,626.0,651.0,614.0,758.0,654.0,701.0,831.0,860.0,1039.0,:,:,:
Annual,Number,Non-border regions,Slovenia,:,:,3.0,1.0,4.0,1.0,:,3.0,:,:,1.0,13.0,1.0,5 p
Annual,Number,Non-border regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Czechia,:,:,:,378.0,646.0,684.0,423.0,:,609.0,:,600.0,692.0,777.0,:
Annual,Number,Non-coastal regions,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Estonia,:,4.0,:,:,:,:,4.0,6.0,24.0,19.0,5.0,18.0,8.0,30 p
Annual,Number,Non-coastal regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,107 p
Annual,Number,Non-coastal regions,Ireland,1.0,1.0,:,:,:,2.0,5.0,8.0,:,1.0,1.0,6.0,:,:
Annual,Number,Non-coastal regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-coastal regions,Luxembourg,35.0,80.0,133.0,186.0,460.0,320.0,273.0,205.0,340.0,511.0,717.0,576.0,613.0,441 p
Annual,Number,Non-coastal regions,Latvia,:,:,:,:,:,:,:,10.0,17.0,:,:,:,7.0,:
Annual,Number,Non-coastal regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
