Annual,Growth rate on previous period (t/t-1),Italy,:,0.5,6.0,1.1,0.6,-4.8,-0.2,0.9,-5.5,9.2,1.1,3.7,2.8,-5.4,-6.6,-6.3,-4.6,-1.4,-2.7,-4.3,9.8,15.6,1.3,-36.3,5.0,36.2,8.3
Annual,Growth rate on previous period (t/t-1),Lithuania,:,:,:,:,:,5.9,26.0,8.3,13.7,14.5,11.2,0.0,-3.1,22.2,12.1,2.0,-2.3,0.2,1.9,5.9,-1.8,8.6,6.2,-10.0,1.2,8.1,8.9
Annual,Growth rate on previous period (t/t-1),Latvia,:,:,:,:,:,-11.5,421.6,25.7,13.1,65.6,49.6,15.3,29.6,15.9,17.3,4.8,5.4,-7.6,-23.4,9.5,37.5,6.9,0.8,-56.5,-46.5,48.8,1.7
Annual,Growth rate on previous period (t/t-1),Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-42.3,-41.5,-8.2,11.3,7.6,-16.9,-9.9,-99.5,1007.0,139.8,:
Annual,Growth rate on previous period (t/t-1),Malta,:,:,:,:,:,:,2.2,4.4,-2.0,3.2,6.5,4.2,-4.1,6.4,3.9,-1.0,9.5,6.1,5.5,9.6,7.7,6.7,3.1,-41.5,19.3,33.2,15.6
Annual,Growth rate on previous period (t/t-1),Netherlands,:,-6.3,5.9,2.8,1.8,7.9,-8.5,-0.1,5.1,0.6,-12.1,4.7,-16.7,22.2,-11.2,-3.6,1.9,4.6,5.0,-0.2,1.2,2.7,1.5,-49.9,-15.0,130.6,-0.2
Annual,Growth rate on previous period (t/t-1),Norway,:,:,:,:,:,:,-23.4,24.3,11.7,-3.5,1.0,-2.2,-8.1,1.6,0.8,-0.2,-0.8,4.2,10.9,-7.1,1.4,-1.2,3.6,-70.4,-9.2,231.3,-3.5
Annual,Growth rate on previous period (t/t-1),Poland,:,:,:,:,:,-25.2,-3.5,-36.3,-19.3,5.9,41.4,7.8,-6.3,4.8,-2.8,-6.7,-6.7,1.0,8.9,7.5,-0.7,5.2,2.5,-31.6,21.6,0.8,-3.6
Annual,Growth rate on previous period (t/t-1),Portugal,:,1283.4,-0.1,13.1,1.5,-7.5,22.7,5.5,2.0,3.6,7.2,3.6,9.2,-15.9,-3.4,-16.5,-1.9,-0.7,5.8,16.6,9.0,2.3,8.6,2.9,25.2,30.4,55.4
Annual,Growth rate on previous period (t/t-1),Romania,:,:,:,:,:,:,:,:,:,:,:,410.1,-79.7,148.7,-58.0,-41.5,91.3,346.2,15.8,-98.8,25.0,-100.0,:,:,:,:,:
