Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2009.0,2012.0,2015.0,2018.0
Annual,"Index, 2015=100",Belgium,:,:,100.0,101.4
Annual,"Index, 2015=100",Bulgaria,:,:,100.0,99.8
Annual,"Index, 2015=100",Cyprus,:,:,100.0,98.0
Annual,"Index, 2015=100",Czechia,:,:,100.0,103.6
Annual,"Index, 2015=100",Germany,:,:,100.0,105.3
Annual,"Index, 2015=100",Denmark,:,:,100.0,101.9
Annual,"Index, 2015=100",Estonia,:,:,100.0,96.7
Annual,"Index, 2015=100",Greece,:,:,100.0,112.3
Annual,"Index, 2015=100",Spain,:,:,100.0,106.5
Annual,"Index, 2015=100",European Union - 27 countries (2007-2013),:,:,100.0,104.6
Annual,"Index, 2015=100",European Union - 27 countries (from 2020),:,:,100.0,105.0
Annual,"Index, 2015=100",European Union - 28 countries (2013-2020),:,:,100.0,104.6
Annual,"Index, 2015=100",European Union (aggregate changing according to the context),:,:,100.0,103.8
Annual,"Index, 2015=100",Finland,:,:,100.0,100.2
Annual,"Index, 2015=100",France,:,:,100.0,105.1
Annual,"Index, 2015=100",Croatia,:,:,100.0,105.1
Annual,"Index, 2015=100",Hungary,:,:,100.0,114.5
Annual,"Index, 2015=100",Ireland,:,:,100.0,103.9
Annual,"Index, 2015=100",Italy,:,:,100.0,102.3
Annual,"Index, 2015=100",Lithuania,:,:,100.0,100.1
Annual,"Index, 2015=100",Luxembourg,:,:,100.0,116.9
Annual,"Index, 2015=100",Latvia,:,:,100.0,96.2
Annual,"Index, 2015=100",Malta,:,:,100.0,112.7
Annual,"Index, 2015=100",Netherlands,:,:,100.0,98.3
Annual,"Index, 2015=100",Poland,:,:,100.0,101.6
Annual,"Index, 2015=100",Portugal,:,:,100.0,115.8
Annual,"Index, 2015=100",Romania,:,:,100.0,142.8
Annual,"Index, 2015=100",Sweden,:,:,100.0,97.9
Annual,"Index, 2015=100",Slovenia,:,:,100.0,102.8
Annual,"Index, 2015=100",Slovakia,:,:,100.0,118.3
Annual,"Index, 2015=100",United Kingdom,:,:,100.0,100.9
Annual,Square kilometre,Austria,5459.0,5862.0,6081.0,6530.0
Annual,Square kilometre,Belgium,6181.0,5973.0,6557.0,6651.0
Annual,Square kilometre,Bulgaria,:,3423.0,4404.0,4395.0
Annual,Square kilometre,Cyprus,:,681.0,828.0,812.0
Annual,Square kilometre,Czechia,6513.0,6184.0,6498.0,6731.0
Annual,Square kilometre,Germany,43131.0,44511.0,46139.0,48574.0
Annual,Square kilometre,Denmark,5355.0,5709.0,5981.0,6092.0
Annual,Square kilometre,Estonia,1554.0,1741.0,2026.0,1958.0
Annual,Square kilometre,Greece,5826.0,6369.0,6793.0,7629.0
Annual,Square kilometre,Spain,24206.0,24748.0,25291.0,26945.0
Annual,Square kilometre,European Union - 27 countries (2007-2013),:,309917.0,324181.0,339113.0
Annual,Square kilometre,European Union - 27 countries (from 2020),:,:,298968.0,313786.0
Annual,Square kilometre,European Union - 28 countries (2013-2020),:,:,327003.0,342080.0
Annual,Square kilometre,European Union (aggregate changing according to the context),285493.0,298595.0,311635.0,323491.0
Annual,Square kilometre,Finland,11348.0,12659.0,13472.0,13494.0
Annual,Square kilometre,France,52621.0,53589.0,53816.0,56558.0
Annual,Square kilometre,Croatia,:,:,2822.0,2966.0
Annual,Square kilometre,Hungary,7047.0,6754.0,6932.0,7935.0
Annual,Square kilometre,Ireland,4183.0,4671.0,4520.0,4698.0
Annual,Square kilometre,Italy,25973.0,27310.0,28634.0,29292.0
Annual,Square kilometre,Lithuania,2843.0,2402.0,3059.0,3063.0
Annual,Square kilometre,Luxembourg,270.0,334.0,291.0,340.0
Annual,Square kilometre,Latvia,2078.0,2292.0,2565.0,2468.0
Annual,Square kilometre,Malta,:,93.0,85.0,96.0
Annual,Square kilometre,Netherlands,7132.0,7655.0,7989.0,7850.0
Annual,Square kilometre,Poland,20293.0,22606.0,23699.0,24068.0
Annual,Square kilometre,Portugal,5913.0,6020.0,6122.0,7092.0
Annual,Square kilometre,Romania,:,7125.0,7228.0,10320.0
Annual,Square kilometre,Sweden,15975.0,19840.0,22968.0,22497.0
Annual,Square kilometre,Slovenia,1182.0,1174.0,1257.0,1292.0
Annual,Square kilometre,Slovakia,2900.0,2787.0,2908.0,3439.0
Annual,Square kilometre,United Kingdom,27513.0,27405.0,28035.0,28294.0
Annual,Square metres per capita,Austria,654.3,695.3,703.6,740.1
Annual,Square metres per capita,Belgium,572.5,537.8,581.6,583.5
Annual,Square metres per capita,Bulgaria,:,468.5,613.5,623.4
Annual,Square metres per capita,Cyprus,:,787.8,977.2,939.0
Annual,Square metres per capita,Czechia,623.6,588.4,616.1,634.4
Annual,Square metres per capita,Germany,526.6,553.4,564.8,586.7
Annual,Square metres per capita,Denmark,969.6,1021.0,1052.3,1053.8
Annual,Square metres per capita,Estonia,1164.4,1316.1,1540.5,1484.4
Annual,Square metres per capita,Greece,562.0,576.7,627.7,710.2
Annual,Square metres per capita,Spain,561.6,556.0,572.9,577.5
Annual,Square metres per capita,European Union - 27 countries (2007-2013),:,625.0,653.7,667.2
Annual,Square metres per capita,European Union - 27 countries (from 2020),:,:,680.6,703.4
Annual,Square metres per capita,European Union - 28 countries (2013-2020),:,:,648.2,667.6
Annual,Square metres per capita,European Union (aggregate changing according to the context),616.1,644.4,672.5,673.4
Annual,Square metres per capita,Finland,2136.6,2338.2,2458.7,2447.6
Annual,Square metres per capita,France,834.4,840.5,835.2,845.1
Annual,Square metres per capita,Croatia,:,:,670.7,722.5
Annual,Square metres per capita,Hungary,703.1,680.8,704.3,811.5
Annual,Square metres per capita,Ireland,922.2,1015.6,961.3,972.7
Annual,Square metres per capita,Italy,439.5,458.7,471.5,484.3
Annual,Square metres per capita,Lithuania,898.9,803.9,1053.1,1090.5
Annual,Square metres per capita,Luxembourg,542.9,628.4,511.7,565.2
Annual,Square metres per capita,Latvia,970.1,1126.9,1297.2,1276.1
Annual,Square metres per capita,Malta,:,222.1,190.6,201.4
Annual,Square metres per capita,Netherlands,431.4,456.9,471.6,456.9
Annual,Square metres per capita,Poland,531.9,593.9,623.9,633.7
Annual,Square metres per capita,Portugal,588.0,601.8,621.2,689.1
Annual,Square metres per capita,Romania,:,355.2,364.8,528.4
Annual,Square metres per capita,Sweden,1718.0,2084.2,2343.8,2223.0
Annual,Square metres per capita,Slovenia,579.4,570.6,609.2,625.1
Annual,Square metres per capita,Slovakia,538.3,515.4,536.2,631.8
Annual,Square metres per capita,United Kingdom,441.8,430.2,430.5,426.9
Annual,Percentage,Austria,6.5,7.0,7.2,7.8
Annual,Percentage,Belgium,20.2,19.5,21.4,21.7
Annual,Percentage,Bulgaria,:,3.1,4.0,4.0
Annual,Percentage,Cyprus,:,7.4,9.0,8.8
Annual,Percentage,Czechia,8.3,7.8,8.2,8.5
Annual,Percentage,Germany,12.1,12.4,12.9,13.6
Annual,Percentage,Denmark,12.4,13.2,13.9,14.2
Annual,Percentage,Estonia,3.4,3.8,4.5,4.3
Annual,Percentage,Greece,4.4,4.8,5.2,5.8
Annual,Percentage,Spain,4.9,5.0,5.1,5.4
Annual,Percentage,European Union - 27 countries (2007-2013),:,7.2,7.5,7.9
Annual,Percentage,European Union - 27 countries (from 2020),:,:,7.2,7.6
Annual,Percentage,European Union - 28 countries (2013-2020),:,:,7.5,7.8
Annual,Percentage,European Union (aggregate changing according to the context),7.2,7.6,7.9,8.2
Annual,Percentage,Finland,3.4,3.8,4.0,4.0
Annual,Percentage,France,9.6,9.8,9.8,10.3
Annual,Percentage,Croatia,:,:,5.0,5.2
Annual,Percentage,Hungary,7.6,7.3,7.5,8.5
Annual,Percentage,Ireland,6.0,6.7,6.5,6.7
Annual,Percentage,Italy,8.6,9.1,9.5,9.7
Annual,Percentage,Lithuania,4.4,3.7,4.7,4.7
Annual,Percentage,Luxembourg,10.4,12.9,11.2,13.1
Annual,Percentage,Latvia,3.2,3.5,4.0,3.8
Annual,Percentage,Malta,:,29.6,26.9,30.3
Annual,Percentage,Netherlands,19.1,20.5,21.4,21.0
Annual,Percentage,Poland,6.5,7.2,7.6,7.7
Annual,Percentage,Portugal,6.7,6.8,6.9,8.0
Annual,Percentage,Romania,:,3.0,3.0,4.3
Annual,Percentage,Sweden,3.6,4.4,5.1,5.0
Annual,Percentage,Slovenia,5.8,5.8,6.2,6.4
Annual,Percentage,Slovakia,5.9,5.7,5.9,7.0
Annual,Percentage,United Kingdom,11.2,11.2,11.5,11.6
