Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Albania,:,:,:,33.8,40.4,37.5,24.5,27.2,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Austria,6.7,5.0,5.2,3.4,2.8,3.3,2.2,1.1,2.8,2.6
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Belgium,2.2,2.1,3.1,3.4,2.6,1.6 b,2.7,2.6,2.8,3.0
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Bulgaria,27.7 b,26.8,23.6 b,19.9,20.2,15.4,13.4,13.2,12.1,10.9
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Switzerland,0.8 b,0.7,1.8,1.1,2.5,2.3,0.9,1.2,1.1,1.0
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Cyprus,3.7,2.5,0.8,0.9,0.8,0.4,0.7,0.1,0.7,0.7
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Czechia,9.8,7.6,5.6,3.5,2.4,2.2,2.0,2.0,2.8,4.7
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Germany,4.4,3.6,3.0,3.8,3.5,2.2,10.1 b,7.7,9.4,10.8
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Denmark,1.0,0.7,0.6,1.3,0.9,0.7,1.2,0.6,0.9,2.3
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.9 e,4.4 e,4.4 e,4.4 e,3.8 e,3.3,5.2,4.3,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Euro area - 18 countries (2014),4.9,4.4,4.3,4.4,3.8,3.3,5.2,:,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Euro area - 19 countries  (2015-2022),4.9,4.4,4.4,4.4,3.8,3.3,5.2,4.3,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Euro area – 20 countries (from 2023),4.9,4.4,4.4,4.4,3.8,3.3,5.2,4.3,5.3,6.3
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Estonia,3.9 b,2.3,2.1,3.1,2.2,4.1,4.1,1.8,3.7,3.2
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Greece,5.0,1.9,4.2,6.3,6.8,6.4,7.0,7.4,5.1,4.5
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Spain,1.6,1.7,0.9,1.9,1.5,1.8,3.1,2.8,3.2,4.0
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",6.2,5.3,5.1,4.8,4.1,3.6 e,:,:,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,European Union - 27 countries (2007-2013),6.2,5.3,5.1,4.8,4.1,3.6 e,:,:,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,European Union - 27 countries (from 2020),6.1 e,5.3 e,5.1 e,5.0 e,4.2 e,3.6 e,5.0,4.5,5.5,6.3
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,European Union - 28 countries (2013-2020),6.2,5.3,5.1,4.8,4.1,3.6 e,:,:,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Finland,1.5,1.8,2.5,1.2,1.9,1.1,1.3,0.9,1.6,2.2
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,France,4.9,4.9,4.9,4.0,4.4,4.8,4.8 b,4.0,6.1 b,8.9
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Croatia,6.2,7.6,7.5,3.4,4.2,3.2,2.7,1.9,2.1,1.2
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Hungary,19.7,18.0,15.6,13.7,9.3,10.7,10.1,9.3,10.9,12.1
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Ireland,3.1,3.0,1.8,1.3,1.0,0.5 b,1.2 b,0.9,0.9,1.4
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Iceland,4.3,4.6,2.4,2.2,2.3,2.0,:,:,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Italy,9.3,8.6,9.2,9.6,6.5,5.4,4.7,4.4,4.5,4.8
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Lithuania,8.0,6.5,8.9,9.2,7.8,6.5,7.8,4.9,4.6,6.5
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Luxembourg,1.5,0.9,1.8 b,1.3,1.3,1.1,4.0 b,1.0 b,1.0 b,3.0
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Latvia,10.7,7.3,8.8,6.7,5.8,5.4,4.9,2.1,3.4,3.3
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Montenegro,4.3,2.7,4.6,4.3,5.4,3.2,8.1,12.6,11.1,:
