Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Natural gas,Algeria,Percentage,Albania,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Algeria,Percentage,Austria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Bosnia and Herzegovina,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Belgium,0.14 i,0.11 i,0.06 i,0.08 i,0.17 i,0.04 i
Annual,Natural gas,Algeria,Percentage,Bulgaria,0.00 i,0.00 i,0.00 i,0.01 i,2.14 i,0.98 i
Annual,Natural gas,Algeria,Percentage,Cyprus,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Algeria,Percentage,Czechia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Germany,0.04 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Denmark,: m,: m,: m,: m,: m,0.00 i
Annual,Natural gas,Algeria,Percentage,Estonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Greece,13.66 i,19.52 i,26.98 i,19.12 i,12.59 i,5.73 i
Annual,Natural gas,Algeria,Percentage,Spain,60.01 i,57.05 i,48.61 i,51.55 i,33.60 i,29.61 i
Annual,Natural gas,Algeria,Percentage,Finland,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,France,9.42 i,10.83 i,7.92 i,7.64 i,7.03 i,8.13 i
Annual,Natural gas,Algeria,Percentage,Georgia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Croatia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Hungary,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Ireland,0.51 i,0.29 i,0.25 i,0.25 i,1.13 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Iceland,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Algeria,Percentage,Italy,12.49 i,29.55 i,28.02 i,26.48 i,18.85 i,22.84 i
Annual,Natural gas,Algeria,Percentage,Liechtenstein,: m,: m,0.02 i,: m,0.00 i,3.00 i
Annual,Natural gas,Algeria,Percentage,Lithuania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Luxembourg,0.10 i,0.12 i,0.09 i,0.09 i,0.09 i,0.09 i
Annual,Natural gas,Algeria,Percentage,Latvia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Moldova,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
