Time frequency,Economical indicator for structural business statistics,Sourcing activity,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Enterprises - number,No sourcing before the reference period,Industry and construction (except manufacturing),Number,Austria,160 u
Annual,Enterprises - number,No sourcing before the reference period,Industry and construction (except manufacturing),Number,Latvia,261.0
Annual,Enterprises - number,No sourcing before the reference period,Industry and construction (except manufacturing),Number,Portugal,429.0
Annual,Enterprises - number,No sourcing before the reference period,Manufacturing,Number,Austria,290 u
Annual,Enterprises - number,No sourcing before the reference period,Manufacturing,Number,Latvia,454.0
Annual,Enterprises - number,No sourcing before the reference period,Manufacturing,Number,Portugal,2228.0
Annual,Enterprises - number,No sourcing before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Austria,172 u
Annual,Enterprises - number,No sourcing before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Latvia,310.0
Annual,Enterprises - number,No sourcing before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,971.0
Annual,Enterprises - number,No sourcing before the reference period,Services of the business economy (except trade),Number,Austria,435 u
Annual,Enterprises - number,No sourcing before the reference period,Services of the business economy (except trade),Number,Latvia,570.0
Annual,Enterprises - number,No sourcing before the reference period,Services of the business economy (except trade),Number,Portugal,1416.0
Annual,Enterprises - number,No sourcing before the reference period,Total - all NACE activities,Number,Austria,1057 u
Annual,Enterprises - number,No sourcing before the reference period,Total - all NACE activities,Number,Latvia,1595.0
Annual,Enterprises - number,No sourcing before the reference period,Total - all NACE activities,Number,Portugal,5045.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Industry and construction (except manufacturing),Number,Austria,6 u
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Industry and construction (except manufacturing),Number,Latvia,1.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Industry and construction (except manufacturing),Number,Portugal,11.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Manufacturing,Number,Austria,60 u
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Manufacturing,Number,Latvia,22.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Manufacturing,Number,Portugal,63.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Austria,45 u
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Latvia,12.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,40.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Services of the business economy (except trade),Number,Austria,38 u
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Services of the business economy (except trade),Number,Latvia,18.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Services of the business economy (except trade),Number,Portugal,54.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Total - all NACE activities,Number,Austria,149 u
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Total - all NACE activities,Number,Latvia,53.0
Annual,Enterprises - number,International sourcing within the enterprise group before the reference period,Total - all NACE activities,Number,Portugal,168.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Industry and construction (except manufacturing),Number,Austria,3 u
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Industry and construction (except manufacturing),Number,Latvia,2.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Industry and construction (except manufacturing),Number,Portugal,18.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Manufacturing,Number,Austria,20 u
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Manufacturing,Number,Latvia,4.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Manufacturing,Number,Portugal,99.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Austria,2 u
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Latvia,1.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,21.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Services of the business economy (except trade),Number,Austria,9 u
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Services of the business economy (except trade),Number,Latvia,4.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Services of the business economy (except trade),Number,Portugal,64.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Total - all NACE activities,Number,Austria,34 u
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Total - all NACE activities,Number,Latvia,11.0
Annual,Enterprises - number,International sourcing outside the enterprise group before the reference period,Total - all NACE activities,Number,Portugal,202.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Austria,169 u
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Latvia,264.0
Annual,Enterprises - number,Total,Industry and construction (except manufacturing),Number,Portugal,458.0
Annual,Enterprises - number,Total,Manufacturing,Number,Austria,370 u
Annual,Enterprises - number,Total,Manufacturing,Number,Latvia,480.0
Annual,Enterprises - number,Total,Manufacturing,Number,Portugal,2390.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Austria,219 u
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Latvia,323.0
Annual,Enterprises - number,Total,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,1033.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Austria,482 u
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Latvia,592.0
Annual,Enterprises - number,Total,Services of the business economy (except trade),Number,Portugal,1534.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Austria,1240 u
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Latvia,1659.0
Annual,Enterprises - number,Total,Total - all NACE activities,Number,Portugal,5415.0
