Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,65.5,65.0,71.0
Annual,Percentage,From 15 to 24 years,Females,Belgium,84.8,69.5,78.4
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,57.1,61.6,66.8 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,44.7 u,71.8 u,70.0
Annual,Percentage,From 15 to 24 years,Females,Czechia,71.0,75.3 u,96.6 u
Annual,Percentage,From 15 to 24 years,Females,Germany,66.8,72.0,82.2
Annual,Percentage,From 15 to 24 years,Females,Denmark,87.8,81.8,82.0
Annual,Percentage,From 15 to 24 years,Females,Estonia,69.0 u,89.6 u,100.0
Annual,Percentage,From 15 to 24 years,Females,Greece,63.9,37.5 u,59.5 u
Annual,Percentage,From 15 to 24 years,Females,Spain,62.1,70.3,59.7
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),70.2,70.7,77.3
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),67.9,67.3,78.0
Annual,Percentage,From 15 to 24 years,Females,Finland,88.6,98.4,85.4 u
Annual,Percentage,From 15 to 24 years,Females,France,68.2,61.8,81.8
Annual,Percentage,From 15 to 24 years,Females,Croatia,81.7,78.4 u,85.9 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,60.5 u,61.1 u,50.6 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,74.9,49.0,52.2
Annual,Percentage,From 15 to 24 years,Females,Italy,64.5,75.8,83.8 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,85.7,82.9 u,65.4
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,93.1 u,79.5,83.9 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,87.3,89.8 u,92.2
Annual,Percentage,From 15 to 24 years,Females,Malta,77.9,93.8,92.1
Annual,Percentage,From 15 to 24 years,Females,Netherlands,78.4 u,70.6,75.7
Annual,Percentage,From 15 to 24 years,Females,Poland,71.9,70.3,70.6
Annual,Percentage,From 15 to 24 years,Females,Portugal,79.5,77.4 u,54.2 u
Annual,Percentage,From 15 to 24 years,Females,Romania,75.6,66.8 u,86.8 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,92.7 u,86.7 u,83.5
Annual,Percentage,From 15 to 24 years,Females,Slovenia,83.5 u,78.7,78.7 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,82.6,81.3 u,71.2 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,58.5,53.0,80.7
Annual,Percentage,From 15 to 24 years,Males,Austria,51.2,68.8,54.3
Annual,Percentage,From 15 to 24 years,Males,Belgium,78.2,72.8,70.9
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,65.0,72.3 u,45.6
Annual,Percentage,From 15 to 24 years,Males,Cyprus,85.0 u,74.6 u,63.3
Annual,Percentage,From 15 to 24 years,Males,Czechia,78.0,77.8 u,71.5 u
