Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Inoi - Tithorea,Goods trains,Number,1390.0
Annual,Inoi - Tithorea,Passenger trains,Number,1943.0
Annual,Alexandroupolis - Ormenion,Goods trains,Number,30.0
Annual,Alexandroupolis - Ormenion,Passenger trains,Number,580.0
Annual,Thessaloniki - Idomeni,Goods trains,Number,1464.0
Annual,Thessaloniki - Idomeni,Passenger trains,Number,2.0
Annual,Strymon - Promachon,Goods trains,Number,120.0
Annual,Strymon - Promachon,Passenger trains,Number,0.0
Annual,Paleopharsalos - Kalambaka,Goods trains,Number,0.0
Annual,Paleopharsalos - Kalambaka,Passenger trains,Number,939.0
Annual,Lianokladion - Stylis,Goods trains,Number,0.0
Annual,Lianokladion - Stylis,Passenger trains,Number,1107.0
Annual,Larissa - Volos,Goods trains,Number,0.0
Annual,Larissa - Volos,Passenger trains,Number,1934.0
Annual,Inoi - Chalkis,Goods trains,Number,0.0
Annual,Inoi - Chalkis,Passenger trains,Number,4174.0
Annual,Kalonero - Zevgolatio,Goods trains,Number,0.0
Annual,Kalonero - Zevgolatio,Passenger trains,Number,0.0
Annual,Alfios - Olympia,Goods trains,Number,0.0
Annual,Alfios - Olympia,Passenger trains,Number,561.0
Annual,Kalonero - Kyparissia,Goods trains,Number,0.0
Annual,Kalonero - Kyparissia,Passenger trains,Number,0.0
Annual,Arghos - Nafplion,Goods trains,Number,0.0
Annual,Arghos - Nafplion,Passenger trains,Number,0.0
Annual,Diakopton - Kalavryta,Goods trains,Number,0.0
Annual,Diakopton - Kalavryta,Passenger trains,Number,773.0
Annual,Domokos - Larissa,Goods trains,Number,2814.0
Annual,Domokos - Larissa,Passenger trains,Number,2615.0
Annual,Alexandroupolis - Alexandroupolis Port,Goods trains,Number,26.0
Annual,Alexandroupolis - Alexandroupolis Port,Passenger trains,Number,978.0
Annual,Platy - Edessa,Goods trains,Number,10.0
Annual,Platy - Edessa,Passenger trains,Number,799.0
Annual,Edessa - Amindeon,Goods trains,Number,0.0
Annual,Edessa - Amindeon,Passenger trains,Number,644.0
Annual,Amindeon - Florina,Goods trains,Number,0.0
Annual,Amindeon - Florina,Passenger trains,Number,641.0
Annual,Ano Lehonia - Milies,Goods trains,Number,0.0
Annual,Ano Lehonia - Milies,Passenger trains,Number,74.0
