Time frequency,Unit of measure,Land use category (km²),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Square kilometre,Land area,Israel,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i,21643 i
Annual,Square kilometre,Land area,Jordan,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88770.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,:
Annual,Square kilometre,Land area,Palestine*,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0,6025.0,6025.0,:
Annual,Square kilometre,Total area,Algeria,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,:
Annual,Square kilometre,Total area,Egypt,1009450 i,1009450 i,1009450 i,:,:,1001450 i,:,:,:,:,:,:,:,:,:
Annual,Square kilometre,Total area,Israel,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i
Annual,Square kilometre,Total area,Jordan,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,:
Annual,Square kilometre,Total area,Lebanon,10452.0,10452.0,10452.0,10452.0,10452.0,10452.0,:,:,:,:,:,:,:,:,:
Annual,Square kilometre,Total area,Morocco,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,:,:,:,:,:,:,:
Annual,Square kilometre,Total area,Tunisia,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,:,:,:,:,:,:,:
